Year,State,Race,Division,Democrat,Republican,Prohibitionist,Socialist,Farmer-Labor,Nat.,Socialist-Labor,Single Tax,Independent,White Republican,Republican and White Republican,Proleague Ind.,Unaffiliated,Scattering,Labor,Third Party,Prog.,All Others,Lib-Lab.-Dem.,The People's Candidate,Lib.,Industrial,Farmer-Workman,National Prohibitionist,Nonpartisan,En. Vol. Act.,Am. Free Ind.,Against Wilson's League,Individual,Industrial Labor,Industrialist,Insurgent Referendum,Rep.-Ind.,Black and Tan Republican,American,Am. P.,Soc.-Far.-Lab.
1920,AL,President,All,159965,74556,748,2369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920,AL,Senator,Long,154664,77337,,1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920,AL,Senator,Short,160680,68460,,2820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920,AL,Representative,1,12978,,,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920,AL,Representative,2,18469,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920,AL,Representative,3,12759,2582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920,AL,Representative,4,12286,8305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920,AL,Representative,5,13290,4793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920,AL,Representative,6,8721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920,AL,Representative,7,23709,22970,,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920,AL,Representative,8,17640,5306,,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920,AL,Representative,9,26776,4452,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920,AL,Representative,10,15465,13737,,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920,AZ,President,All,29554,37016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920,AZ,Senator,All,29169,35893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920,AZ,Representative,All,35397,25841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920,AR,President,All,107409,71117,,5111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920,AR,Senator,All,126477,65381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
