Year,State,Race,Division,Total,Democrat,Republican,Prohibitionist,Socialist,Dem.-Prohib.,Independent,Farmer-Labor,Soc.-Farm-Lab.,Forward,Ind. Rep.,Nonpartisan,Prog.,Nonp.,Labor,Peo.,Prohib.-Prog,Consumer's Nonp.,Soc.-Lab.,Third Party,by petition,Dem.-Farm-Lab.,Unaffiliated,Farm-Lab.-Prohib.,Indus.-Lab.,Single Tax,Scattering,Welfare,Voters' League,Roosevelt,Law and Order,Workers' Party,Ind. Dem.,Ind.-Soc. Lab.,Ind. Soc.,Ind. Prog. Rep.
1922,AL,Representative,1,,13960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,AL,Representative,2,,9255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,AL,Representative,3,,9141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,AL,Representative,4,,9976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,AL,Representative,5,,10411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,AL,Representative,6,,4864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,AL,Representative,7,,18597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,AL,Representative,8,,12303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,AL,Representative,9,,11300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,AL,Representative,10,,13803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,AZ,Senator,All,,39722,21358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,AZ,Representative,All,,45121,14601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,AR,Representative,1,,2553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,AR,Representative,2,,4915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,AR,Representative,3,,5327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,AR,Representative,4,,7280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,AR,Representative,5,,6191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,AR,Representative,6,,3397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
