Year,State,Race,Division,Total,Democrat,Republican,Prohibitionist,Socialist,Ind. Prog.,Ind.,Scattering,Unaffiliated,Prohib.-Dem.-Soc.,Farmer-Labor,Workers,Soc.-Lab.,Soc. And Prog.,Prog.,American,Commonwealth Land,Ind. Rep.,La Follette Ind.,Soc.-Ind.,Beer-Wine Ind.,Liberal,Ind. Party of Montana,Nat. Prohib.,Com.,Soc. - La Follette,La Folette-Prog.,War Vet.,Ind. Org.,Ind. Wet,Dem. And Prog.,Nonp.,Industrialist,Dem.-Lab.,Wet Ind.,Dem.-Ind.,Lab.,Dem.-Soc.-Lab.,Rep.-Prohib.,Dem.-Prohib.,Prohib.-Lab,Dem.-Prohib.-Am.-Lab.,Liberal Ind.
1924,AL,President,All,,112966,45005,538,,8084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,AL,Senator,All,,154560,39818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,AL,Representative,1,,9932,1604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,AL,Representative,2,,15056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,AL,Representative,3,,10425,1457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,AL,Representative,4,,9945,3215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,AL,Representative,5,,9074,2530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,AL,Representative,6,,6672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,AL,Representative,7,,15984,11987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,AL,Representative,8,,13353,3040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,AL,Representative,9,,18958,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,AL,Representative,10,,11394,7706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,AZ,President,All,,26235,30516,,,17210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,AZ,Representative,All,,40329,8625,,,,72,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,AR,President,All,,84795,40564,,,13173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,AR,Senator,All,,100408,36163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,AR,Representative,1,,15514,4580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,AR,Representative,2,,11412,4066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,AR,Representative,3,,13192,8789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,AR,Representative,4,,15935,6060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,AR,Representative,5,,16287,4892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,AR,Representative,6,,14101,4219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,AR,Representative,7,,14016,4302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,CA,President,All,,105514,733250,18365,424649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,CA,Representative,1,,47250,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,CA,Representative,2,,30590,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,CA,Representative,3,,,61512,,14665,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,CA,Representative,4,,,44048,,10360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,CA,Representative,5,,,38893,,12175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,CA,Representative,6,,,68547,,7858,,42873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,CA,Representative,7,,,65740,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
