Year,State,Race,Division,Democrat,Republican,Prohibitionist,Socialist,Scattering,Dem.-Rep.,Rep.-Dem.,Prohib.-Dem.,Rep.-Dem.-Prohib.,Farm-Lab.,Soc.-Wet Mod.- Com. Land,Peoples Constitutional Rights,Work. Com.,Unaffiliated,Rep. (delegate convention),Prog.,Dem.-Prog.,Ind. Rep.,Light Wines and Beer,Ind. Dem.,Soc.-Lab.,High Life,Ind.,Com. Land,Workers,Modification Volstead Act,La Follette Ind.,Lab.,Rep.-Prog.,Rep.-Soc.,T. R. I,Dem.-Lab.,Rep.-Lab.-Prohib.,Rep.-Prohib.,Rep.-Dem.-Lab.-Soc.,Lab.-Soc.,Rep.-Dem.-Lab.-Soc.-Prohib.,Dem.-Soc.,Rep.-Lab.,Dem.-Lab.-Soc.,Rep.-Lab.-Soc.-Prohib.,Rep.-Soc.-Prohib.,Rep.-Lab.-Soc.,Dem.-Prohib.,Rep.-Dem.-Soc.-Prohib.,Rep.-Dem.-Lab.-Prohib.,Rep.-Dem.-Lab.,Lab.-Prohib.,Ind. Prog. Rep.,Ind. Soc.-Lab.,Radical
1926,AL,Senator,All,91801,21712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,AL,Representative,1,8297,1578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,AL,Representative,2,10170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,AL,Representative,3,7619,437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,AL,Representative,4,8392,3933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,AL,Representative,5,9012,1183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,AL,Representative,6,3984,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,AL,Representative,7,14937,8162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,AL,Representative,8,8800,964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,AL,Representative,9,7260,430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,AL,Representative,10,11895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,AK,Delegate,All,4855,8170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,AZ,Senator,All,44951,31845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,AZ,Representative,All,43725,24502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,AR,Senator,All,28166,5048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,AR,Representative,1,4152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,AR,Representative,2,4013,1083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,AR,Representative,3,5696,3146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,AR,Representative,4,4729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,AR,Representative,5,4282,574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
