Year,State,Race,Division,Total,Democrat,Republican,Prohibitionist,Socialist,Workers,Rep.-Prohib.,Scattering,Unaffiliated,Dem.-Rep.,Rep.-Dem.,Ind.,Farm.-Lab.,Soc.-Lab.,Anti-Smith,Ind. Rep.,National,Labor,Indus.,Dem.-Lab.,Rep.-Lab.,Lab.-Soc.,Dem.-Prohib.,Rep.-Lab.-Prohib.,Dem.-Lab.-Soc.,Rep.-Prohib.-Soc.,Rep.-Prohib.-Lab.,Dem.-Lab.-Prohib.,Rep.-Dem.-Prohib.,Communist,Ind. Labor
1928,AL,President,All,,127797,120725,,460,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,AL,Representative,1,,16712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,AL,Representative,2,,20945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,AL,Representative,3,,14611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,AL,Representative,4,,13271,7768,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,AL,Representative,5,,13067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,AL,Representative,6,,9539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,AL,Representative,7,,18186,16981,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,AL,Representative,8,,20006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,AL,Representative,9,,23553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,AL,Representative,10,,15133,10862,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,AZ,President,All,,38537,52533,,,184,,,,,,,,,,,,,,,,,,,,,,,,,
1928,AZ,Senator,All,,47013,39651,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,AZ,Representative,All,,50231,31382,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,AR,President,All,,119196,77751,,429,317,,,,,,,,,,,,,,,,,,,,,,,,,
1928,AR,Representative,1,,24824,4770,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,AR,Representative,2,,18772,5471,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,AR,Representative,3,,18157,13129,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,AR,Representative,4,,20962,7308,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,AR,Representative,5,,25553,7140,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,AR,Representative,6,,28001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,AR,Representative,7,,20954,4757,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,CA,President,All,,614365,,,19595,216,1162323,157,,,,,,,,,,,,,,,,,,,,,,,
1928,CA,Senator,All,,282411,1148397,92106,26624,,,104,154,,,,,,,,,,,,,,,,,,,,,,
1928,CA,Representative,1,,,,,,,,2,,59381,,,,,,,,,,,,,,,,,,,,,
1928,CA,Representative,2,,,,,,,,9,,,32455,,,,,,,,,,,,,,,,,,,,
1928,CA,Representative,3,,,,,,,,11,,,77750,,,,,,,,,,,,,,,,,,,,
1928,CA,Representative,4,,,50206,,,,,,,,,16838,,,,,,,,,,,,,,,,,,,
1928,CA,Representative,5,,,,,,,,,,,51708,,,,,,,,,,,,,,,,,,,,
1928,CA,Representative,6,,,,,,,,109,,,113579,,,,,,,,,,,,,,,,,,,,
1928,CA,Representative,7,,,,,,,,40,,,71195,,,,,,,,,,,,,,,,,,,,
1928,CA,Representative,8,,37947,80613,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
1928,CA,Representative,9,,58263,222261,,8090,,,84,,,,,,,,,,,,,,,,,,,,,,,
1928,CA,Representative,10,,,,,19659,,,1199,,,301028,,,,,,,,,,,,,,,,,,,,
1928,CA,Representative,11,,,,,,,,4,,,127115,,,,,,,,,,,,,,,,,,,,
1928,CO,President,All,,133131,253872,,3472,675,,,,,,,1092,,,,,,,,,,,,,,,,,,
1928,CO,Representative,1,,44713,63258,,,949,,,,,,,,,,,,,,,,,,,,,,,,,
1928,CO,Representative,2,,31480,62375,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,CO,Representative,3,,34670,64116,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,CO,Representative,4,,30142,21089,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,CT,President,All,,252040,296614,,3019,730,,6,,,,,,622,,,,,,,,,,,,,,,,,
1928,CT,Senator,All,,251429,296958,,3014,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,CT,Representative,1,,65922,75743,,777,172,,,,,,,,,,,,,,,,,,,,,,,,,
1928,CT,Representative,2,,37786,48590,,424,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,CT,Representative,3,,52358,58337,,791,146,,,,,,,,,,,,,,,,,,,,,,,,,
1928,CT,Representative,4,,55106,71649,,718,189,,,,,,,,,,,,,,,,,,,,,,,,,
1928,CT,Representative,5,,39354,43332,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,DE,President,All,,36643,68860,,329,59,,,,,,,,,,,,,,,,,,,,,,,,,
