Year,State,Race,Division,Republican,Democrat,Farm-Labor,Socialist,All Other
1930,AL,Senator,All,,251937,,,
1930,AL,Representative,All,32030,165403,,,
1930,AZ,Representative,All,,52342,,,
1930,AR,Senator,All,,141006,,,
1930,AR,Representative,All,,145108,,,
1930,CA,Representative,All,964690,130106,,,2275
1930,CO,Senator,All,137487,180028,1367,1745,1714
1930,CO,Representative,All,167227,146192,813,,411
1930,CT,Representative,All,216518,208202,,2914,645
1930,DE,Senator,All,47909,39881,,,135
1930,DE,Representative,All,48493,38391,,,127
1930,FL,Representative,All,11819,84070,,,
1930,GA,Senator,All,,56502,,,1
1930,GA,Representative,All,1631,55444,,,372
1930,ID,Senator,All,94938,36162,,,
1930,ID,Representative,All,80869,45661,,,
1930,IL,Senator,All,786954,1432216,,11192,6742
1930,IL,Representative,All,1002947,993288,,32839,
1930,IN,Representative,All,572082,641206,,606,
1930,IA,Senator,All,307613,235186,,,3713
1930,IA,Representative,All,321702,207686,,,858
1930,KS,Senator,Long,364548,232161,,,
1930,KS,Senator,Short,276833,288889,,11659,
1930,KS,Representative,All,322775,242477,,,
1930,KY,Senator,Long,309180,336718,,,
1930,KY,Senator,Short,297510,326723,,,
1930,KY,Representative,All,253903,288354,,199,6126
1930,LA,Senator,All,,130536,,,24
1930,LA,Representative,All,2207,130086,,,
1930,ME,Senator,All,88262,56559,,,
1930,ME,Representative,All,88072,55471,,,
1930,MD,Representative,All,189815,275461,,780,
1930,MA,Senator,All,539226,651939,,7244,8627
1930,MA,Representative,All,629821,529258,,,17496
1930,MI,Senator,All,634577,169757,,2419,5254
1930,MI,Representative,All,567203,171402,,1401,4421
1930,MN,Senator,All,293626,282018,178671,,26314
1930,MN,Representative,All,413428,65190,271599,,9786
1930,MS,Senator,All,,33953,,,
1930,MS,Representative,All,,34899,,,
1930,MO,Representative,All,468853,477467,,462,281
1930,MT,Senator,All,66724,106274,1789,1006,368
1930,MT,Representative,All,82736,84604,1700,872,235
1930,NE,Senator,All,247118,172795,,,14884
1930,NE,Representative,All,199196,216405,,,
1930,NV,Representative,All,18279,15343,,,
1930,NH,Senator,All,72225,52284,,,282
1930,NH,Representative,All,71506,52323,,,
1930,NJ,Senator,Long,601497,401007,,4519,21200
1930,NJ,Senator,Short,571006,372739,,4615,17212
1930,NJ,Representative,All,558925,425352,,3949,2604
1930,NM,Senator,All,48699,69362,,256,
1930,NM,Representative,All,51655,65194,,299,
1930,NY,Representative,All,1304010,1532413,,163286,25473
1930,NC,Senator,All,210761,324393,,,26
1930,NC,Representative,All,198310,334376,,,
1930,ND,Representative,All,126678,52284,,,3538
1930,OH,Senator,Short,863944,1046561,,,
1930,OH,Representative,All,958584,908063,,,13468
1930,OK,Senator,All,232589,255838,,,832
1930,OK,Representative,All,173944,282629,,,166
1930,OR,Senator,All,137231,66028,,,33117
1930,OR,Representative,All,116642,107187,,,4696
1930,PA,Senator,Short,1462186,523338,,26796,31500
1930,PA,Representative,All,1421634,566594,,15868,15275
1930,RI,Senator,All,112202,109687,,,1195
1930,RI,Representative,All,113354,105568,,,
1930,SC,Senator,All,,16211,,,
1930,SC,Representative,All,,16163,,,
1930,SD,Senator,All,99595,106317,,,
1930,SD,Representative,All,106429,55718,,,7926
1930,TN,Senator,Long,58650,154131,,,3392
1930,TN,Senator,Short,49554,144019,,,
1930,TN,Representative,All,72354,132615,,,1908
1930,TX,Senator,All,39047,266550,,808,296
1930,TX,Representative,All,45281,249450,,,
1930,UT,Representative,All,80981,62828,,641,10303
1930,VT,Representative,All,49074,23741,,,7
1930,VA,Senator,All,,112002,,7944,26140
1930,VA,Representative,All,54154,109013,,,1466
1930,WA,Representative,All,205942,75424,3428,,4589
1930,WV,Senator,All,209427,342437,,,1293
1930,WV,Representative,All,264160,264951,,,
1930,WI,Representative,All,395887,72451,,47520,3560
1930,WY,Senator,Long,43524,30259,,,
1930,WY,Senator,Short,42726,29904,,,
1930,WY,Representative,All,44890,24510,,,
