Year,State,Race,Division,Democrat,Republican,Prohibitionist,Socialist,Communist,Scattering,"Prog., Ind.",Liberty,Unaffiliated,"Dem., Rep.","Rep., Dem.",Ind.,Farm.-Lab.,Soc.-Lab.,Ind. Rep.,Wet,National,Prog.,American,Indus.,B&T Rep.,LW Rep.,Pers. Choice,Sec,Law Pres.,Civic S.,"Rep., Law P.",Jeffers.,Liberal,Jobless,Rep. & Lib.,"Rep., Dem., Lib., Roose P.",Fair Play,"Rep., Lib., Roose P.","Dem., Lab.","Rep., Roose P.","Dem., Anti-Carp.","Rep., Lib.","Dem., Roose P.","Rep., Prohib.","Dem., Repeal","Dem., Soc.","Rep., Dem., Prohib.","Rep., Liberal, Nonp.","Dem., United Drys, Roose P.",United Drys,"Prohib., Enforcement Allies",Citizens,"Rep., Prohib., Nonp., Soc.","Dem., Prohib.","Rep., Prohib., Nonp.","Dem., Nonp.","Rep., Prohib., Soc.","Rep., Prohib., Nonp.","Dem., Jobless","Rep., Prohib.","Dem., Lib., Ind.","Rep., Ind., Nonp.",Peoples,"Rep., Dem., Prohib., Ind., Nonp.",Repeal,"Rep., Jobless, Roosevelt, Nonp.",Nonp.,"Dem., Ind., Jobless, Labor, Roosevelt, Nonp.","Dem., Jobless, No Party, Ind.","Rep., Lib., Nonp.",Ind. Dry,Jacksonian,Ind. Communist
1932,AL,President,All,207910,34675,13,2030,406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932,AL,Senator,All,209614,33425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932,AL,Representative,1,20675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932,AL,Representative,2,28250,1118,,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932,AL,Representative,3,20959,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932,AL,Representative,4,20690,4016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932,AL,Representative,5,24783,6135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932,AL,Representative,6,15296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932,AL,Representative,7,21322,7699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932,AL,Representative,8,31404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932,AL,Representative,9,31539,3701,,984,133,,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932,AZ,President,All,79264,36104,,2618,256,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932,AZ,Senator,All,74310,35737,,1110,306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932,AZ,Representative,All,75469,29710,,1112,293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932,AR,President,All,189602,28467,,1269,175,,,1049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932,AR,Senator,All,187994,21558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932,AR,Representative,1,36070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932,AR,Representative,2,23351,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932,AR,Representative,3,30337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932,AR,Representative,4,30443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932,AR,Representative,5,27940,2926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932,AR,Representative,6,33423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932,AR,Representative,7,30360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932,CA,President,All,1324157,847902,20637,63299,1023,127,,9827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932,CA,Senator,All,943164,669676,560088,,,,,,906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932,CA,Representative,1,,,,,,107,,,,73400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932,CA,Representative,2,,,,,,7,,,,,43146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932,CA,Representative,3,61694,46887,,,,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932,CA,Representative,4,,,,11603,,,,,,,67425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932,CA,Representative,5,,,,,,,,,,,67349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932,CA,Representative,6,,,,,,80,,,,,75528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932,CA,Representative,7,32365,45944,,22767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932,CA,Representative,8,65455,49487,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932,CA,Representative,9,50125,31209,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932,CA,Representative,10,50390,40794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932,CA,Representative,11,38240,57739,,,,12,,15520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932,CA,Representative,12,43122,40674,10308,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932,CA,Representative,13,65261,53449,,,,47,,5237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932,CA,Representative,14,47368,35598,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932,CA,Representative,15,57518,67390,,,,34,,,2721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932,CA,Representative,16,70333,57718,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932,CA,Representative,17,50720,26868,,,,5,,3965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932,CA,Representative,18,48179,33817,,,,102,,,,,,8399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932,CA,Representative,19,51796,56889,,,,3,,2873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932,CA,Representative,20,43304,43757,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932,CO,President,All,250877,189617,1928,13591,787,,,,,,,,469,427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
