Year,State,Race,Division,Democrat,Republican,Farm-Lab,Socialist,All Other
1934,AZ,Senator,All,67648,24075,,1591,606
1934,CA,Senator,All,,1946572,,108748,3620
1934,CT,Senator,All,265552,247623,,,
1934,DE,Senator,All,45771,52829,,497,69
1934,FL,Senator,All,131780,,,,
1934,IN,Senator,All,758801,700103,,9414,6294
1934,ME,Senator,All,138573,139773,,,422
1934,MD,Senator,All,264279,197643,,6067,3123
1934,MA,Senator,All,852776,536692,,22092,24372
1934,MI,Senator,All,573574,626017,2042,10644,7457
1934,MN,Senator,All,294757,200083,503379,5618,5620
1934,MS,Senator,All,51609,,,,
1934,MO,Senator,All,787110,524954,,9010,802
1934,MT,Senator,Short,116965,77307,,1779,
1934,MT,Senator,Long,142823,58519,,1381,903
1934,NE,Senator,Short,281421,217106,,,
1934,NE,Senator,Long,305958,237126,,,10171
1934,NV,Senator,All,27581,14273,,,901
1934,NJ,Senator,All,785971,554483,,9721,7234
1934,NM,Senator,Short,81934,66956,,613,134
1934,NM,Senator,Long,74944,76228,,568,122
1934,NY,Senator,All,2046377,1363440,,194952,327832
1934,ND,Senator,All,104477,151205,3269,,656
1934,OH,Senator,All,1276206,839068,,,13569
1934,PA,Senator,All,1494010,1366872,,50444,30949
1934,RI,Senator,All,140700,105545,,,68
1934,TN,Senator,Short,220249,,,,49773
1934,TN,Senator,Long,195430,110401,,,2443
1934,TX,Senator,All,439375,12895,,1828,310
1934,UT,Senator,All,95931,82154,,1497,1210
1934,VT,Senator,All,63632,67146,,771,3
1934,VA,Senator,All,109963,30289,,1127,3393
1934,WA,Senator,All,302606,168994,,7192,17896
1934,WV,Senator,All,349882,281756,,,2931
1934,WI,Senator,All,223438,210569,,44453,
1934,WY,Senator,Short,53859,40825,,,
1934,WY,Senator,Long,53806,40819,,401,
1934,AL,Representative,All,149099,10200,,186,5400
1934,AZ,Representative,All,65914,28283,,1478,369
1934,AR,Representative,All,126604,10158,,,613
1934,CA,Representative,All,993600,963821,,18890,98252
1934,CO,Representative,All,237491,140202,,5669,12336
1934,CT,Representative,All,262923,249696,,32244,3175
1934,DE,Representative,All,45927,52468,,404,58
1934,FL,Representative,All,131817,,,,
1934,GA,Representative,All,52593,,,,240
1934,ID,Representative,All,99870,63169,,,
1934,IL,Representative,All,1537326,1208456,,,1656
1934,IN,Representative,All,759795,685598,,8253,1661
1934,IA,Representative,All,444065,385852,15783,553,
1934,KS,Representative,All,367747,380037,,4675,4775
1934,KY,Representative,All,254611,206109,,1325,7434
1934,LA,Representative,All,186063,,,,49
1934,ME,Representative,All,142486,136859,,,
1934,MD,Representative,All,267204,180493,,5791,2142
1934,MA,Representative,All,641732,719939,10936,948,
1934,MI,Representative,All,590620,605047,2116,5931,8811
1934,MN,Representative,All,256001,323189,376927,,39488
1934,MS,Representative,All,57327,,,,
1934,MO,Representative,All,797975,515268,,6686,407
1934,MT,Representative,All,135733,59270,,1471,265
1934,NE,Representative,All,279932,252693,,,9691
1934,NV,Representative,All,29691,11992,,,
1934,NH,Representative,All,85690,84131,,167,225
1934,NJ,Representative,All,676016,638424,214,9937,3716
1934,NM,Representative,All,76833,70659,,643,133
1934,NY,Representative,All,1956981,1484586,,141202,349637
1934,NC,Representative,All,320256,173438,,,
1934,ND,Representative,All,85771,144605,,,47603
1934,OH,Representative,All,1094685,974370,,5142,11700
1934,OK,Representative,All,370620,169603,,13110,154
1934,OR,Representative,All,121846,132441,,8637,30476
1934,PA,Representative,All,1591430,1241443,,47902,45044
1934,RI,Representative,All,140283,104278,,,1
1934,SC,Representative,All,21921,54,,,181
1934,SD,Representative,All,158310,116907,,,2338
1934,TN,Representative,All,194312,63373,,,18658
1934,TX,Representative,All,439690,,,,
1934,UT,Representative,All,113975,63885,,1049,1067
1934,VT,Representative,All,54967,73809,,942,7
1934,VA,Representative,All,108655,33010,,2029,4477
1934,WA,Representative,All,314685,151655,,3642,9383
1934,WV,Representative,All,345144,272011,,,2701
1934,WI,Representative,All,280367,215605,,53615,336287
1934,WY,Representative,All,53288,37492,,437,166
