Year,State,Race,Division,Democrat,Republican,Prohibitionist,Socialist,Communist,Union,Unaffiliated,Scattering,Christian,"Dem., Rep.","Prog., Dem.","Rep., Dem., Prog.","Dem., Prog.","Rep., Dem.",Prog.,Soc. Lab.,Nat. Union,"Townsend, Farm.-Lab.",Ind. Rep.,Ind.,Union Prog.,Farm.-Lab.,"Townsend, Union",Lab.,"Townsendite, Prohib. Econ.",Social Justice,Townsend Plan,"Social Justice, Union",Social Justice,"Townsend, Social Justice, Dem.","Townsend, Social Justice",People's Labor,"Townsend, Coughlin, Labor","Coughlin, Rep.","Social Justice, Townsend",Third Party,Commonwealth,American,United,Indus.,B&T Rep.,LW Rep.,Nat. Prohib.,Townsend Nonp.,Prop. Home,Townsend Social Justice,End Poverty Const,For People,Off. Townsend,Nat. Social Justice,Coughlin Social Justice,Social Justice Labor,Social Justice Democrat,"Lab., Justice, Gumption",American Labor,"Republican, Communist",Square Deal,"Dem., American Labor",Prosperity,Your,"Union, Square Deal",Royal Oak,Ind. Lab.,Dem.; Victory,"Rep., Nat. Union, Soc. Just., Town., United Lab.","Old Age Pension, Royal Oak","Rep., Nat. Union, Royal Oak, Soc. Just., Town., United Lab.","Rep., Nat. Union, Soc. Just., Town., Union, United Lab.","American, Royal Oak","Commonwealth, Town.","Dem., Oak, Victory","Rep., Nat. Union, Town., Union, United Lab., Nonp.","Dem., Justice, Oak",Roose.,No Party,"Dem., Oak","Ind., Oak.","Dem., Oak, Union","Dem., Farm-Lab., Oak, Nonp.","Rep., Oak.",Thom. Jeff.,"Rep., Com.","Prohib., Old Age Sec.","Rep., Union",Town. Recov.,"Soc., Oak, No Party","Jeff., Cool.","Dem., Ind., Oak., Nonp.",United Parties,"Dem., Union","Dem., Ind., Prog.","Dem., Farm-Lab., Ind., Union",Nonp.,Good Government
1936,AL,President,All,238196,35358,719,242,678,551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,AL,Senator,All,239532,33697,,,,,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,AL,Representative,1,23421,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,AL,Representative,2,32452,298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,AL,Representative,3,22535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,AL,Representative,4,22615,3556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,AL,Representative,5,29891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,AL,Representative,6,18325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,AL,Representative,7,25126,9311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,AL,Representative,8,27788,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
