Year,State,Race,Division,Democrat,Republican,Prohibitionist,Socialist,Scattering,"Dem., Oak","Rep., Oak.",Oak,Pathfinders,State Rights,"Dem., Oak., Nonp.",Am. Lab.,"Dem., Am Lab","Rep., Am. Lab.","Am. Lab., Rep.",Town.,"Dem., Rep.","Rep., Dem., Prog., Town.","Dem., Prog.","Rep., Dem., Prog.","Dem., Prog. Town.","Rep., Dem.","Rep., Town.",Ind. Prog.,"Rep., Union","Dem., Union",Soc.-Lab.,Lab.,Communist,Ind.,Unaffiliated,Prog.,Farm-Lab.,Union,Lab. MD,Nat. Prohib,Town. Pension-Labor,Indus. Govt.,Pathfinders,Ind. Town. Rep.,Ind. Com.,Ind. Soc.-Lab.,Ind. Rep.,Prog. Lab.,Const. Dem.,Common.,Roose. Lib. Ind.,Roose. Ind.,Independent Peoples,Farmer's Laborer's Friend,Prog. Ind.,Kenney,Liberal Lab. Choice,Soc. Workers,Create Steady Employment,Citizens' Ind.,"Andrew Jackson, Rep.","Am. Lab., Soc.","Dem., City Fusion",Freedom,"Rep., Soc.","Am. Lab, Town.","Dem., Am Lab., General Welfare","Dem., Am. Lab., Soc.",Indus. Gvt.,"Dem., Oak, Prohib.","Rep., Prohib., Nonp.","Dem., Ind. Citizen, Nonp.","Rep., Good Gvt.",Ind. Soc.
1938,AL,Senator,All,113413,17885,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,AZ,Senator,All,82714,25378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,AR,Senator,All,122883,14290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,CA,Senator,All,,1126240,,22569,1019,,,,,,,,,,,,,,,,1372314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,CO,Senator,All,262786,181297,,3604,,,,,,,,,,,,,,,,,,,,3522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,CT,Senator,All,,270413,,99282,,,,,,,,,,,,,,,,,,,,,,252426,6931,766,615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,FL,Senator,All,145757,31035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,GA,Senator,All,66987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3442,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,ID,Senator,All,99801,81393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,IL,Senator,All,1638162,1542574,10707,,569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
