Year,State,Race,Division,Democrat,Republican,Prohibitionist,Socialist,Communist,Unaffiliated,Ind.,Prog.,Scattering,Ind. Gvt.,Am. Lab.,Farm-Lab.,Soc.-Lab.,"Rep., Dem., Prog.","Dem., Rep.","Rep., Dem., Prog., Town.","Dem., Prog.","Rep., Dem.","Prohib., Prog.","Rep., Prog.",Peace,Union,Liberal Dem.,Ind. Dems.,Labor Party of MD,Indus.,Ind. Rep.,Const. Ind.,Soc. Work.,Ind. Prog.,Buono Food Plan,Lib. Ind.,Nat. Prohib.,$15 Pension,Ind. Lincoln Princ.,Ind. For Lab.,Keep Am. Neutral,Jersey Pens.,Fusion,Roose. New Deal,Workers,Individ.,No Wage Tax,State Rights,Am. Way.,Prog. Lab.,Jeff. Dem.,Tolb. Rep.
1940,AL,President,All,250726,42184,700,100,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,AL,Representative,1,25993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,AL,Representative,2,33433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,AL,Representative,3,22906,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,AL,Representative,4,24870,3428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,AL,Representative,5,31966,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,AL,Representative,6,18881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,AL,Representative,7,27696,11368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,AL,Representative,8,29020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,AL,Representative,9,39660,,,,,,342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,AK,Delegate,All,11241,3320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,AZ,President,All,95267,54030,742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,AZ,Senator,All,101495,39657,579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,AZ,Representative,All,99424,40360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,AR,President,All,158622,42121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,AR,Representative,1,33127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,AR,Representative,2,26105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,AR,Representative,3,21060,8566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,AR,Representative,4,28999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,AR,Representative,5,36067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,AR,Representative,6,27972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,AR,Representative,7,26994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,CA,President,All,1877618,1351419,9400,,13586,,,16506,262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,CA,Senator,All,,,366044,,97478,7415,,,4029,,,,,2238899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,CA,Representative,1,,,,,5647,1828,,,284,,,,,,103547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,CA,Representative,2,,,,,,,,,7,,,,,,,71033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,CA,Representative,3,,,10539,,2751,122,,,16,,,,,,135461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,CA,Representative,4,,75369,,,1322,,,,2,,,,,,,,61341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,CA,Representative,5,,,,,5232,,,,11,,,,,,,,,119122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,CA,Representative,6,,,,,5426,,,,22,,,,,,,131584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,CA,Representative,7,72838,56808,,,1707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,CA,Representative,8,,,,,5186,37,,,133,,,,,,,,,148180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,CA,Representative,9,,,,,,,,,56,,,,,,,,,99708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,CA,Representative,10,,,,,3826,,,,394,,,,,,125845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,CA,Representative,11,,,,,6003,,,,799,,,,,170504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,CA,Representative,12,99494,54731,,,1152,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,CA,Representative,13,,,,,4434,,,,113,,,,,,127167,,,,36406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,CA,Representative,14,73137,37939,,,2732,,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,CA,Representative,15,94435,,,,2004,,,,49,,,,,,,,,,,71667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,CA,Representative,16,,,,,7017,,,,368,,,,,,,,,188049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,CA,Representative,17,75109,32862,,,1118,,,5649,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,CA,Representative,18,60764,73932,,,1355,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,CA,Representative,19,84931,75495,,,,,,,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,CA,Representative,20,69874,66132,,,806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,CO,President,All,265554,279576,1597,1899,378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,CO,Representative,1,110078,59427,,577,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,CO,Representative,2,66662,76859,,478,,,,,,,,,,,,,,,,,341,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,CO,Representative,3,65269,70842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,CO,Representative,4,44095,30126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,CT,President,All,417621,361021,,,1091,,,,,,,,971,,,,,,,,,798,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,CT,Senator,All,416740,357574,,6557,1114,,,,,,,,1343,,,,,,,,,739,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,CT,Representative,1,109880,92207,,610,,,,,10,,,,,,,,,,,,,163,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,CT,Representative,2,63021,56825,,374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,CT,Representative,3,84439,72870,,,,,,,,,,,,,,,,,,,,208,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,CT,Representative,4,90942,90239,,4262,,,,,6,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,CT,Representative,5,62783,51049,,479,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,CT,Representative,At Large,407868,365851,,6640,,,,,,,,,1383,,,,,,,,,851,,,,,,,,,,,,,,,,,,,,,,,,,,
