Year,State,Race,Division,Democrat,Republican,Farm-Lab.,Prog.,Am. Lab.,Socialist,Com.,Prohibitionist,Ind.,Soc.-Lab.,Other,Scattering,Rep. (sticker)
1942,AL,Senator,All,69212,,,,,,,,,,,,
1942,AR,Senator,All,99124,,,,,,,,,,,,
1942,CO,Senator,All,174612,170970,,,,1387,627,,,,,,
1942,DE,Senator,All,38322,46213,,,,,,776,,,,,
1942,GA,Senator,All,59870,,,,,,,,1892,,,,
1942,ID,Senator,All,68989,73353,,,,,,,,,,,
1942,IL,Senator,All,1380011,1582887,,,,,,10331,,,,,
1942,IA,Senator,All,295194,410383,,,,,,1461,,,821,4,
1942,KS,Senator,All,200437,284059,,,,,,12863,,,,,
1942,KY,Senator,All,216958,175081,,,,,,,,,,,
1942,LA,Senator,All,85488,,,,,,,,,,,,
1942,ME,Senator,All,55754,111520,,,,,,,,,,,
1942,MA,Senator,All,641042,721239,,,,4802,,3577,,4781,,,
1942,MI,Senator,All,561595,589652,,,,,,6526,,,,20,32173
1942,MN,Senator,All,78959,356297,213965,,,,,,109226,,,,
1942,MS,Senator,All,51355,,,,,,,,,,,,
1942,MT,Senator,All,83673,82461,,,,1669,,2711,,,,,
1942,NE,Senator,All,83763,186207,,,,,,,110247,,,,
1942,NH,Senator,All,73656,88601,,,,,,,,,,,
1942,NJ,Senator,All,559851,648855,,,,6775,,,,1310,5341,,
1942,NM,Senator,All,63301,43704,,,,,,,,,,,
1942,NC,Senator,All,230427,119165,,,,,,,,,,,
1942,OK,Senator,All,166653,204163,,,,,,1549,,,,,
1942,OR,Senator,All,63946,214755,,,,,,,,,,,
1942,RI,Senator,All,138247,100240,,,,,,,,,,,
1942,SC,Senator,All,2556,,,,,,,,,,,,
1942,SD,Senator,All,74945,106704,,,,,,,,,,,
1942,TN,Senator,All,109881,34324,,,,,,,15317,,,,
1942,TX,Senator,All,260629,12064,,,,,,,,,1934,,
1942,VA,Senator,All,79421,,,,,5690,2041,,,,,48,
1942,WV,Senator,All,207045,256816,,,,,,,,,,,
1942,WY,Senator,All,34503,41486,,,,,,,,,,,
1942,AL,Representative,All,68724,378,,,,,29,,,,,,
1942,AK,Delegate,All,6663,,,,,,,,,,,,
1942,AZ,Representative,All,56357,23015,,,,,375,,,,,,
1942,AR,Representative,All,98351,,,,,,,,,,,,
1942,CA,Representative,All,906614,895262,,,,,26808,57829,,,12596,2429,
1942,CO,Representative,All,141761,199365,,,,1270,,,,,,,
1942,CT,Representative,All,260382,282665,,,,15573,,,,914,601,113,
1942,DE,Representative,All,38791,45376,,,,,,559,,,,,
1942,FL,Representative,All,94459,12631,,,,,,,,,,21,
1942,GA,Representative,All,58348,,,,,,,,3527,,,,
1942,HI,Delegate,All,19746,39856,,,,,,,,,,,
1942,ID,Representative,All,67920,71367,,,,,,,,,,,
1942,IL,Representative,All,1314996,1547846,,,,,,,,,,,
1942,IN,Representative,All,572898,713831,,,,,,,,,,,
1942,IA,Representative,All,252570,410472,,,,,,,,,1705,,
1942,KS,Representative,All,194677,299015,,,,,,,,,,,
1942,KY,Representative,All,193181,145391,,,,,,,4033,,,,
1942,LA,Representative,All,84987,,,,,,,,,,,,
1942,ME,Representative,All,48923,111918,,,,,,,,,,,
1942,MD,Representative,All,189808,147628,,,,,,,,,,,
1942,MA,Representative,All,611714,713423,,,,2105,,,,,,,
1942,MI,Representative,All,534682,629679,,,,,,6274,,,,59,
1942,MN,Representative,All,156450,452192,151684,,,,650,,300,,,,
1942,MS,Representative,All,51602,,,,,,,,,,,,
1942,MO,Representative,All,448078,476994,,,,101,,146,,,,,
1942,MT,Representative,All,93243,73654,,,,2611,,,,,,,
1942,NE,Representative,All,121779,228024,,,,,,,,,7266,,
1942,NV,Representative,All,21100,18289,,,,,,,,,,,
1942,NH,Representative,All,70216,85999,,,,,,,,,,,
1942,NJ,Representative,All,546134,648359,,,,2057,1797,,,220,,4888,
1942,NM,Representative,All,62320,43627,,,,,,,,,,,
1942,NY,Representative,All,1586563,1922934,,,365773,,,,,,,,
1942,NC,Representative,All,228980,85847,,,,,,,,,,,
1942,ND,Representative,All,47972,85936,,,,,,,48472,,,,
1942,OH,Representative,All,766499,960649,,,,,,,8033,,,,
1942,OK,Representative,All,202467,147820,,,,,,783,898,,,,
1942,OR,Representative,All,115519,160904,,,,,,,,,,,
1942,PA,Representative,All,1152758,1351254,,,,2783,,602,,,1381,,
1942,RI,Representative,All,137653,98951,,,,,,,,,,,
1942,SC,Representative,All,23356,,,,,,,,,,,,
1942,SD,Representative,All,66349,111762,,,,,,,,,,,
1942,TN,Representative,All,102143,52368,,,,,,,1701,,,,
1942,TX,Representative,All,275100,2949,,,,,,,369,,,,
1942,UT,Representative,All,79879,70614,,,,,,,,,,,
1942,VT,Representative,All,17304,40751,,,,,,,,,,15,
1942,VA,Representative,All,77087,11291,,,,1636,,,,,,53,
1942,WA,Representative,All,225025,202332,,,,,,,,829,,,
1942,WV,Representative,All,228549,231738,,,,,,,,,,,
1942,WI,Representative,All,203537,350812,,185114,,9254,,,,,,156,
1942,WY,Representative,All,36892,37963,,,,,,,,,,,
