Year,State,Race,Division,Democrat,Republican,Prohibitionist,Socialist,Ind.,Soc.-Lab.,Am. Lab,Lib.,Prog.,Const.,Other,Scattering,Ind. Dem.,Am. First,DFL,Indus. Gvt.,Reg. Dems.,Ind. Rep.,Nat. Prohib.,South. Dem.,Tolb. Rep.,Texas Reg.
1944,AL,President,All,198918,44540,1095,190,,,,,,,,,,,,,,,,,,
1944,AZ,President,All,80926,56287,421,,,,,,,,,,,,,,,,,,,
1944,AR,President,All,148965,63551,,438,,,,,,,,,,,,,,,,,,
1944,CA,President,All,1988564,1512965,14770,3923,,327,,,,,,326,,,,,,,,,,
1944,CO,President,All,234331,268731,,1977,,,,,,,,,,,,,,,,,,
1944,CT,President,All,435146,390527,,5097,,1220,,,,,,,,,,,,,,,,
1944,DE,President,All,68166,56747,294,154,,,,,,,,,,,,,,,,,,
1944,FL,President,All,339377,143215,,,,,,,,,,,,,,,,,,,,
1944,GA,President,All,268187,56506,,36,,,,,,,,9,3373,,,,,,,,,
1944,ID,President,All,107399,100137,503,282,,,,,,,,,,,,,,,,,,
1944,IL,President,All,2079479,1939314,7411,180,,9677,,,,,,,,,,,,,,,,
1944,IN,President,All,781403,875891,12574,2223,,,,,,,,,,,,,,,,,,
1944,IA,President,All,499876,547267,3752,1511,,193,,,,,,,,,,,,,,,,
1944,KS,President,All,287458,442096,2609,1613,,,,,,,,,,,,,,,,,,
1944,KY,President,All,472589,392448,2023,535,,326,,,,,,,,,,,,,,,,
1944,LA,President,All,281564,67750,,,69,,,,,,,,,,,,,,,,,
1944,ME,President,All,140631,155434,,,,335,,,,,,,,,,,,,,,,
1944,MD,President,All,315490,292949,,,,,,,,,,,,,,,,,,,,
1944,MA,President,All,1035296,921350,973,,,2780,,,,,,266,,,,,,,,,,
1944,MI,President,All,1106899,1084423,6503,4598,,1264,,,,,,,,1530,,,,,,,,
1944,MN,President,All,,527416,,5073,,,,,,,,,,,589864,3176,,,,,,
