Year,State,Race,Division,Republican,Democrat,Communist,Ind.,Write-In,Soc.-Lab.,Am. Lab.,Lib.,Scattering,Prohib.,Soc.,Other
1946,AZ,Senator,All,35022,80415,802,,,,,,,,,
1946,CA,Senator,All,1428067,1167161,,,156,,,,1398,42683,,
1946,CT,Senator,All,381328,276424,,,,3156,,,,,22013,
1946,DE,Senator,All,62603,50910,,,,,,,,,,
1946,FL,Senator,All,42408,156232,,,,,,,,,,
1946,IN,Senator,All,739809,584288,806,,,1523,,,,21008,,
1946,ME,Senator,All,111215,63799,,,,,,,,,,
1946,MA,Senator,All,989736,660200,,,,9221,,,,2898,,52939
1946,MI,Senator,All,1085570,517923,2546,,,4572,,,,8109,,
1946,MN,Senator,All,517775,349520,,,,,,,,,,11436
1946,MS,Senator,All,,46747,,,,,,,,,,
1946,MO,Senator,All,572556,511544,,,,275,,,,979,887,
1946,MT,Senator,All,101901,86476,,,,,,,,,2189,
1946,NE,Senator,All,271208,111750,,,,,,,,,,
1946,NV,Senator,All,27801,22553,,,,,,,,,,
1946,NJ,Senator,All,799808,548458,,,,7675,,,,1711,2226,7277
1946,NM,Senator,All,64632,68650,,,,,,,,,,
1946,NY,Senator,All,2559365,1688887,,,,,435846,183379,,,,178694
1946,ND,Senator,All,88210,38368,,38804,,,,,,,,
1946,OH,Senator,All,1275774,947610,,,,13885,,,,,,
1946,PA,Senator,All,1853458,1245338,,,,11613,,,,17451,,
1946,RI,Senator,All,122780,150748,,,,,,,,,,
1946,TN,Senator,All,57238,145654,,15819,,,,,3,,,
1946,TX,Senator,All,43750,336931,,,,,,,,,,
1946,UT,Senator,All,101142,96257,,,,,,,,,,
1946,VT,Senator,All,54729,18594,,,,,,,17,,,
1946,VA,Senator,All,77005,163960,3318,5189,,,,,35,1764,1592,
1946,WA,Senator,All,358847,298683,,,,2297,,,,,,515
1946,WV,Senator,All,269617,273151,,,,,,,,,,
1946,WI,Senator,All,620430,378772,,,,,,,2090,,11750,1552
1946,WY,Senator,All,35714,45843,,,,,,,,,,
1946,AL,Representative,All,14105,165383,,,,,,,,,,
1946,AK,Delegate,All,4868,11516,,,,,,,,,,
1946,AZ,Representative,All,37033,74948,831,,,,,,,,,
1946,AR,Representative,All,2881,143252,,5200,,,,,,,,
1946,CA,Representative,All,1203346,1105646,,,22193,,,,2601,1476,,
1946,CO,Representative,All,184429,145692,,710,,,,,,,1151,
1946,CT,Representative,All,374545,281709,,,,,,,,,15281,2964
1946,DE,Representative,All,63516,49105,,,,,,,,,,
1946,FL,Representative,All,35640,151123,,,,,,,,,,
1946,GA,Representative,All,,151961,,51,19527,,,,39,,,
1946,HI,Delegate,All,45765,37209,,,,,,,,,,
1946,ID,Representative,All,101018,77740,,,,,,,,,,
1946,IL,Representative,All,1946276,1500635,,,9,,,,,,,
1946,IN,Representative,All,725622,588644,,,,475,,,,17907,,
1946,IA,Representative,All,365037,228039,,,,,,,,,,
1946,KS,Representative,All,328642,223173,,,,,,,,3045,,
1946,KY,Representative,All,311502,271480,,,,,,,,,320,
1946,LA,Representative,All,5651,100357,,,,,,,1,,,
1946,ME,Representative,All,110388,63860,,,,,,,,,,
1946,MD,Representative,All,212457,232498,,,,,,,,,,
1946,MA,Representative,All,863274,744765,,,,,,,26,9249,,
1946,MI,Representative,All,975363,619318,613,,,,,,14,9424,,
1946,MN,Representative,All,514784,357758,,,,,,,,,,2463
1946,MS,Representative,All,,50037,,,,,,,,,,
1946,MO,Representative,All,566296,517970,,,,201,,,,139,125,
1946,MT,Representative,All,93265,95982,,,,,,,,,841,
1946,NE,Representative,All,248724,118800,,4516,,,,,,,,
1946,NV,Representative,All,28859,20187,,,,,,,,,,
1946,NH,Representative,All,99872,61220,,,,,,,,,,
1946,NJ,Representative,All,815261,553964,1964,,,304,,,,3233,2955,4312
1946,NM,Representative,All,60519,66420,,,,,,,,,,
1946,NY,Representative,All,2522927,1639038,,,,,418992,118010,,,,13443
1946,NC,Representative,All,174945,277277,,,,,,,,,,
1946,ND,Representative,All,103205,41189,,,,,,,,,,
1946,OH,Representative,All,1262164,943881,,10705,,,,,,,,
1946,OK,Representative,All,204163,287978,,,,,,,,,,
1946,OR,Representative,All,217005,117665,,,,,,,,,,
1946,PA,Representative,All,1795552,1306723,,,,,,,,1307,2717,5688
1946,RI,Representative,All,122787,148717,,,,,,,,,,890
1946,SC,Representative,All,,26066,,41,,,,,110,,,141
1946,SD,Representative,All,104657,58101,,,,,,,,,,
1946,TN,Representative,All,58704,126530,,8210,,,,,4,,,
1946,TX,Representative,All,16998,330368,,,,,,,29,,,
1946,UT,Representative,All,101186,95486,,,,,,,,,,
1946,VT,Representative,All,46985,26056,,,,,,,25,,,
1946,VA,Representative,All,81626,167919,,2026,,,,,9,2012,272,
1946,WA,Representative,All,375715,267187,,2028,,,,,,,,
1946,WV,Representative,All,268051,269306,,,,,,,,,,
1946,WI,Representative,All,615287,312289,,41475,,,,,352,,14515,
1946,WY,Representative,All,44482,34956,,,,,,,,,,
