Year,State,Race,Division,Democrat,Republican,Prog.,Prohib.,Soc.,Soc.-Lab.,Ind.,Am. Lab.,Lib.,Write-In,Other,Scattering,SR Dems,Soc.-Work.
1948,AL,President,All,,40930,1522,1085,,,,,,,,,171443,
1948,AZ,President,All,95251,77597,3310,786,,121,,,,,,,,
1948,AR,President,All,149659,50959,751,1,1037,,,,,,,,40068,
1948,CA,President,All,1913134,1895269,190381,16926,3459,195,,,,,813,,1228,133
1948,CO,President,All,267288,293714,6115,,1678,214,,,,,,,,228
1948,CT,President,All,423297,437754,13713,,6964,1184,,,,,,,,606
1948,DE,President,All,67813,69588,1050,343,250,29,,,,,,,,
1948,FL,President,All,281988,194280,11620,,,,,,,,,,89755,
1948,GA,President,All,254646,76691,1636,732,,,,,,,,,85055,
1948,ID,President,All,107370,101514,4972,628,332,,,,,,,,,
1948,IL,President,All,1994715,1961103,,11959,11522,3118,,,,,1629,,,
1948,IN,President,All,807833,821079,9649,14711,2179,763,,,,,,,,
1948,IA,President,All,522380,494018,12125,3382,1829,4274,,,,,,,,256
1948,KS,President,All,351902,423039,4603,6468,2807,,,,,,,,,
1948,KY,President,All,466756,341210,1567,1245,1284,185,,,,,,,10411,
1948,LA,President,All,136344,72657,3035,,,,,,,,,,204290,
1948,ME,President,All,111916,150234,1884,,547,206,,,,,,,,
1948,MD,President,All,286521,294814,9983,,2941,,,,,,,,2476,
1948,MA,President,All,1151788,909370,38157,1663,,5535,,,,,48834,,,
1948,MI,President,All,1003448,1038595,46515,13052,6063,1263,,,,,1,,,672
1948,MN,President,All,692966,483617,27866,,4646,2525,,,,,,,,606
1948,MS,President,All,19384,5043,225,,,,,,,,,,167538,
1948,MO,President,All,917315,655039,3998,,2222,,,,,,54,,,
1948,MT,President,All,119071,96770,7313,429,695,,,,,,,,,
1948,NE,President,All,224165,264774,,,,,,,,,,,,
1948,NV,President,All,31291,29357,1469,,,,,,,,,,,
1948,NH,President,All,107995,121299,1970,,86,83,,,,,,,7,
1948,NJ,President,All,895455,981124,42683,10593,10521,3354,,,,,,,,5825
1948,NM,President,All,105464,80303,,,,,,,,,,,,
1948,NY,President,All,2780204,2841163,509559,,40879,2729,,,,,97318,,,2675
1948,NC,President,All,459070,258572,3915,,,,,,,,,,69652,
1948,ND,President,All,95812,115139,8391,,1000,,,,,,,,374,
1948,OH,President,All,1452791,1445684,37596,,,,,,,,,,,
1948,OK,President,All,452782,268817,,,,,,,,,,,,
1948,OR,President,All,243147,260904,14978,,5051,,,,,,,,,
1948,PA,President,All,1752426,1902197,55161,10338,11325,1461,,,,,108,,,2133
1948,RI,President,All,188619,134892,2587,,,,,,,,,,,
1948,SC,President,All,34423,5386,154,,1,,,,,,,,102607,
1948,SD,President,All,117653,129651,2801,,,,,,,,,,,
1948,TN,President,All,270402,202914,1864,,1288,,,,,,,,73815,
1948,TX,President,All,750700,282240,3764,2759,874,,,,,,,,106909,
1948,UT,President,All,149151,124402,2679,,,,,,,,,,,73
1948,VT,President,All,45557,75926,1279,,585,,,,,,35,,,
1948,VA,President,All,200786,172070,2047,,726,234,,,,,,,43393,
1948,WA,President,All,476165,386315,31692,6117,3534,1133,,,,,,,,103
1948,WV,President,All,429188,316251,3311,,,,,,,,,,,
1948,WI,President,All,347310,590959,25282,,12547,399,,,,,,,,303
1948,WY,President,All,52354,47947,931,,137,56,,,,,,,,
1948,AL,Senator,All,185534,35341,,,,,,,,,,,,
1948,AR,Senator,All,216401,,,,,,,,,,,,,
1948,CO,Senator,All,340719,165069,2981,,1352,,,,,,,,,
1948,DE,Senator,All,71888,68246,681,467,80,,,,,,,,,
1948,GA,Senator,All,362104,,,,,,,,,400,,,,
1948,ID,Senator,All,107000,103868,3154,,166,,,,,,,,,
1948,IL,Senator,All,2147754,1740026,,9784,,2693,,,,28,,,,
1948,IA,Senator,All,579226,415778,3387,2580,441,,,,,,,,,
