Year,State,Race,Division,Democrat,Republican,Ind.,Soc.,Prog.,Prohib.,Soc. Work.,Scattering,Am. Lab.,Lib.,Other,Soc.-Lab.,Indus. Gvt.
1950,AL,Senator,All,125534,,38477,,,,,,,,,,
1950,AZ,Senator,All,116246,68846,,,,,,,,,,,
1950,AR,Senator,All,302686,,,,,,,,,,,,
1950,CA,Senator,All,1502507,2183454,,,,,,354,,,,,
1950,CO,Senator,All,210442,239724,,,,,,,,,,,
1950,CT,Senator,All,453646,409053,,,,,,,,,,,
1950,FL,Senator,All,238987,74228,,,,,,,,,,,
1950,GA,Senator,All,261290,,,,,,,,,,,,
1950,ID,Senator,All,77180,124237,,,,,,,,,,,
1950,IL,Senator,All,1657630,1951984,,,,13050,,,,,9,,
1950,IN,Senator,All,741025,844303,,,,13396,,,,,,,
1950,IA,Senator,All,383766,470613,,,,3273,,,,,571,300,
1950,KS,Senator,All,271365,335880,,,,11859,,,,,,,
1950,KY,Senator,All,334249,278368,4469,,,,,,,,,,
1950,LA,Senator,All,220907,30931,,,,,,,,,,,
1950,MD,Senator,All,283180,326291,,,6143,,,,,,,,
1950,MO,Senator,All,685732,592922,,,,,,,,,610,150,
1950,NV,Senator,All,35829,25933,,,,,,,,,,,
1950,NH,Senator,All,72473,106142,,,,,,,,,10943,,
1950,NY,Senator,All,2319719,2367353,,,,,15340,,205729,312594,244654,,7659
1950,NC,Senator,All,376472,171804,,,,,,,,,,,
1950,ND,Senator,All,60507,126209,,,,,,,,,,,
1950,OH,Senator,All,1214459,1645643,,,,,,,,,,,
1950,OK,Senator,All,345953,285224,,,,,,,,,,,
1950,OR,Senator,All,116780,376510,,,10165,,,,,,,,
1950,PA,Senator,All,1694076,1820400,,4864,5516,12618,,,,,11168,,
1950,SC,Senator,All,50458,,,,,,,,,,,,
1950,SD,Senator,All,90692,160670,,,,,,,,,,,
1950,UT,Senator,All,121198,142427,815,,,,,,,,,,
1950,VT,Senator,All,19608,69543,,,,,,20,,,,,
1950,WA,Senator,All,397719,342464,3120,,,,,,,,,1480,
1950,WI,Senator,All,515539,595283,1283,3972,,,,58,,,,,
1950,AL,Representative,All,151212,980,,,,,,,,,,,
1950,AK,Delegate,All,13588,5138,,,,,,,,,,,
1950,AZ,Representative,All,115517,62150,,,,,,,,,,,
1950,AR,Representative,All,295802,,,,,,,,,,,,
1950,CA,Representative,All,1480639,1754001,7329,,105396,10339,,938,,,,,
1950,CO,Representative,All,214385,225986,1287,1234,,,,,,,,,
1950,CT,Representative,All,435606,425156,,,,,,,,,,,
1950,DE,Representative,All,56091,73313,,,,,,,,,,,
1950,FL,Representative,All,228786,24263,,,,,,,,,,,
1950,GA,Representative,All,253108,,,,,,,,,,,,
1950,HI,Representative,All,40612,71271,,,,,,,,,,,
1950,ID,Representative,All,91295,108789,,,,,,,,,,,
1950,IL,Representative,All,1617000,1897277,,,1135,,,,,,424,,
1950,IN,Representative,All,727458,850357,,,,9483,,,,,,,
1950,IA,Representative,All,317222,500426,,,,2164,,,,,147,,
1950,KS,Representative,All,248897,357849,,,,,,,,,,,
1950,KY,Representative,All,307836,180778,,,,,,,,,,,
1950,LA,Representative,All,227075,,,,,,,,,,,,
1950,ME,Representative,All,100731,136901,,,,,,,,,,,
1950,MD,Representative,All,283727,285957,,,3253,,,,,,,,
1950,MA,Representative,All,920990,930280,,,2205,5917,,6,,,87673,,
1950,MI,Representative,All,838752,956447,,,2563,6858,54,4,,,,,
1950,MN,Representative,All,473710,538973,4255,,,,1323,,,,6,,
1950,MS,Representative,All,82696,2861,2199,,,,,,,,,,
1950,MO,Representative,All,697542,552014,,,,,,,,,594,,
1950,MT,Representative,All,108248,99948,,942,1389,,,,,,,,
1950,NE,Representative,All,164490,271840,,,,,,,,,,,
1950,NV,Representative,All,31843,28485,,,,,,,,,,,
1950,NH,Representative,All,72760,112487,,,,,,,,,,,
1950,NJ,Representative,All,689814,859145,10932,,3041,,833,,,,7498,,
1950,NM,Representative,All,97691,75447,,,,,,,,,,,
1950,NY,Representative,All,2162951,2384402,,,,,,8,225368,279168,,,
1950,NC,Representative,All,365598,156602,,,,,,,,,,,
1950,ND,Representative,All,62322,119047,,,,,,,,,,,
1950,OH,Representative,All,1257468,1450968,58270,,,,,,,,,,
1950,OK,Representative,All,364452,243334,,,,,,,,,,,
1950,OR,Representative,All,201096,288355,7217,,2821,,,,,,,,
1950,PA,Representative,All,1672788,1834128,,1949,3024,,,,,,,,
1950,RI,Representative,All,181502,111898,,,,,,,,,,,
1950,SC,Representative,All,50381,,,,,,,,,,,,
1950,SD,Representative,All,97720,150706,,,,,,,,,,,
1950,TN,Representative,All,165403,71893,25310,,,,,2,,,,,
1950,TX,Representative,All,326128,34314,,,,,,,,,,,
1950,UT,Representative,All,138444,125403,,,,,,,,,,,
1950,VT,Representative,All,22709,65248,,,,,,29,,,865,,
1950,VA,Representative,All,155396,51493,1878,,1095,,,165,,,1803,,
1950,WA,Representative,All,342162,378419,957,,1793,,274,,,,,,
1950,WV,Representative,All,374921,287915,,,,,,,,,,,
1950,WI,Representative,All,470275,639293,,501,,,,123,,,,,
1950,WY,Representative,All,42483,50865,,,,,,,,,,,
