Year,State,Race,Division,Rep.,Dem.,Am. Lab.,Ind.,Lib.,Prog.,Prohib.,Soc.,Soc.-Lab.,Write-In,Other,Scattering,Indus. Gvt.,"Prog., Am. Lab.",Soc. Work.
1952,AL,President,All,149231,275075,,,,,1814,,,,,,,,
1952,AZ,President,All,152042,108528,,,,,,,,,,,,,
1952,AR,President,All,177155,226300,,,,,886,,1,,458,,,,
1952,CA,President,All,2897310,2197548,,,,,15653,206,273,,6753,,,24106,
1952,CO,President,All,379782,245504,,,,,,365,352,,2181,,,1919,
1952,CT,President,All,611012,481649,,,,,,2244,535,,1471,,,,
1952,DE,President,All,90059,83315,,,,,234,20,242,,,,,155,
1952,FL,President,All,544036,444950,,,,,,,,,351,,,,
1952,GA,President,All,198979,456823,,,,,,,,,1,,,,
1952,ID,President,All,180707,95081,,,,,,,,,1,,,443,
1952,IL,President,All,2457327,2013920,,,,,,,9363,,448,,,,
1952,IN,President,All,1136259,801530,,,,,15335,,979,,,,,1222,
1952,IA,President,All,808906,451513,,,,,2882,219,139,,29,,,5085,
1952,KS,President,All,616302,273296,,,,,6038,530,,,,,,,
1952,KY,President,All,495029,495729,,,,,1161,,893,,,,,336,
1952,LA,President,All,306925,345027,,,,,,,,,,,,,
1952,ME,President,All,232353,118806,,,,,,138,156,,1,,,332,
1952,MD,President,All,499424,395337,,,,,,,,,,,,7313,
1952,MA,President,All,1292325,1083525,,,,,886,,1957,,69,,,4636,
1952,MI,President,All,1551529,1230657,,,,,10331,,1495,,3,,,3922,655
1952,MN,President,All,763211,608458,,,,,2147,,2383,,,,,2666,618
1952,MS,President,All,112966,172566,,,,,,,,,,,,,
1952,MO,President,All,959429,929830,,,,,885,227,169,,535,,,987,
1952,MT,President,All,157394,106213,,,,,548,159,,,,,,723,
1952,NE,President,All,421603,188057,,,,,,,,,,,,,
1952,NV,President,All,50502,31688,,,,,,,,,,,,,
1952,NH,President,All,166287,106663,,,,,,,,,,,,,
1952,NJ,President,All,1374613,1015902,,,,,989,8593,5815,,4203,,,5589,3850
1952,NM,President,All,132170,105661,,,,,297,,35,,220,,,225,
1952,NY,President,All,3952815,3104601,,,,,,2664,1560,,178,,,64211,2212
1952,NC,President,All,558107,652803,,,,,,,,,,,,,
1952,ND,President,All,191712,76694,,,,,302,,,,1075,,,344,
1952,OH,President,All,2100391,1600367,,,,,,,,,,,,,
1952,OK,President,All,518045,430939,,,,,,,,,,,,,
1952,OR,President,All,420815,270579,,,,,,,,,3665,,,,
1952,PA,President,All,2415789,2146269,,,,,8441,2684,1347,,155,,,4200,1502
1952,RI,President,All,210935,203293,,,,,,,83,,,,,187,
1952,SC,President,All,9793,173004,,,,,1,,,,158289,,,,
1952,SD,President,All,203857,90426,,,,,,,,,,,,,
1952,TN,President,All,446147,443710,,,,,1432,,,,379,,,885,
1952,TX,President,All,1102878,969228,,,,,1983,,,,1563,,,294,
1952,UT,President,All,194190,135364,,,,,,,,,,,,,
1952,VT,President,All,109717,43355,,,,,,185,,,,,,282,
1952,VA,President,All,349037,268677,,,,,,,1160,,504,,,311,
1952,WA,President,All,599107,492845,,,,,,254,633,,7290,,,2460,119
1952,WV,President,All,419970,453578,,,,,,,,,,,,,
1952,WI,President,All,979744,622175,,,,,,1157,770,,,,,2174,1350
1952,WY,President,All,81047,47934,,,,,194,40,36,,,,,,
1952,AZ,Senator,All,132063,125338,,,,,,,,,,,,,
1952,CA,Senator,All,3982448,,,,,542270,,,,11812,,5910,,,
1952,CT,Senator,All,573854,485066,,,,,,12279,,,22268,,,,
1952,DE,Senator,All,93020,77685,,,,,,,,,,,,,
1952,FL,Senator,All,,616665,,,,,,,,,,1135,,,
1952,IN,Senator,All,1020605,911169,,,,891,12735,,719,,,,,,
1952,ME,Senator,All,139205,82665,,,,,,,,,15294,,,,
1952,MD,Senator,All,449823,406370,,,,,,,,,,,,,
1952,MA,Senator,All,1141247,1211984,,,,,2508,,4683,,,3,,,
1952,MI,Senator,All,1428352,1383416,,,,,7435,,1202,,,2,,,726
1952,MN,Senator,All,785649,590011,,,,7917,,,,,,,,,3842
1952,MS,Senator,All,,233919,,,,,,,,,,,,,
1952,MO,Senator,All,858170,1008521,,,,883,,219,145,,161,,,,
1952,MT,Senator,All,127360,133109,,,,1828,,,,,,,,,
1952,NE,Senator,All,408971,164660,,,,,,,,,18087,31,,,
1952,NV,Senator,All,41906,39184,,,,,,,,,,,,,
1952,NJ,Senator,All,1286782,1011187,,,,7195,6815,,1165,,,,,,5088
1952,NM,Senator,All,117168,122543,,,,,,,,,,,,,
1952,NY,Senator,All,3853934,2521736,104702,,489775,,,3382,,,,16,2451,,4263
1952,ND,Senator,All,157907,55347,,,,,,,,24741,,,,,
1952,OH,Senator,All,1878961,1563330,,,,,,,,,,,,,
1952,PA,Senator,All,2331034,2168546,,,,,12150,3538,,,2258,,1897,,
1952,RI,Senator,All,185850,225128,,,,,,,,,,,,,
1952,TN,Senator,All,153479,545432,,22169,,,,,,7,14132,,,,
1952,TX,Senator,All,,1895192,,,,,,,,,,,,,
1952,UT,Senator,All,177435,149598,,,,,,,,,,,,,
1952,VT,Senator,All,111406,42630,,,,,,,,,,16,,,
1952,VA,Senator,All,,398677,,,,,,,,,136414,8425,,,
1952,WA,Senator,All,460884,595288,,,,1912,,,651,,,,,,
1952,WV,Senator,All,406554,470019,,,,,,,,,,,,,
1952,WI,Senator,All,870444,731402,,,,,,,,,3321,61,,,
1952,WY,Senator,All,67176,62921,,,,,,,,,,,,,
1952,AL,Representative,All,18673,324153,,,,,,,,,,1,,,
1952,AK,Delegate,All,10893,14219,,,,,,,,,,,,,
1952,AZ,Representative,All,120533,127867,,,,,,,,,,,,,
1952,AR,Representative,All,51889,308838,,1196,,,,,,,,,,,
1952,CA,Representative,All,2382921,2030549,,4959,,,,,,2329,139398,3504,,,
1952,CO,Representative,All,335394,269865,,,,,,1307,,,,,,,
1952,CT,Representative,All,586922,504257,,,,,,1618,,,,,,,
1952,DE,Representative,All,88285,81730,,,,,,,,,,,,,
1952,FL,Representative,All,191582,547169,,,,,,,,,,53,,,
1952,GA,Representative,All,,547085,,,,,,,,179,,,,,
1952,HI,Delegate,All,67748,58445,,,,,,,,,,,,,
1952,ID,Representative,All,157181,107417,,,,,,,,,,,,,
1952,IL,Representative,All,2348723,2004628,,,,,,,,5,,,,,
1952,IN,Representative,All,1093589,830758,,,,,11216,,,,,,,,
1952,IA,Representative,All,762310,378763,,,,,1989,,,,,94,,,
1952,KS,Representative,All,489661,334278,,,,,,,,,,,,,
1952,KY,Representative,All,454802,495420,,573,,,,,,11,,,,,
1952,LA,Representative,All,36161,380242,,,,,,,,,,,,,
1952,ME,Representative,All,156727,76708,,,,,,,,,690,,,,
1952,MD,Representative,All,436113,405135,,,,,,,,,,,,,
1952,MA,Representative,All,1209742,1064454,,,,,14505,,,,,14,,,
1952,MI,Representative,All,1453181,1310578,,,,1537,6359,,,,,282,,,
1952,MN,Representative,All,749415,638773,,,,,,,,,,,,,
1952,MS,Representative,All,6024,234728,,,,,,,,,,,,,
1952,MO,Representative,All,890237,971199,,,,,,,,,,,,,
1952,MT,Representative,All,144296,110882,,,,,,888,,,,,,,
1952,NE,Representative,All,386432,179849,,,,,,,,,,2,,,
1952,NV,Representative,All,40683,39912,,,,,,,,,,,,,
1952,NH,Representative,All,162550,95119,,,,,,,,,,,,,
1952,NJ,Representative,All,1317404,977914,,,,2389,3110,,177,,14583,,,,
1952,NM,Representative,All,112297,121477,,,,,,,,,,,,,
1952,NY,Representative,All,3618645,2779852,94946,,413859,,,,,,3085,13,,,
1952,NC,Representative,All,358863,763388,,,,,,,,,,,,,
1952,ND,Representative,All,181218,49829,,,,,,,,,,49,,,
1952,OH,Representative,All,1836354,1471110,,74821,,,,,,,,,,,
1952,OK,Representative,All,383859,545713,,3764,,,,,,,,,,,
1952,OR,Representative,All,408349,257743,,,,,,,,,,,,,
1952,PA,Representative,All,2363167,2151247,,,,500,1485,1079,,,247,,,,
