Year,State,Race,Division,Democrat,Republican,Prohib.,Soc.-Lab.,Ind.,Lib.,Other,Scattering,Write-In,Soc. Work.,Am. Third
1954,AL,Senator,All,259348,55110,,,,,,,,,
1954,AR,Senator,All,291058,,,,,,,,,,
1954,CO,Senator,All,235686,248502,,,,,,,,,
1954,DE,Senator,All,82511,62389,,,,,,,,,
1954,GA,Senator,All,333917,,,,,,,19,,,
1954,ID,Senator,All,84139,142269,,,,,,,,,
1954,IL,Senator,All,1804338,1563683,,,,,,,,,
1954,IA,Senator,All,402712,442409,,,,,2234,,,,
1954,KS,Senator,All,258575,348144,11344,,,,,,,,
1954,KY,Senator,All,434109,362948,,,,,,,,,
1954,LA,Senator,All,207115,,,,,,,,,,
1954,ME,Senator,All,102075,144530,,,,,,,,,
1954,MA,Senator,All,927899,956605,2832,5353,,,,21,,,
1954,MI,Senator,All,1088550,1049420,4841,1126,,,,1,,902,
1954,MN,Senator,All,642193,479619,,,,,12457,,,4683,
1954,MS,Senator,All,100848,4678,,,,,,,,,
1954,MT,Senator,All,114591,112863,,,,,,,,,
1954,NE,Senator,All,162990,255695,,,,,,6,,,
1954,NH,Senator,All,77386,117150,,,,,,,,,
1954,NJ,Senator,All,858158,861528,,4832,,,,,7025,3590,35421
1954,NM,Senator,All,111351,83071,,,,,,,,,
1954,NC,Senator,All,408312,211322,,,,,,,,,
1954,OK,Senator,All,335127,363013,,,2980,,,,,,
1954,OR,Senator,All,285775,283313,,,,,,,,,
1954,RI,Senator,All,193654,132970,,,,,,,,,
1954,SC,Senator,All,83525,,,,,,240,,143444,,
1954,SD,Senator,All,100674,135017,,,,,,,,,
1954,TN,Senator,All,249121,106971,,,,,,,2,,
1954,TX,Senator,All,538417,95033,,,,,3025,,,,
1954,VA,Senator,All,244844,,,,32681,,28922,63,,,
1954,WV,Senator,All,325263,268066,,,,,,,,,
1954,WY,Senator,All,57845,54407,,,,,,,,,
1954,AL,Representative,All,268552,11236,,,,,,,1,,
1954,AK,Representative,All,19916,7083,,,,,,,,,
1954,AZ,Representative,All,121392,102010,,,,,,,,,
1954,AR,Representative,All,280264,,,,,,,,,,
1954,CA,Representative,All,1991169,1876626,,,,,5280,251,,,
1954,CO,Representative,All,259595,240074,,,,,415,,,,
1954,CT,Representative,All,457654,472677,,,,,5413,,,,
1954,DE,Representative,All,79201,65035,,,,,,,,,
1954,FL,Representative,All,255150,71137,,,,,,,,,
1954,GA,Representative,All,315131,29911,,,,,,5129,,,
1954,HI,Representative,All,68576,69466,,,,,,,,,
1954,ID,Representative,All,102895,123117,,,,,,,,,
1954,IL,Representative,All,1636443,1621278,,,,,,,,,
1954,IN,Representative,All,747800,833304,5527,,,,,,,,
1954,IA,Representative,All,338931,478322,,,,,,,,,
1954,KS,Representative,All,257531,347458,,,,,,,,,
1954,KY,Representative,All,431992,236194,,,302,,,,,,
1954,LA,Representative,All,208111,8212,,,,,,,,,
1954,ME,Representative,All,108548,132895,,,,,,,,,
1954,MD,Representative,All,342115,295426,,,,,1334,,,,
1954,MA,Representative,All,947494,835165,,,,,,63,,,
1954,MI,Representative,All,1100939,1028093,3064,1178,,,114,2,,,
1954,MN,Representative,All,600116,531376,,,,,,,,,
1954,MS,Representative,All,99342,,,,,,,,,,
1954,MO,Representative,All,665722,519091,,,,,,,,,
1954,MT,Representative,All,117109,107478,,,,,,,,,
1954,NE,Representative,All,156343,250347,,,,,,2,,,
1954,NV,Representative,All,35318,42321,,,,,,,,,
1954,NH,Representative,All,86913,104905,,,,,,,,,
1954,NJ,Representative,All,862382,903839,,474,20158,,,,,,
1954,NM,Representative,All,111711,77151,,,,,,,,,
1954,NY,Representative,All,2227212,2505228,,,,251290,14560,1588,,,
1954,NC,Representative,All,390167,214014,,,,,,,,,
1954,ND,Representative,All,64089,124845,,,,,,,,,
1954,OH,Representative,All,1113334,1340847,,,44656,,,,,,
1954,OK,Representative,All,354339,191450,,,,,,,,,
1954,OR,Representative,All,257108,307386,,,,,,,,,
1954,PA,Representative,All,1871625,1824186,,,,,99,,,,
1954,RI,Representative,All,195200,130859,,,,,,,,,
1954,SC,Representative,All,210624,2711,,,,,,,,,
1954,SD,Representative,All,94894,137273,,,,,,,,,
1954,TN,Representative,All,232524,112272,,,,,,,1,,
1954,TX,Representative,All,541755,80527,,,,,,481,,,
1954,UT,Representative,All,116625,146406,,,,,,,,,
1954,VT,Representative,All,44141,70143,,,,,,5,,,
1954,VA,Representative,All,204433,128315,,,9370,,150,76,,,
1954,WA,Representative,All,353761,462061,,,,,,,,,
1954,WV,Representative,All,339958,251534,,,,,,,,,
1954,WI,Representative,All,541776,598919,,,,,,93,,,
1954,WY,Representative,All,47660,61111,,,,,,,,,
