Year,State,Race,Division,Democrat,Republican,Prohib.,Ind.,Lib.,Soc.,Soc.-Lab.,Soc. Work.,Const.,Write-In,Other,Scattering,Ind. Rep.,Mil. Work.
1956,AL,President,All,280844,195694,,20323,,,,,,,,,,
1956,AZ,President,All,112880,176990,,,,,,,,,303,,,
1956,AR,President,All,213277,186287,,,,,,,7008,,,,,
1956,CA,President,All,2420135,3027668,11119,,,123,300,96,6087,,,827,,
1956,CO,President,All,263997,394479,,,,531,3308,,759,,,,,
1956,CT,President,All,405079,711837,,,,,,,,,,205,,
1956,DE,President,All,79421,98057,400,,,,110,,,,,,,
1956,FL,President,All,480371,643849,,,,,,,,,,,,
1956,GA,President,All,444388,222778,,,,,,,,1754,,,,
1956,ID,President,All,105868,166979,,,,,,,,142,,,,
1956,IL,President,All,1775682,2623327,,,,,8342,,,56,,,,
1956,IN,President,All,783908,1182811,6554,,,,1334,,,,,,,
1956,IA,President,All,501858,729187,,,,192,125,,3202,,,,,
1956,KS,President,All,296317,566878,3048,,,,,,,,,,,
1956,KY,President,All,476453,572192,2145,,,,358,,,,2657,,,
1956,LA,President,All,243977,329047,,,,,,,,,44520,,,
1956,ME,President,All,102468,249238,,,,,,,,,,,,
1956,MD,President,All,372613,559738,,,,,,,,,,,,
1956,MA,President,All,948190,1393197,1205,,,,5573,,,,341,,,
1956,MI,President,All,1359898,1713647,6923,,,,,,,,,,,
1956,MN,President,All,617525,719302,,,,,,1098,,,2080,,,
1956,MS,President,All,144498,56372,,42966,,,,,,,4313,,,
1956,MO,President,All,918273,914299,,,,,,,,,,,,
1956,MT,President,All,116238,154933,,,,,,,,,,,,
1956,NE,President,All,199029,378108,,,,,,,,,,,,
1956,NV,President,All,40640,56049,,,,,,,,,,,,
1956,NH,President,All,90364,176519,,,,,,,111,,,,,
1956,NJ,President,All,850337,1606942,9147,,,,6736,4004,,,7146,,,
1956,NM,President,All,106098,146788,607,,,,69,,,,364,,,
1956,NY,President,All,2458212,4340340,,,292557,,,,,,,2227,,
1956,NC,President,All,590530,575062,,,,,,,,,,,,
1956,ND,President,All,96742,156766,,,,,,,,,483,,,
1956,OH,President,All,1439655,2262610,,,,,,,,,,,,
1956,OK,President,All,385581,473769,,,,,,,,,,,,
1956,OR,President,All,329204,406393,,,,,,,,,,,,
1956,PA,President,All,1981769,2585252,,,,,7447,,,,2035,,,
1956,RI,President,All,161790,225819,,,,,,,,,,,,
1956,SC,President,All,136372,75700,,,,,,,,2,88509,,,
1956,SD,President,All,122288,171569,,,,,,,,,,,,
1956,TN,President,All,456507,462288,789,,,,,,,,19820,,,
1956,TX,President,All,859958,1080619,,,,,,,14591,,,,,
1956,UT,President,All,118364,215631,,,,,,,,,,,,
1956,VT,President,All,42549,110360,,,,,,,,,,39,,
1956,VA,President,All,267760,386459,,,,,351,,,,43408,,,
1956,WA,President,All,523002,620430,,,,,7457,,,,,,,
1956,WV,President,All,381534,449297,,,,,,,,,,,,
1956,WI,President,All,586768,954844,,8946,,,,,,,,,,
1956,WY,President,All,49554,74573,,,,,,,,,,,,
1956,AL,Senator,All,330182,,,,,,,,,,,,,
1956,AZ,Senator,All,170816,107447,,,,,,,,,,,,
1956,AR,Senator,All,331689,68016,,,,,,,,,,,,
1956,CA,Senator,All,2445816,2892918,22410,,,,,,,,,,,
1956,CO,Senator,All,319872,317102,,,,,,,,,,,,
1956,CT,Senator,All,479460,610829,,6219,,,,,,,7079,33,10199,
1956,FL,Senator,All,655418,,,,,,,,,,,,,
1956,GA,Senator,All,541094,,,,,,,,,173,,,,
1956,ID,Senator,All,149096,102781,,,,,,,,,13415,,,
1956,IL,Senator,All,1949883,2307352,,,,,7587,,,8,,,,
1956,IN,Senator,All,871781,1084262,6685,,,,1258,,,,,,,
1956,IA,Senator,All,543156,635499,,,,,,,,,,,,
1956,KS,Senator,All,333939,477822,13519,,,,,,,,,,,
1956,KY,Senator,All,499922,506903,,,,,,,,,,,,
1956,LA,Senator,All,335564,,,,,,,,,,,,,
1956,MD,Senator,All,420108,473059,,,,,,,,,,,,
1956,MO,Senator,All,1015936,785048,,,,,,,,,,,,
1956,NV,Senator,All,50677,45712,,,,,,,,,,,,
1956,NH,Senator,All,90519,161424,,,,,,,,,,,,
1956,NY,Senator,All,2964511,3723933,,,300648,,,,,,,2044,,
1956,NC,Senator,All,731433,367475,,,,,,,,,,,,
1956,ND,Senator,All,87919,155305,,,,,,,,,937,,,
1956,OH,Senator,All,1864589,1660910,,,,,,,,,,,,
1956,OK,Senator,All,459996,371146,,,,,,,,,,,,
1956,OR,Senator,All,396849,335405,,,,,,,,,,,,
1956,PA,Senator,All,2268641,2250671,,,,,7922,,,,,,,2640
1956,SC,Senator,All,230150,49695,,,,,,,,,,124,,
1956,SD,Senator,All,143001,147621,,,,,,,,,,,,
1956,UT,Senator,All,152120,178261,,,,,,,,,,,,
1956,VT,Senator,All,52184,103101,,,,,,,,,,4,,
1956,WA,Senator,All,685565,436652,,,,,,,,,,,,
1956,WI,Senator,All,627903,892473,,2745,,,,,,,,235,,
1956,AL,Representative,All,331137,51818,,,,,,,,,,,,
1956,AK,Delegate,All,18934,9332,,,,,,,,,,,,
1956,AZ,Representative,All,146915,133594,,,,,,,,,,,,
1956,AR,Representative,All,235445,34318,,,,,,,,,,,,
1956,CA,Representative,All,2710700,2466620,,,,,,,,,,563,,
1956,CO,Representative,All,332049,296502,,,,,,,,,,,,
1956,CT,Representative,All,437424,673507,,,,1454,,,,,1292,23,,
1956,DE,Representative,All,84664,91538,,,,,,,,,,,,
1956,FL,Representative,All,589574,352149,,,,,,,,,,,,
1956,GA,Representative,All,522162,59287,,10938,,,,,,149,,,,
1956,HI,Delegate,All,82067,66732,,,,,,,,,,,,
1956,ID,Representative,All,120722,139712,,,,,,,,,,,,
1956,IL,Representative,All,1967104,2272995,,,,,,,,,,,,
1956,IN,Representative,All,864351,1092368,4603,,,,,,,,,,,
1956,IA,Representative,All,533641,636573,,,,,,,,,,,,
1956,KS,Representative,All,387096,438949,1417,,,,,,,,,,,
1956,KY,Representative,All,503284,461644,113,,,,,,,,,,,
1956,LA,Representative,All,330270,57385,,,,,,,,,,,,
1956,ME,Representative,All,142041,150415,,,,,,,,,,,,
1956,MD,Representative,All,444418,421382,,,,,,,,,,,,
1956,MA,Representative,All,1092697,1148137,609,,,,,,,,63,,,
1956,MI,Representative,All,1490837,1500172,3635,,,,,,,,,33,,
1956,MN,Representative,All,712406,676104,,,,,,,,,,,,
1956,MS,Representative,All,205532,,,,,,,,,,,,,
1956,MO,Representative,All,1011057,681724,,,,,,,,,,,,
1956,MT,Representative,All,146449,116755,,,,,,,,,,,,
1956,NE,Representative,All,220372,323641,,,,,,,,,2389,,,
1956,NV,Representative,All,51100,43154,,,,,,,,,,,,
1956,NH,Representative,All,97930,155215,,,,,,,,,,,,
1956,NJ,Representative,All,972620,1391535,1921,,,,2217,303,,,19006,,,
1956,NM,Representative,All,257955,227250,,,,,,,,,,,,
1956,NY,Representative,All,2842426,3745059,,,298564,,,,,,762,,,
1956,NC,Representative,All,716201,309071,,,,,,,,,,,,
1956,ND,Representative,All,169027,279517,,,,,,,,,,,,
1956,OH,Representative,All,1444705,1936662,,,,,,,,,,,,
1956,OK,Representative,All,485321,326993,,401,,,,,,,,,,
1956,OR,Representative,All,380391,338303,,,,,,,,,,,,
