Year,State,Race,Division,Democrat,Republican,Prohibitionist,Ind.,Lib.,Conserv.,Soc.-Lab.,Write-In,Other,Scattering,Soc. Work.
1958,AK,Senator,A,40939,7299,,,,,,599,,,
1958,AK,Senator,B,26045,23464,,,,,,,,,
1958,AZ,Senator,All,129030,164593,,,,,,,,,
1958,CA,Senator,All,2927693,2204337,,,,,,1173,,2018,
1958,CT,Senator,All,554841,410622,,,,,,3043,,119,
1958,DE,Senator,All,72152,82280,,,,,,,,,
1958,FL,Senator,All,386113,155956,,,,,,,,,
1958,IN,Senator,All,973636,731635,19040,,,,,,,,
1958,ME,Senator,All,172704,111522,,,,,,,,,
1958,MD,Senator,All,367142,384931,,,,,,,,,
1958,MA,Senator,All,1362926,488318,5335,,,,5457,,,5,
1958,MI,Senator,All,1216966,1046963,3518,,,,3128,,,1,1068
1958,MN,Senator,All,608847,535629,,,,,,,,,5407
1958,MS,Senator,All,61039,,,,,,,,,,
1958,MO,Senator,All,780083,393847,,,,,,,,,
1958,MT,Senator,All,174910,54573,,,,,,,,,
1958,NE,Senator,All,185152,232227,,,,,,,,,
1958,NV,Senator,All,48732,35760,,,,,,,,,
1958,NJ,Senator,All,966832,882287,,,,,2935,,17850,,11669
1958,NM,Senator,All,127496,75827,,,,,,,,,
1958,NY,Senator,All,2434899,2842942,,,,,,,324138,95,
1958,ND,Senator,All,84892,117070,,,,,,,2673,,
1958,OH,Senator,All,1652211,1497199,,,,,,,,,
1958,PA,Senator,All,1929821,2042586,,,,,10431,,5742,42,
1958,RI,Senator,All,222166,122353,,,,,,,,,
1958,TN,Senator,All,317324,76371,,,,,,7970,,,
1958,TX,Senator,All,587030,185926,,,,,,14172,,,
1958,UT,Senator,All,112827,101471,,,,,,,77013,,
1958,VT,Senator,All,59536,64900,,,,,,,,6,
1958,VA,Senator,All,317221,,,,,,,,140378,41,
1958,WA,Senator,All,597040,278271,,,,,7592,,3919,,
1958,WV,Senator,All,381745,263172,,,,,,,,,
1958,WI,Senator,All,682440,510398,,,,,537,,,77,1226
1958,WY,Senator,All,58035,56122,,,,,,,,,
1958,AL,Representative,All,234712,6050,,,,,,,,,
1958,AK,Representative,All,27948,20699,,,,,,,,,
1958,AZ,Representative,All,139467,138099,,,,,,,,,
1958,AR,Representative,All,29483,,,,,,,30739,,,
1958,CA,Representative,All,2971861,1981276,,,,,,,,628,
1958,CO,Representative,All,309873,222979,,,,,,,,,
1958,CT,Representative,All,519185,429130,,,,,,,,13,
1958,DE,Representative,All,76797,76099,,,,,,,,,
1958,FL,Representative,All,354942,139419,,,,,,,,,
1958,GA,Representative,All,158636,,,,,,,,,,
1958,HI,Delegate,All,81915,67609,,,,,,,,,
1958,ID,Representative,All,124297,114731,,,,,,,,,
1958,IL,Representative,All,1754278,1468186,,,,,,,,,7430
1958,IN,Representative,All,921863,798782,819,,,,,,,,
1958,IA,Representative,All,417118,412798,,,,,,,,,
1958,KS,Representative,All,359763,354732,3199,,,,,,,,
1958,KY,Representative,All,290461,164425,,,,,,1622,,,
1958,LA,Representative,All,177963,4160,,,,,,1,,,
1958,ME,Representative,All,146084,128606,,,,,,,,,
1958,MD,Representative,All,463888,248238,,,,,,,,,
1958,MA,Representative,All,1021174,756374,549,,,,,,,122,
1958,MI,Representative,All,1193696,1054854,3190,,,,2069,,,1,
1958,MN,Representative,All,596257,534870,,,,,,,,,
1958,MS,Representative,All,61464,,,,,,,,,,
1958,MO,Representative,All,736877,429940,,,,,,,,,
1958,MT,Representative,All,147726,80744,,,,,,,,,
1958,NE,Representative,All,195450,220140,,,,,,,,,
1958,NV,Representative,All,55053,27275,,,,,,,,,
1958,NH,Representative,All,81263,115370,871,,,,,,,,
1958,NJ,Representative,All,938603,944349,,2817,,3444,6028,,11207,,
1958,NM,Representative,All,124924,72922,,,,,,,,,
1958,NY,Representative,All,2525165,2699291,,,297650,,,,810,,
1958,NC,Representative,All,431205,177651,,,,,,,,,
1958,ND,Representative,All,99562,97862,,,,,,,,,
1958,OH,Representative,All,1581014,1529569,,,,,,,,,
1958,OK,Representative,All,369271,159168,,1336,,,,,,,
1958,OR,Representative,All,338859,256256,,,,,,41,,,
1958,PA,Representative,All,2019994,1940666,,,,,,,538,,
1958,RI,Representative,All,215047,125523,188,,,,,,,,
1958,SC,Representative,All,76632,,,,,,,,,15,
1958,SD,Representative,All,132633,125273,,,,,,,,,
1958,TN,Representative,All,276870,94823,,,,,,112,,,
1958,TX,Representative,All,673765,91287,,,,,,3789,,,
1958,UT,Representative,All,140948,145375,,,,,,,,,
1958,VT,Representative,All,63131,59536,,,,,,,,35,
1958,VA,Representative,All,318543,86211,,26350,,,,,268,147,
1958,WA,Representative,All,406195,467678,,,,,,,2953,,
1958,WV,Representative,All,380983,234699,,,,,,105,,,
1958,WI,Representative,All,633152,547873,,,,,,,,75,
1958,WY,Representative,All,51886,59894,,,,,,,,,
