Year,State,Race,Division,Democrat,Republican,Prohibitionist,Ind.,Lib.,Soc.-Lab.,Const.,Write-In,Other,Scattering,Nat. St.,Conserv.,Soc. Work.
1960,AL,President,All,324050,237981,2106,,,,,,1485,236,4367,,
1960,AK,President,All,29809,30953,,,,,,,,,,,
1960,AZ,President,All,176781,221241,,,,469,,,,,,,
1960,AR,President,All,215049,184508,,,,,,,,,28952,,
1960,CA,President,All,3224099,3259722,21706,,,1051,,,,,,,
1960,CO,President,All,330629,402242,,,,2803,,,,,,,572
1960,CT,President,All,657055,565813,,,,,,,,,,,
1960,DE,President,All,99590,96373,,,,,,,,,,,
1960,FL,President,All,748700,795476,,,,,,,,,,,
1960,GA,President,All,458638,274472,,,,,,239,,,,,
1960,HI,President,All,92410,92295,,,,,,,,,,,
1960,ID,President,All,138853,161597,,,,,,,,,,,
1960,IL,President,All,2377846,2368988,,,,10560,,15,,,,,
1960,IN,President,All,952358,1175120,6746,,,1136,,,,,,,
1960,IA,President,All,550565,722381,,,,230,,634,,,,,
1960,KS,President,All,363213,561474,4138,,,,,,,,,,
1960,KY,President,All,521855,602607,,,,,,,,,,,
1960,LA,President,All,407339,230980,,,,,,,,,169572,,
1960,ME,President,All,181159,240608,,,,,,,,,,,
1960,MD,President,All,565808,489538,,,,,,,,,,,
1960,MA,President,All,1487174,976750,1633,,,3892,,,31,,,,
1960,MI,President,All,1687269,1620428,2029,,,1718,,,2306,,,,4347
1960,MN,President,All,779933,757915,,,,,,,962,,,,3077
1960,MS,President,All,108362,73561,,,,,,,116248,,,,
1960,MO,President,All,972201,962221,,,,,,,,,,,
1960,MT,President,All,134891,141841,456,,,,,,,,,,931
1960,NE,President,All,232542,380553,,,,,,,,,,,
1960,NV,President,All,54880,52387,,,,,,,,,,,
1960,NH,President,All,137772,157989,,,,,,,,,,,
1960,NJ,President,All,1385415,1363324,,,,4262,,,,,,8708,11402
1960,NM,President,All,156027,153733,777,,,570,,,,,,,
1960,NY,President,All,3830085,3446419,,,,,,,,256,,,14319
1960,NC,President,All,713136,655420,,,,,,,,,,,158
1960,ND,President,All,123963,154310,,,,,,,,,,,
1960,OH,President,All,1944248,2217611,,,,,,,,,,,
1960,OK,President,All,370111,533039,,,,,,,,,,,
1960,OR,President,All,367402,408060,,,,,,,,,,,
1960,PA,President,All,2556282,2439956,,,,7185,,,,440,,,2678
1960,RI,President,All,258032,147502,,,,,,,,,,,
