Year,State,Race,Division,Democrat,Republican,Ind.,Lib.,Prohib.,Soc.-Lab.,Soc. Work.,Other,Scattering,Write-In,Const.
1962,AL,Senator,All,201937,195134,,,,,,,,,
1962,AK,Senator,All,33827,24354,,,,,,,,,
1962,AZ,Senator,All,199217,163388,,,,,,,,,
1962,AR,Senator,All,214867,98013,,,,,,,,,
1962,CA,Senator,All,2452839,3180483,,,,,,,1689,12941,
1962,CO,Senator,All,279586,328655,1217,,,3546,440,,,,
1962,CT,Senator,All,527522,501694,,,,,,,85,,
1962,FL,Senator,All,657633,329381,,,,,,,193,,
1962,GA,Senator,All,306250,,,,,,,,,,
1962,HI,Senator,All,136294,60067,,,,,,,,,
1962,ID,Senator,All,141657,117129,,,,,,,,,
1962,IL,Senator,All,1748007,1961202,,,,,,,,,
1962,IN,Senator,All,905491,984547,,,,,,,,,
1962,IA,Senator,All,376602,431364,,,,,,,6,,
1962,KS,Senator,All,223630,388500,,,10098,,,,,,
1962,KY,Senator,All,387440,432648,,,,,,,,,
1962,LA,Senator,All,318838,103066,,,,,,,,,
1962,MD,Senator,All,439723,269131,,,,,,,,,
1962,MA,Senator,All,1162611,877669,50013,,1439,5330,,,23,,
1962,MO,Senator,All,663301,555330,,,,,,,,,
1962,NV,Senator,All,63443,33749,,,,,,,,,
1962,NH,Senator,All,90444,134035,,,,,,,,,
1962,NY,Senator,All,2289323,3272417,,,,7786,17440,,,,116151
1962,NC,Senator,All,491520,321635,,,,,,,,,
1962,ND,Senator,All,88032,135705,,,,,,,,,
1962,OH,Senator,All,1843813,1151173,,,,,,,,,
1962,OK,Senator,All,353890,307966,2856,,,,,,,,
1962,OR,Senator,All,344716,291587,,,,,,,,,
1962,PA,Senator,All,2238383,2134649,,,,10387,,,,,
1962,SC,Senator,All,178712,133930,,,,,,,,,
1962,SD,Senator,All,127458,126861,,,,,,,,,
1962,UT,Senator,All,151656,166755,,,,,,,,,
1962,VT,Senator,All,40134,81242,,,,,,,,,
1962,WA,Senator,All,491365,446204,,,,4730,,,,,930
1962,WI,Senator,All,662342,595846,2892,,,,,,88,,
1962,AL,Representative,All,304210,141202,,,,,,,,,
1962,AK,Representative,All,33953,26638,,,,,,,,,
1962,AZ,Representative,All,169632,179383,,,,,,,,,
1962,AR,Representative,All,133758,47805,,,,,,,,29,
1962,CA,Representative,All,2891518,2659662,,,,,,,2166,,
1962,CO,Representative,All,282474,314122,,,,,,,,,
1962,CT,Representative,All,556907,473659,,,,,,,4,1674,
1962,DE,Representative,All,81166,71934,,,,,,,,,
1962,FL,Representative,All,588719,351954,,,,,,,166,,
1962,GA,Representative,All,272494,59514,,,,,,,1356,,
1962,HI,Representative,All,123649,70880,,,,,,,,,
1962,ID,Representative,All,134574,119755,,,,,,,,,
1962,IL,Representative,All,1802063,1790824,,,,,,,2417,,
1962,IN,Representative,All,878311,911569,,,802,,,,,,
1962,IA,Representative,All,370362,432483,,,,,,,2,,
1962,KS,Representative,All,249556,375726,,,,,,,,,
1962,KY,Representative,All,372378,258182,893,,,,,,,,
1962,LA,Representative,All,303813,42419,,,,,,,,,
1962,ME,Representative,All,127288,158213,,,,,,,,,
1962,MD,Representative,All,403239,315533,,,,,,,,,
1962,MA,Representative,All,1146884,808240,,,15310,,,,47,,
1962,MI,Representative,All,1377814,1297259,,,,,,,6,,
1962,MN,Representative,All,599124,605054,,,,,575,,,,
1962,MS,Representative,All,157154,,4461,,,,,,,,
1962,MO,Representative,All,683877,528447,,,,,,,,,
1962,MT,Representative,All,119366,129075,,,,,,,,,
1962,NE,Representative,All,164403,271777,,,,,,,58,8794,
1962,NV,Representative,All,66866,26458,,,,,,,,,
1962,NH,Representative,All,99449,121803,,,,,,,,,
1962,NJ,Representative,All,980509,964280,4455,,,2611,155,6950,,,
1962,NM,Representative,All,152684,116262,,,,,,,,,
1962,NY,Representative,All,2613347,2686334,,259758,,,,1124,,,
1962,NC,Representative,All,482146,336383,,,,,,,,,
1962,ND,Representative,All,98749,117533,,,,,,,,,
1962,OH,Representative,All,1318741,1676274,5595,,,,,,,,
1962,OK,Representative,All,381737,242876,,,,,,,,,
1962,OR,Representative,All,342209,288571,,,,,,,,,
1962,PA,Representative,All,2135717,2217431,,,1059,,,,,,
1962,RI,Representative,All,207515,111139,,,,,,,,,
1962,SC,Representative,All,225714,36808,,,,,,,,,
1962,SD,Representative,All,101664,151067,,,,,,,,,
1962,TN,Representative,All,327492,212362,64280,,,,,,,1773,
1962,TX,Representative,All,1014147,489860,,,,,,,,,
1962,UT,Representative,All,149620,167417,,,,,,,,,
1962,VT,Representative,All,52535,68822,,,,,,,,,
1962,VA,Representative,All,268699,178913,,,,,,,540,,
1962,WA,Representative,All,337832,543318,,,,,,,,,
1962,WV,Representative,All,343274,269744,,,,,,,,,
1962,WI,Representative,All,620317,623907,,,,,,,107,,
1962,WY,Representative,All,44985,71489,,,,,,,,,
