Year,State,Race,Division,Democrat,Republican,Prohibitionist,Ind.,Lib.,Soc.-Lab.,Soc. Work.,Write-In,Other,Scattering,Nat. St.
1964,AL,President,All,210732,479085,,,,,,,,,
1964,AK,President,All,44329,22930,,,,,,,,,
1964,AZ,President,All,237753,242535,,,,482,,,,,
1964,AR,President,All,314197,243264,,,,,,,,,2965
1964,CA,President,All,4171877,2879108,305,,,489,378,,19,4510,
1964,CO,President,All,476024,296767,1356,,,302,2537,,,,
1964,CT,President,All,826269,390996,,,,,,,,1313,
1964,DE,President,All,122704,78078,425,,,113,,,,,
1964,FL,President,All,948540,905941,,,,,,,,,
1964,GA,President,All,522577,616600,,,,,,,,,
1964,HI,President,All,163249,44022,,,,,,,,,
1964,ID,President,All,148920,143557,,,,,,,,,
1964,IL,President,All,2796833,1905946,,,,,,,62,,
1964,IN,President,All,1170848,911118,8266,,,1374,,,,,
1964,IA,President,All,733030,449148,1902,,,182,159,,,118,
1964,KS,President,All,464028,386579,5393,,,1901,,,,,
1964,KY,President,All,669659,372977,,,,,,,,,3469
1964,LA,President,All,387068,509225,,,,,,,,,
1964,ME,President,All,262264,118701,,,,,,,,,
1964,MD,President,All,730912,385495,,,,,,,,,
1964,MA,President,All,1786422,549727,3735,,,4755,,,,159,
1964,MI,President,All,2136615,1060152,669,,,1704,3817,,,145,
1964,MN,President,All,991117,559624,,,,,,,,,
1964,MS,President,All,52618,356528,,,,,,,,,
1964,MO,President,All,1164344,653535,,,,,,,,,
1964,MT,President,All,164246,113032,499,,,,332,,,,519
1964,NE,President,All,307307,276847,,,,,,,,,
1964,NV,President,All,79339,56094,,,,,,,,,
1964,NH,President,All,182065,104029,,,,,,,,,
1964,NJ,President,All,1867671,963843,,,,7075,8181,,,,
1964,NM,President,All,194017,131838,543,,,1217,,,,,
1964,NY,President,All,4570724,2243559,,,342432,6085,3215,,,,
1964,NC,President,All,800139,624844,,,,,,,,,
1964,ND,President,All,149784,108207,174,,,,224,,,,
1964,OH,President,All,2498331,1470865,,,,,,,,,
1964,OK,President,All,519834,412665,,,,,,,,,
1964,OR,President,All,501017,282779,,,,,,,2509,,
1964,PA,President,All,3130954,1673657,,,,5092,,,10456,2531,
1964,RI,President,All,315463,74615,,,,,,,,,
1964,SC,President,All,215700,309048,,,,,,,8,,
1964,SD,President,All,163010,130108,,,,,,,,,
1964,TN,President,All,635047,508965,,,,,,,34,,
1964,TX,President,All,1663185,958566,,,,,,,5060,,
1964,UT,President,All,219628,180682,,,,,,,,,
1964,VT,President,All,108127,54942,,,,,,,,20,
1964,VA,President,All,558038,481334,,,,2985,,,,,
1964,WA,President,All,779699,470366,,,,7772,537,,,,
1964,WV,President,All,538087,253953,,,,,,,,,
1964,WI,President,All,1050424,638495,,,,1204,1692,,,,
1964,WY,President,All,80718,61998,,,,,,,,,
1964,AZ,Senator,All,227712,241089,,,,,,,,,
1964,CA,Senator,All,3411912,3628555,,,,,,,,1354,
1964,CT,Senator,All,781008,426939,,,,,,,,216,
1964,DE,Senator,All,96850,103782,,,,71,,,,,
1964,FL,Senator,All,997585,562212,,,,,,,,540,
1964,HI,Senator,All,96789,110747,,1278,,,,,,,
1964,IN,Senator,All,1128505,941519,5708,,,1231,,,,,
1964,ME,Senator,All,253511,127040,,,,,,,,,
1964,MD,Senator,All,678649,402393,,,,,,7,,,
1964,MA,Senator,All,1716907,587663,2700,,,4745,,,,13,
1964,MI,Senator,All,1996912,1096272,4125,,,1598,2754,,,6,
1964,MN,Senator,All,391353,605933,,,,,2357,,3947,,
1964,MS,Senator,All,343364,,,,,,,,,,
1964,MO,Senator,All,1186666,596377,,,,,,,,,
1964,MT,Senator,All,180643,99367,,,,,,,,,
1964,NE,Senator,All,217605,345772,,,,,,,,24,
1964,NV,Senator,All,67336,67288,,,,,,,,,
1964,NJ,Senator,All,1677515,1011280,,,,2125,6147,,12508,,
1964,NM,Senator,All,178209,147562,,,,,,,,,
1964,NY,Senator,All,3539103,3104056,,,284646,7358,4202,,212216,,
1964,ND,Senator,All,149264,109681,,,,,,,,,
1964,OH,Senator,All,1923608,1906781,,,,,,,,,
1964,OK,Senator,All,466782,445392,,,,,,,,,
1964,PA,Senator,All,2359223,2429858,,,,6881,,,7317,473,
1964,RI,Senator,All,319607,66715,,,,,,,,,
1964,TN,Senator,All,570542,493475,,,,,,,,,
1964,TX,Senator,All,1463958,1134337,,,,,,,5542,,
1964,UT,Senator,All,227822,169562,,,,,,,,,
1964,VT,Senator,All,76457,87879,,,,,,,,14,
1964,VA,Senator,All,592270,176624,,159428,,,,,,51,
1964,WA,Senator,All,875950,337138,,,,,,,,,
1964,WV,Senator,All,515015,246072,,,,,,,,,
1964,WI,Senator,All,892013,780116,,1541,,,,,,106,
1964,WY,Senator,All,76485,65185,,,,,,,,,
1964,AL,Representative,All,297951,317160,,2018,,,,,,,
1964,AK,Representative,All,34590,32556,,,,,,,,,
1964,AZ,Representative,All,230733,230091,,,,,,,,,
1964,AR,Representative,All,71228,58885,,,,,,,,,
1964,CA,Representative,All,3609315,3123828,,,,,,,,586,
1964,CO,Representative,All,440090,316322,,,,,1183,,,,
1964,CT,Representative,All,752983,456233,,,,,,,,163,
1964,DE,Representative,All,112361,86254,,,,76,,,,,
1964,FL,Representative,All,991897,420856,,,,,,,,2600,
1964,GA,Representative,All,553422,247624,,25006,,,,72,,,
1964,HI,Representative,All,140224,89425,,,,,,,,,
1964,ID,Representative,All,140225,144306,,,,,,,,,
1964,IL,Representative,All,2492433,2082167,,,,,,,,,
1964,IN,Representative,All,1094999,977548,734,,,,,,,,
1964,IA,Representative,All,622844,516929,,,,,,,1791,7,
1964,KS,Representative,All,362162,451526,,,,,,,,,
1964,KY,Representative,All,618489,336696,,,,,,,,,
1964,LA,Representative,All,429567,171137,,,,,,,,,
1964,ME,Representative,All,206126,163376,,,,,,,,,
1964,MD,Representative,All,636445,375746,,,,,,,,,
1964,MA,Representative,All,1313448,787292,,7440,,,,,,154,
1964,MI,Representative,All,1767716,1289291,1504,,,,1127,,,12,
1964,MN,Representative,All,826879,693118,,,,,,1311,,,
