Year,State,Race,Division,Democrat,Republican,Ind.,Conserv.,Lib.,Peace Free.,Am. Ind.,Other,Scattering,Write-In,Soc.-Lab.,Prohib.
1966,AL,Senator,All,482138,313018,7444,,,,,,8,,,
1966,AK,Senator,All,49289,15961,,,,,,,,,,
1966,CO,Senator,All,266198,368307,,,,,,,,332,,
1966,DE,Senator,All,67263,97268,,,,,,,,,,
1966,GA,Senator,All,631002,,,,,,,,328,,,
1966,ID,Senator,All,112637,139819,,,,,,,,,,
1966,IL,Senator,All,1678147,2100449,,,,,,,470,43658,,
1966,IA,Senator,All,324114,522339,,,,,,8961,1,,,2081
1966,KS,Senator,All,303223,350077,,7103,,,,,,1578,,9364
1966,KY,Senator,All,266079,483805,,,,,,,,,,
1966,LA,Senator,All,437695,,,,,,,,,,,
1966,ME,Senator,All,131136,188291,,,,,,,,108,,
1966,MA,Senator,All,774761,1213473,,,,,,,92,,6790,4833
1966,MI,Senator,All,1070484,1363808,,,,,,,185,,6166,
1966,MN,Senator,All,685840,574868,,,,,,10718,,,,
1966,MS,Senator,All,258248,105150,30502,,,,,,,,,
1966,MT,Senator,All,138166,121697,,,,,,,,,,
1966,NE,Senator,All,187950,296166,,,,,,,1032,,,
1966,NH,Senator,All,123888,105241,,,,,,,,108,,
1966,NJ,Senator,All,788021,1278843,,53606,,,,,,,10218,
1966,NM,Senator,All,137205,120988,,,,,,,,,,
1966,NC,Senator,All,501440,400502,,,,,,,,36,,
1966,OK,Senator,All,343157,295585,,,,,,,,,,
1966,OR,Senator,All,330374,354391,,,,,,,302,,,
1966,RI,Senator,All,219331,104838,,,,,,,,,,
1966,SC,Senator,All,164955,271297,,,,,,,,,,
1966,SD,Senator,All,76563,150517,,,,,,,,,,
1966,TN,Senator,All,383843,483063,,,,,,,,55,,
1966,TX,Senator,All,643855,841501,,,,,,6778,45,,,
1966,VA,Senator,All,429855,245681,58251,,,,,,92,,,
1966,WV,Senator,All,292325,189891,,,,,,,,,,
1966,WY,Senator,All,59141,63548,,,,,,,,,,
1966,AL,Representative,All,429770,275482,,,,,,,9,,,
1966,AK,Representative,All,31867,34040,,,,,,,,,,
1966,AZ,Representative,All,159945,204478,,,,,,,,,,
1966,AR,Representative,All,160896,130742,,,,,,,,,,
1966,CA,Representative,All,2937862,3336943,,,,,,,3769,,,
1966,CO,Representative,All,339750,298472,,,,,,2263,,,,
1966,CT,Representative,All,543149,443319,,,,,14461,2238,450,,,
1966,DE,Representative,All,72142,90961,,,,,,,,,,
1966,FL,Representative,All,680466,368976,,,,,,,4333,,,
1966,GA,Representative,All,557886,292450,,,,,,,712,,,
1966,HI,Representative,All,140880,67281,,,,,,,,,,
1966,ID,Representative,All,112637,139819,,,,,,,,,,
1966,IL,Representative,All,1707576,2027714,,,,,,,20,,,
1966,IN,Representative,All,779588,897086,1363,,,,,,,,,
1966,IA,Representative,All,417740,458948,,,,,,2278,2,,,
1966,KS,Representative,All,241571,416610,,2349,,,,,,,,
1966,KY,Representative,All,357345,319636,,,,,,,,143,,
1966,LA,Representative,All,447006,99252,,,,,,,,,,
1966,ME,Representative,All,167258,138460,7098,,,,,,,,,
1966,MD,Representative,All,429380,336043,,,,,,,,,,
1966,MA,Representative,All,1098362,713144,,,,,,,78,,,
1966,MI,Representative,All,1150494,1216008,,,,,,,838,,,
1966,MN,Representative,All,590327,630049,,,,,,,,,,
1966,MS,Representative,All,282574,61514,38459,,,,,,,,,
1966,MO,Representative,All,117431,140940,,,,,,,,,,
1966,MT,Representative,All,561112,484098,,,,,,,,,,
1966,NE,Representative,All,178518,292603,,,,,,,23,,,
1966,NV,Representative,All,86467,41383,,,,,,,,,,
1966,NH,Representative,All,89575,139048,,,,,,,,,,
1966,NJ,Representative,All,1020779,1045641,1907,20925,,,,8739,,,,
1966,NM,Representative,All,140057,124536,,,,,,,,,,
1966,NY,Representative,All,2544838,2375636,,255487,315556,3562,,17575,,432,,
1966,NC,Representative,All,484413,432036,,,,,,,,,,
1966,ND,Representative,All,80687,116812,,,,,,,,,,
1966,OH,Representative,All,1196149,1599492,,,,,,,,,,
1966,OK,Representative,All,333597,302792,,,,,,,,,,
1966,OR,Representative,All,314881,349902,,,,,,,96,,,
1966,PA,Representative,All,1897161,2070037,,,,,,,,,,
1966,RI,Representative,All,196957,124531,,,,,,,,,,
1966,SC,Representative,All,257193,106775,,,,,,,345,,,
1966,SD,Representative,All,81391,143655,,,,,,,,,,
1966,TN,Representative,All,382296,395811,21752,,,,,,,12,,
1966,TX,Representative,All,1037344,206419,,5773,,,,8832,103,,,
1966,UT,Representative,All,111261,169176,,,,,,,,,,
1966,VT,Representative,All,46643,89097,,,,,,,8,,,
1966,VA,Representative,All,391538,268094,14827,,,,,,8278,,,
1966,WA,Representative,All,474021,449765,,12576,,3079,,,,,,
1966,WV,Representative,All,262023,232322,,,,,,,,,,
1966,WI,Representative,All,532897,620786,235,,,,,,23,,,
1966,WY,Representative,All,56442,62984,,,,,,,,,,
