Year,State,Race,Division,Democrat,Republican,Am. Ind.,Peace Free.,Soc. Work.,Soc.-Lab.,Prohib.,Lib.,Conserv.,Write-In,Scattering,Other
1968,AL,President,All,196579,146923,691425,,,,4022,,,,8,10960
1968,AK,President,All,35411,37600,10024,,,,,,,,,
1968,AZ,President,All,170514,266721,46573,217,85,75,,,,,,2751
1968,AR,President,All,184901,189062,235627,,,,,,,,,
1968,CA,President,All,3186270,3407851,481665,26992,,,,,,,,
1968,CO,President,All,331063,409345,60813,275,235,3016,,,,948,,1393
1968,CT,President,All,621561,556721,76650,,,,,,,,1300,
1968,DC,President,All,139566,31012,,,,,,,,,,
1968,DE,President,All,89194,96714,28459,,,,,,,,,
1968,FL,President,All,676794,886804,624207,,,,,,,,,
1968,GA,President,All,334439,366611,535550,,,,,,,128,,
1968,HI,President,All,141324,91425,3469,,,,,,,,,
1968,ID,President,All,89273,165369,36541,,,,,,,,,
1968,IL,President,All,2039814,2174774,390958,,13878,,,,,325,,
1968,IN,President,All,806659,1067885,243108,,1293,,4616,,,,,
1968,IA,President,All,476699,619106,66422,1332,,241,362,,,,250,3519
1968,KS,President,All,302996,478674,,,,,2192,,88921,,,
1968,KY,President,All,397541,462411,193098,,2843,,,,,,,
1968,LA,President,All,309615,257535,530300,,,,,,,,,
1968,ME,President,All,217312,169254,6370,,,,,,,,,
1968,MD,President,All,538310,517995,178734,,,,,,,,,
1968,MA,President,All,1469218,766844,87088,,,6180,2369,,,,53,
1968,MI,President,All,1593082,1370665,331968,,4099,1762,60,,,,,4585
1968,MN,President,All,857738,658643,68931,935,808,,,,,755,,700
1968,MS,President,All,150644,88516,415349,,,,,,,,,
1968,MO,President,All,791444,811932,206126,,,,,,,,,
1968,MT,President,All,114117,138835,20015,,457,,510,,,,,470
1968,NE,President,All,170784,321163,44904,,,,,,,,,
1968,NV,President,All,60598,73188,20432,,,,,,,,,
1968,NH,President,All,130589,154903,11173,,104,,,,,,,421
1968,NJ,President,All,1264206,1325467,262187,8084,8667,6784,,,,,,
1968,NM,President,All,130081,169692,25737,,252,,,,,,,1519
1968,NY,President,All,3066848,3007932,,24517,11851,8432,,311622,,,,358864
