Year,State,Race,Division,Democrat,Republican,Am. Ind.,Peace. Free,Soc. Work.,Soc.-Lab.,Lib.,Conserv.,Ind.,Scattering,Other,Prohib.
1970,AZ,Senator,All,179512,228284,,,,,,,,,,
1970,CA,Senator,All,3496558,2877617,61251,56731,,,,,,,,
1970,CT,Senator,All,368111,454721,,,,,,,,24,266497,
1970,DE,Senator,All,64740,94979,1720,,,,,,,,,
1970,FL,Senator,All,902438,772817,,,,,,,,123,,
1970,HI,Senator,All,116897,124163,,,,,,,,,,
1970,IL,Senator,All,2065054,1519718,,,8859,5564,,,,77,,
1970,IN,Senator,All,870990,866707,,,,,,,,,,
1970,ME,Senator,All,199954,123906,,,,,,,,,,
1970,MD,Senator,All,460422,484960,10988,,,,,,,,,
1970,MA,Senator,All,1202856,715978,,,,10378,,,,451,,5944
1970,MI,Senator,All,1744672,858438,,,3861,3254,,,,538,,
1970,MN,Senator,All,788256,568025,,,6122,,,,,,2484,
1970,MS,Senator,All,286622,37593,,,,,,,,,,
1970,MO,Senator,All,654831,617903,10065,,,,,,,,513,
1970,MT,Senator,All,150060,97809,,,,,,,,,,
1970,NE,Senator,All,217681,240894,,,,,,,,391,,
1970,NV,Senator,All,85187,60838,1743,,,,,,,,,
1970,NJ,Senator,All,1157074,903026,,,,,,,,,,
1970,NM,Senator,All,151486,135004,,,,,,,,,,
1970,NY,Senator,All,2171232,1178679,,,3549,3204,225793,2179640,,,112647,
1970,ND,Senator,All,134519,82996,,,,,,,2045,,,
1970,OH,Senator,All,1495262,1565682,61261,,,29069,,,,,,
1970,PA,Senator,All,1653774,1874106,18275,,3970,4375,,3932,,60,85813,
1970,RI,Senator,All,230469,107351,,2406,996,,,,,,,
1970,TN,Senator,All,519858,562645,8691,,,,,,5845,2,,
1970,TX,Senator,All,1226568,1071234,,,,,,,,1808,,
1970,UT,Senator,All,210207,159004,5092,,,,,,,,,
1970,VT,Senator,All,62217,91198,,,,,,,,14,1416,
1970,VA,Senator,All,294582,144765,,,,,,,506237,30,,
1970,WA,Senator,All,879385,170790,,,9255,,,,,,7377,
1970,WV,Senator,All,345965,99658,,,,,,,,,,
1970,WI,Senator,All,948445,381297,6137,,580,428,,,2022,58,,
1970,WY,Senator,All,67207,53279,,,,,,,,,,
1970,AL,Representative,All,475095,189050,,,,,,9499,1200,,67228,
1970,AK,Representative,All,44137,35947,,,,,,,,,,
1970,AZ,Representative,All,182256,218506,1357,,,,,,,,,
1970,AR,Representative,All,57679,115532,,,,,,,,,,
1970,CA,Representative,All,3169817,3047735,60620,38436,,,,,,2786,,
1970,CO,Representative,All,310027,317696,652,,,,,,1598,,7085,
1970,CT,Representative,All,531523,524953,1428,,,,,,,37,12563,
1970,DE,Representative,All,71429,86125,,,,,,,,,2759,
1970,FL,Representative,All,681390,568718,,,,,,,,,,
1970,GA,Representative,All,653513,225632,,,,,,,,96,,
1970,HI,Representative,All,176449,31764,,,,,,,,,,
1970,ID,Representative,All,87615,143943,2625,,,,,,,,,
1970,IL,Representative,All,1814064,1670861,,,,,,,,53,,
1970,IN,Representative,All,878841,848785,,,,,,,,,,
1970,IA,Representative,All,387510,388428,2465,,,,,,,26,1262,
1970,KS,Representative,All,303988,407264,,,,,,8417,,2,,
1970,KY,Representative,All,247585,222813,3265,,,,,,,,,
1970,LA,Representative,All,330464,19703,,,,,,,12881,,,
1970,ME,Representative,All,195718,122313,,,,,,,,,,
1970,MD,Representative,All,452549,430300,2695,,,,,,,,,
1970,MA,Representative,All,1019657,718052,,,,,,,17395,116,45278,
1970,MI,Representative,All,1314448,1241474,5557,,704,120,,,,95,,
1970,MN,Representative,All,709635,623583,,,783,,,,1625,,,
1970,MS,Representative,All,269193,28847,,,,,,,14317,,,
1970,MO,Representative,All,692026,493557,11824,,,,,,,,,
1970,MT,Representative,All,141257,108140,,,,,,,,,,
1970,NE,Representative,All,164558,242507,,,,,,,40919,115,,
1970,NV,Representative,All,113496,24147,,,,,,,,,,
1970,NH,Representative,All,67256,146389,,,,,,,,,,
1970,NJ,Representative,All,1100262,986242,,,,853,,8800,,,4498,
1970,NM,Representative,All,129116,152261,,,,,,,,,,
1970,NY,Representative,All,2422171,2216721,,,242,,285071,509912,,,11755,
1970,NC,Representative,All,513905,410742,5301,,,,,,,,,
1970,ND,Representative,All,88104,122056,,,,,,,,,,
1970,OH,Representative,All,1323721,1706205,11977,,,,,,,558,,
1970,OK,Representative,All,428706,245216,1000,,,,,,534,,,
1970,OR,Representative,All,337998,314724,,,,,,,,268,,
1970,PA,Representative,All,1945360,1611619,7560,,,,,,,,48524,
1970,RI,Representative,All,207987,114781,,2327,,,,,,,518,
1970,SC,Representative,All,309487,115531,,,,,,,1947,,,
1970,SD,Representative,All,127561,107422,,,,,,,,,,
1970,TN,Representative,All,579783,403233,,,,,,,4615,323,,
1970,TX,Representative,All,1339012,476824,,,,,,,,17388,,
1970,UT,Representative,All,182499,186818,3583,,,,,,,,,
1970,VT,Representative,All,44415,103806,,,,,,,,21,4315,
1970,VA,Representative,All,464781,413748,,,,,,,25399,72,,
1970,WA,Representative,All,608508,403946,,,7946,,,,,,1724,
1970,WV,Representative,All,286006,152877,,,,,,,,,,
1970,WI,Representative,All,740485,576575,8659,,,,,,,97,208,
1970,WY,Representative,All,58456,57848,,,,,,,,,,
