Year,State,Race,Division,Democrat,Republican,Am. Ind.,Peace. Free,Soc. Work.,Soc.-Lab.,Prohib.,Lib.,Conserv.,Ind.,Write-In,Scattering,Other,Comm.,Libertar.
1972,AL,President,All,219108,728701,6903,,,,8551,,11918,,,,37815,,
1972,AK,President,All,32967,55349,,,,,,,,,,,,,
1972,AZ,President,All,198540,402812,21208,,30945,,,,,,,,,,
1972,AR,President,All,198899,445751,3016,,,,,,,,,,,,
1972,CA,President,All,3431824,4544134,230496,53446,,,,,,,,,,,
1972,CO,President,All,329980,597189,17269,2403,666,4361,467,,,,6,,,432,1111
1972,CT,President,All,555498,810763,17239,,,,,,,,,777,,,
1972,DC,President,All,127627,35226,,,316,,,,,,,,,252,
1972,DE,President,All,92283,140357,2638,,,,238,,,,,,,,
1972,FL,President,All,718117,1857759,,,,,,,,,,7407,,,
1972,GA,President,All,289529,881496,812,,,3,,,,,2932,,,,
1972,HI,President,All,101409,168865,,,,,,,,,,,,,
1972,ID,President,All,80826,199384,28869,903,397,,,,,,,,,,
1972,IL,President,All,1913472,2788179,2471,,,12344,,,,,348,,,4541,
1972,IN,President,All,708568,1405154,,4544,5575,1688,,,,,,,,,
1972,IA,President,All,469206,706207,22056,,488,195,,,,,,321,199,272,
1972,KS,President,All,270287,619812,,,,,4188,,21808,,,,,,
1972,KY,President,All,371159,676446,17627,,685,,,,,,,,1118,464,
1972,LA,President,All,298142,686852,52099,,14398,,,,,,,,,,
1972,ME,President,All,160584,256458,,,,,,,,,,,,,
1972,MD,President,All,505781,829305,18726,,,,,,,,,,,,
1972,MA,President,All,1332540,1112078,2877,101,10600,129,,,,,,342,,46,43
1972,MI,President,All,1459435,1961721,63321,,1603,2437,,,,,,,,1210,
1972,MN,President,All,802346,897569,31407,,940,4261,,,,,962,,2855,662,
1972,MS,President,All,126782,505125,11598,,2458,,,,,,,,,,
1972,MO,President,All,697147,1153852,,,,,,,,,,,,,
1972,MT,President,All,120197,183976,13430,,,,,,,,,,,,
1972,NE,President,All,169991,406298,,,,,,,,,,,,,
1972,NV,President,All,66016,115750,,,,,,,,,,,,,
1972,NH,President,All,116435,213724,3386,,368,,,,,,,142,,,
1972,NJ,President,All,1102211,1845502,34378,,2233,4544,,,,,,,7098,1263,
1972,NM,President,All,141084,235606,8767,,474,,,,,,,,,,
1972,NY,President,All,2767956,3824642,,,7797,4530,,,368136,,,,183128,5641,
1972,NC,President,All,438705,1054889,25018,,,,,,,,,,,,
1972,ND,President,All,100384,174109,5646,,288,,,,,,,,,87,
1972,OH,President,All,1558889,2441827,80067,,,7107,,,,,460,,,6437,
1972,OK,President,All,247147,759025,23728,,,,,,,,,,,,
1972,OR,President,All,392760,486686,43728,,,,,,,,2289,,,,
1972,PA,President,All,1796951,2714521,,,4639,,,,,,,2715,70593,2686,
1972,RI,President,All,194645,220383,,,729,,,,,,,,,,
1972,SC,President,All,184559,477044,10075,,,,,,,,17,,2265,,
1972,SD,President,All,139945,166476,,,994,,,,,,,,,,
1972,TN,President,All,357293,813147,30373,,,,,,,,369,,,,
1972,TX,President,All,1154289,2298896,6039,,8664,,,,,,3393,,,,
