Year,State,Race,Division,Democrat,Republican,Am.,Ind.,Prohib.,Conserv.,US Lab.,Soc.-Lab.,Soc. Work.,Lib.,Other,Write-In,Peace Free.
1974,AL,Senator,All,501541,,,,21749,,,,,,,,
1974,AK,Senator,All,54361,38914,,,,,,,,,,,
1974,AZ,Senator,All,229523,320396,,,,,,,,,,,
1974,AR,Senator,All,461956,82026,,,,,,,,,,,
1974,CA,Senator,All,3639334,2176315,100111,,,,,,,,,,95394
1974,CO,Senator,All,471688,325526,2394,16131,8404,,,,,,,28,
1974,CT,Senator,All,690820,372055,2682,,,,,,,,19184,177,
1974,FL,Senator,All,781031,736674,282659,,,,,,,,,175,
1974,GA,Senator,All,627376,246866,,,,,,,,,,313,
1974,HI,Senator,All,207454,,,,42767,,,,,,,,
1974,ID,Senator,All,145140,109072,4635,,,,,,,,,,
1974,IL,Senator,All,1811496,1084884,,,,,,,12413,,5873,,
1974,IN,Senator,All,889269,814117,49592,,,,,,,,,,
1974,IA,Senator,All,426947,420546,6028,,,,,,,,,,
1974,KS,Senator,All,390451,403983,,,,,,,,,,3,
1974,KY,Senator,All,398887,328260,17551,,,,,,,,,,
1974,LA,Senator,All,434643,,,,,,,,,,,,
1974,MD,Senator,All,374563,503223,,,,,,,,,,,
1974,MO,Senator,All,735433,480900,,7970,,,,,,,,,
1974,NV,Senator,All,78981,79605,10887,,,,,,,,,,
1974,NH,Senator,All,110924,110926,1513,,,,,,,,,,
1974,NY,Senator,All,1973781,2098529,,,,822584,,4037,7727,241659,15133,,
1974,NC,Senator,All,633775,377618,,,,,,8974,,,,,
1974,ND,Senator,All,114675,114852,,7532,,,,,,,,,
1974,OH,Senator,All,1930670,918133,,138803,,,,,,,,,
1974,OK,Senator,All,387162,390997,,13650,,,,,,,,,
1974,OR,Senator,All,338591,420984,,,,,,,,,,6839,
1974,PA,Senator,All,1596121,1843317,,,,,,,,,38004,370,
1974,SC,Senator,All,356126,146645,,9626,,,,,,,,,
1974,SD,Senator,All,147929,130955,,,,,,,,,,,
1974,UT,Senator,All,185377,210299,24966,,,,,,,,,,
1974,VT,Senator,All,67125,66223,,,,,,,,,9405,19,
1974,WA,Senator,All,611811,363626,19871,,,,4363,,8176,,,,
1974,WI,Senator,All,740700,429327,24003,5396,,,,,,,,69,
1974,AL,Representative,All,375976,169304,,,4324,5175,,,,,5723,898,
1974,AK,Representative,All,44280,51641,,,,,,,,,,,
1974,AZ,Representative,All,269489,266117,,,,,,,,,8199,18,
1974,AR,Representative,All,267573,156183,,,,,,,,,,,
1974,CA,Representative,All,3265153,2334870,109751,,,,,,,,35984,,
1974,CO,Representative,All,413533,364470,1105,5580,,,,,,,,50,
1974,CT,Representative,All,620029,440207,,3947,,,,,,,14250,100,
1974,DE,Representative,All,63490,93826,1250,,370,,151,,,,1241,,
1974,FL,Representative,All,477121,580975,,,,,,,,,,3524,
1974,GA,Representative,All,588538,233769,,,,,,,,,,116,
1974,HI,Representative,All,158468,101049,,,,,,,,,,,
1974,ID,Representative,All,107600,142678,,,,,,,,,,,
1974,IL,Representative,All,1601152,1218921,,21397,,,,,620,,,19,
1974,IN,Representative,All,956675,770154,2584,,,,,,1421,,,,
1974,IA,Representative,All,488214,413230,2025,,,,,,,,,,
1974,KS,Representative,All,325400,417956,28509,,3693,,,,,,,,
1974,KY,Representative,All,425272,238637,14608,708,,,,,,,,,
1974,LA,Representative,All,396581,140008,,9453,,,,,,,,,
1974,ME,Representative,All,140923,212357,,,,,,,,,,,
1974,MD,Representative,All,526809,347280,,,,,,,,,,,
1974,MA,Representative,All,1168252,401300,,102762,,,19707,,,,6421,259,
1974,MI,Representative,All,1467038,1017785,20459,,,,1930,155,5337,,6700,,
1974,MN,Representative,All,705139,491912,,2987,,,,,1887,,16932,,
1974,MS,Representative,All,156119,130999,,18791,,,,,,,,,
1974,MO,Representative,All,809719,396617,,2706,,,,,,,,,
1974,MT,Representative,All,148984,105162,,,,,,,,,,,
1974,NE,Representative,All,211496,236076,,,,,,,,,,119,
1974,NV,Representative,All,93665,61182,13119,,,,,,,,,,
1974,NH,Representative,All,96851,122678,,,,,,,,,,,
1974,NJ,Representative,All,1240933,794698,,17488,,,,5122,,,25316,,
1974,NM,Representative,All,162095,149313,4929,,,,,,,,,,
1974,NY,Representative,All,2573185,1846094,,,,292467,,1242,1838,177642,1881,,
1974,NC,Representative,All,637833,347603,,,,,,2904,,,,,
1974,ND,Representative,All,103504,130184,,,,,,,,,,,
1974,OH,Representative,All,1396530,1458222,,90014,,,,,,,,159,
1974,OK,Representative,All,294704,208243,,3365,,,,,,,,,
1974,OR,Representative,All,482462,270319,,,,,,,,,,414,
1974,PA,Representative,All,1937154,1421944,,,,,,1141,,,16822,216,
1974,RI,Representative,All,230047,73824,,,,,,,,,,,
1974,SC,Representative,All,301516,212893,,2274,,,,,,,529,,
1974,SD,Representative,All,105458,167012,,,,,,,,,,,
1974,TN,Representative,All,533402,363502,,3818,,,,,,,,1107,
1974,TX,Representative,All,1074982,406744,4754,650,,,,,1120,,,,
1974,UT,Representative,All,230532,163066,18146,,,,,,,,1218,,
1974,VT,Representative,All,53701,74561,,,,,,,,,12602,35,
1974,VA,Representative,All,506838,361302,,54561,,,,,,,,1485,
1974,WA,Representative,All,574055,400557,,,,,4554,,1759,,,,
1974,WV,Representative,All,290146,125368,,,,,,,,,,,
1974,WI,Representative,All,703992,745292,17026,,,,,,,,,260,
1974,WY,Representative,All,69434,57499,,,,,,,,,,,
