Year,State,Race,Division,Democrat,Republican,Am. Ind.,Soc. Work.,Soc. Lab.,Libertar.,Am.,Ind.,Write-In,Scattering,Other,US Lab.,Comm.,Prohib.,People's,Soc.
1976,AL,President,All,659170,504070,9198,,,1781,,,,,308,,1954,6669,,
1976,AK,President,All,44058,71555,,,,6785,,,,,1176,,,,,
1976,AZ,President,All,295602,418642,85,928,,7647,564,19229,,,22,,,,,
1976,AR,President,All,498604,267903,389,,,,,639,,,,,,,,
1976,CA,President,All,3742284,3882244,51098,17259,,56388,,,,,,,12766,,41731,
1976,CO,President,All,460801,584278,,1122,,5338,,26047,,,,565,403,2886,,
1976,CT,President,All,647895,719261,7101,,,,,,,,10309,1789,,,,
1976,DC,President,All,137818,27873,,545,,274,,,,,1944,157,219,,,
1976,DE,President,All,122461,109780,,,86,,645,2432,,,,135,,103,,
1976,FL,President,All,1636000,1469531,,,,,21325,23643,,,132,,,,,
1976,GA,President,All,979409,483743,,,,,,,,,,,,,,
1976,HI,President,All,147375,140003,,,,3923,,,,,,,,,,
1976,ID,President,All,126549,204151,5935,,,3558,,,,,,739,,,,
1976,IL,President,All,2271295,2364269,,3615,2422,8057,,55939,,,4417,2018,9250,,,
1976,IN,President,All,1014714,1185958,,5695,,,14048,,,,,1947,,,,
1976,IA,President,All,619931,932863,,267,167,1452,3040,20051,,,506,241,554,,,234
1976,KS,President,All,430421,502752,2118,,,3242,4724,13185,,,,,,1403,,
1976,KY,President,All,615717,531852,2328,350,,814,8308,6837,,,,510,426,,,
1976,LA,President,All,661365,587446,10058,1473,,3134,,6490,,,,,7417,,,
1976,ME,President,All,232279,236320,,,,,,10874,,,,,,3495,,
1976,MD,President,All,759612,672661,,,,,,,,,,,,,,
1976,MA,President,All,1429475,1030276,,8138,19,135,7555,65637,,,1354,4922,,14,33,
1976,MI,President,All,1696714,1893742,,1804,1148,5407,,47905,,,,1366,,,3504,
1976,MN,President,All,1070440,819395,,4149,370,3529,13592,35490,,,342,543,1092,,635,354
1976,MS,President,All,381329,366846,4049,2805,,2609,6678,4074,,,,,,,,
1976,MO,President,All,998387,927443,,,,,,24029,,,3741,,,,,
1976,MT,President,All,149259,173703,,,,,5772,,,,,,,,,
1976,NE,President,All,233293,359219,3378,,,1476,,9383,,,,,,,,
1976,NV,President,All,92479,101273,1497,,,1519,,,,,5108,,,,,
1976,NH,President,All,147645,185935,,161,66,936,,4095,,,603,186,,,,
1976,NJ,President,All,1444653,1509688,7716,1184,3686,9449,,32717,,,,1650,1662,554,1044,469
1976,NM,President,All,201148,211419,,2462,,1110,,,,,,,,211,,240
1976,NY,President,All,3389558,3100791,,6996,,12197,,,,,143037,5413,10270,,,
1976,NC,President,All,927365,741960,,,,2219,5607,,,,,755,,,,
1976,ND,President,All,136078,153684,269,43,,256,3698,2952,,,,142,85,63,,38
1976,OH,President,All,2009959,2000626,15508,4833,68,8952,,58267,,,,4364,7817,62,,
1976,OK,President,All,532442,545708,,,,,,14101,,,,,,,,
1976,OR,President,All,490407,492120,,,,,1035,40207,,,6107,,,,,
1976,PA,President,All,2328677,2205604,25344,3009,,,,50584,,,2934,2744,1891,,,
1976,RI,President,All,227636,181249,,462,188,715,,,,,,,334,,,
1976,SC,President,All,450807,346149,1950,,,,2996,,,,681,,,,,
1976,SD,President,All,147068,151505,,168,,1619,,,,,,,318,,,
1976,TN,President,All,825879,633969,2303,,,1375,5769,5004,,,546,512,547,442,,
1976,TX,President,All,2082319,1953300,,1723,,,11442,20118,,,2982,,,,,
1976,UT,President,All,182110,337908,1162,268,,2438,13304,3907,,,,,121,,,
1976,VT,President,All,77798,100387,,430,,,,4001,,,1090,196,,,,
1976,VA,President,All,813896,836554,,17802,,4648,16686,,,,,7508,,,,
1976,WA,President,All,717323,777732,8585,905,713,5042,5046,36986,,,,903,817,,1124,358
1976,WV,President,All,435864,314726,,,,,,,,,,,,,,
1976,WI,President,All,1040232,1004987,8552,1691,389,3814,,34943,,,,738,749,,943,4298
1976,WY,President,All,62239,92717,30,,,89,290,624,,,354,,,,,
1976,AL,Senator,All,400334,321236,,,,7310,,12330,,,,,,,,
1976,CA,Senator,All,3502862,3748973,82739,,,,,31629,,,104383,,,,,
1976,CT,Senator,All,561018,785683,,,,,,,,558,14407,,,,,
1976,DE,Senator,All,98042,125454,,,,,646,,,,653,,,,,
1976,FL,Senator,All,1799518,1057886,,,,,,,,130,,,,,,
1976,HI,Senator,All,162305,122724,,,,1404,,,,,15659,,,,,
1976,IN,Senator,All,868522,1275833,,,,,14321,,,,2511,,,,,
1976,ME,Senator,All,292704,193489,,,,,,,,,,,,,,
1976,MD,Senator,All,772101,530439,,,,,,62750,,,,,,,,
1976,MA,Senator,All,1726657,722641,,26283,,,,,,157,15517,,,,,
1976,MI,Senator,All,1831031,1635087,,3399,2554,8842,,,,,9499,,,,,
1976,MN,Senator,All,1290736,478602,,9380,,5476,125612,,,,2214,,,,,
1976,MS,Senator,All,554433,,,,,,,,,,,,,,,
1976,MO,Senator,All,813571,1090067,,,,,,10822,,,,,,,,
1976,MT,Senator,All,206232,115213,,,,,,,,,,,,,,
1976,NE,Senator,All,313805,279284,,,,,,,58,163,,,,,,
1976,NV,Senator,All,127214,63471,,,,2307,,,,,8907,,,,,
1976,NJ,Senator,All,1681140,1054508,,,9185,19907,,,,,6650,,,,,
1976,NM,Senator,All,176382,234681,,,,,906,,,,1087,,,,,
1976,NY,Senator,All,3238511,2525139,,16350,,10943,,,,,875932,,,,,
1976,ND,Senator,All,175772,103466,,,,,3824,,,,,,,,,
1976,OH,Senator,All,1941113,1823774,,31805,,,36979,86942,,,,,,,,
1976,PA,Senator,All,2126977,2381891,,5484,,,,,,,32001,,,,,
1976,RI,Senator,All,167665,230329,,,,,,,,,912,,,,,
1976,TN,Senator,All,751180,673231,,,,,,7604,31,,,,,,,
1976,TX,Senator,All,2199956,1636370,,20549,,,17355,,,,,,,,,
1976,UT,Senator,All,223948,290221,,,,3026,4913,,,,,,,,,
1976,VT,Senator,All,85682,94481,,,,,,,,96,8801,,,,,
1976,VA,Senator,All,596009,,,,,,,961337,154,,,,,,,
1976,WA,Senator,All,1071219,361546,28182,7402,,19373,,,,,3389,,,,,
1976,WV,Senator,All,566359,,,,,,,,,,,,,,,
1976,WI,Senator,All,1396970,521902,,4876,1731,,,,,202,9502,,,,,
1976,WY,Senator,All,70558,84810,,,,,,,,,,,,,,
1976,AL,Representative,All,667052,314970,,,,,,,27,,2132,,,,,
1976,AK,Representative,All,34194,83722,,,,,,,292,,,,,,,
1976,AZ,Representative,All,355747,340478,,,,31737,,1040,,,,,,,,
1976,AR,Representative,All,260997,75384,,,,,,,8,,,,,,,
1976,CA,Representative,All,3999894,3220418,39786,,,,,3235,,,34738,,,,,
1976,CO,Representative,All,454741,536879,,681,,,1186,24565,,,2937,,,,,
1976,CT,Representative,All,681730,651250,,,,,,2861,,169,12462,,,,,
1976,DE,Representative,All,102411,110636,,,347,,840,,,,851,,,,,
1976,FL,Representative,All,1125782,937257,,,,,19406,,,85,,,,,,
1976,GA,Representative,All,929829,321891,,,,,,,578,,,,,,,
1976,HI,Representative,All,184166,77662,,,,2197,,,,,29676,,,,,
1976,ID,Representative,All,161899,180008,,,,,,,,,,,,,,
