Year,State,Race,Division,Democrat,Republican,Prohibitionist,Soc. Work.,Soc.-Lab.,Libertar.,Am.,Ind.,Write-In,Scattering,Other
1978,AL,Senator,All,547054,,34951,,,,,,,,
1978,AK,Senator,All,29574,92783,,,,,,,384,,
1978,AR,Senator,All,395506,84308,,,,,,37211,113,,
1978,CO,Senator,All,330148,480801,,,,,,,,,8307
1978,DE,Senator,All,93930,66479,,,,,1663,,,,
1978,GA,Senator,All,536320,108808,,,,,,,,,
1978,ID,Senator,All,89635,194412,,,,,,,,,
1978,IL,Senator,All,1448187,1698711,,15922,5465,16320,,,159,,
1978,IA,Senator,All,395066,421598,,,,3689,,4223,,,
1978,KS,Senator,All,317602,403354,,,,,,,,,27883
1978,KY,Senator,All,290730,175766,,,,,10244,,43,,
1978,ME,Senator,All,127327,212294,,,,,,35493,,,
1978,MA,Senator,All,1093283,890584,,,,,,,,,1833
1978,MI,Senator,All,1484193,1362165,,,,,,,,272,
1978,MN,Senator,All,638375,894092,,9856,,2992,23261,,72,,11974
1978,MS,Senator,All,187541,267302,,,,,,135393,,,
1978,MT,Senator,All,160353,127589,,,,,,,,,
1978,NE,Senator,All,334096,159706,,,,,,,,,
1978,NH,Senator,All,127945,133745,,,,2070,,,,,
1978,NJ,Senator,All,1082960,844200,,,,,,26699,,,3656
1978,NM,Senator,All,160045,183442,,,,,,,,,
1978,NC,Senator,All,516663,619151,,,,,,,,,
1978,OK,Senator,All,493953,247857,,,,,,12454,,,
1978,OR,Senator,All,341616,550165,,,,,,,737,,
1978,RI,Senator,All,229557,76061,,,,,,,,,
1978,SC,Senator,All,280146,351917,,,,,,,,,
1978,SD,Senator,All,84767,170832,,,,,,,,,
1978,TN,Senator,All,466228,642644,,,,,,48151,71,,
1978,TX,Senator,All,1139149,1151376,,4018,,,,,,,17997
1978,VA,Senator,All,608511,613232,,,,,,,513,,
1978,WV,Senator,All,249034,244317,,,,,,,,,
1978,WY,Senator,All,82908,80456,,,,,,,,,
1978,AL,Representative,All,439564,197176,,,,2250,,,4,,3285
1978,AK,Representative,All,55176,68811,,,,,,,200,,
1978,AZ,Representative,All,261567,230573,,1220,,25622,,,,,
1978,AR,Representative,All,97888,195371,,,,,,,,,
1978,CA,Representative,All,3335332,3105933,45359,,,,,,,,39017
1978,CO,Representative,All,369365,402274,,2043,,,,11403,,,
1978,CT,Representative,All,592396,423474,,,,,,,,118,5033
1978,DE,Representative,All,64863,91689,1014,,,,,,,,
1978,FL,Representative,All,948045,671942,,,,,,,,,
1978,GA,Representative,All,472210,116301,,,,,,,83,,
1978,HI,Representative,All,202824,40167,,,,8283,,,,,2095
1978,ID,Representative,All,118012,167271,,,,,,,,,
1978,IL,Representative,All,1464688,1576522,,,,,,2064,225,,
1978,IN,Representative,All,751940,680513,4918,128,,1612,,9368,,,384
1978,IA,Representative,All,403365,406248,,,,,,884,,,978
1978,KS,Representative,All,233001,440586,,,,,,,,,2353
1978,KY,Representative,All,264798,207568,3323,428,,,,1312,27,,
1978,LA,Representative,All,65583,65317,,,,,,,,,
1978,ME,Representative,All,141039,208730,,,,,,19753,,,
1978,MD,Representative,All,604457,319600,,,,,,,,,
1978,MA,Representative,All,1249311,471755,,6794,,,,59852,,,21495
1978,MI,Representative,All,1538922,1155836,12825,,,,,,,131,
1978,MN,Representative,All,779286,709387,,,,,34110,,203,,
1978,MS,Representative,All,251558,236274,,,,,,31129,,,
1978,MO,Representative,All,966553,575578,,2984,,,,,,,712
1978,MT,Representative,All,143496,139859,,,,,,,,,
1978,NE,Representative,All,183817,310919,,,,,,,,,
1978,NV,Representative,All,132513,44425,,,,6029,,,,,
1978,NH,Representative,All,122243,133666,,,,2407,,,,,
1978,NJ,Representative,All,1043747,837783,,,1755,5169,,37248,,,8221
1978,NM,Representative,All,166471,118075,,,,,,,,,
1978,NY,Representative,All,2200810,1769078,,1172,679,,,192,,,380097
1978,NC,Representative,All,607324,406076,,,,6556,,,,,
1978,ND,Representative,All,68016,147712,,,,,,3197,,,1389
1978,OH,Representative,All,1278151,1471860,,,,,,29934,,,
1978,OK,Representative,All,330952,258160,,,,,,,,,
1978,OR,Representative,All,587445,258140,,,,,,,918,,27120
1978,PA,Representative,All,1804598,1711318,1206,2321,,2837,,16495,,,2883
1978,RI,Representative,All,174165,133637,,,,,,,,,
1978,SC,Representative,All,376777,183433,,,,,,14898,,,
1978,SD,Representative,All,120199,135324,,,,,,,,,
1978,TN,Representative,All,580317,448825,,,,,,32669,84,,
1978,TX,Representative,All,1285348,889450,,397,,,,,,,7185
1978,UT,Representative,All,162791,206520,6120,,,,,3729,,,
1978,VT,Representative,All,23228,90688,,,,,,,,81,6505
1978,VA,Representative,All,444049,559604,,,,,,52396,516,,
1978,WA,Representative,All,507252,450847,,2043,,3545,,14887,,,
1978,WV,Representative,All,290927,151918,,,,,,,,,
1978,WI,Representative,All,768536,675953,,,,,,2862,,166,2965
1978,WY,Representative,All,53522,75855,,,,,,,,,
