Year,State,Race,Division,Democrat,Republican,Libertar.,Conserv.,Ind.,Citizens,Am. Ind.,Soc. Work.,Statesman,Am.,Other,Write-In,Soc.,Comm.,Work. World
1980,AL,President,All,636730,654192,13318,,16481,517,15010,1303,1743,,,,1006,1629,
1980,AK,President,All,41842,86112,18479,,11155,,,,,,,857,,,
1980,AZ,President,All,246843,529688,18784,,76952,551,,1100,,,,,,25,2
1980,AR,President,All,398041,403164,8970,,22468,2345,,,1350,,,,,1244,
1980,CA,President,All,3082943,4522994,148390,,739618,61046,9841,,,,18106,,,,
1980,CO,President,All,368009,352264,25744,,130633,5614,,519,1180,,,,,487,
1980,CT,President,All,541732,677210,8570,,171807,6130,,,,,,836,,,
1980,DC,President,All,130231,23313,1104,,16131,1826,,173,,,,690,,369,52
1980,DE,President,All,105754,111252,1974,,16288,,,,,400,,,,,
1980,FL,President,All,1419475,2046951,30524,,189692,,,,,,,285,,,
1980,GA,President,All,890955,654168,15627,,36055,,,,,,,,,,
1980,HI,President,All,135879,130112,3269,,32021,1548,,,,,,,,458,
1980,ID,President,All,110192,290699,8425,,27058,,1057,,,,,,,,
1980,IL,President,All,1981413,2358049,38939,,346754,10692,,1302,,,,604,,9711,2257
1980,IN,President,All,844197,1255656,19627,,111639,4852,,610,,4750,,,,702,
1980,IA,President,All,508672,676026,13123,,115633,2273,,244,150,189,,519,534,298,
1980,KS,President,All,326150,566812,14470,,68231,,789,,821,1555,,,,967,
1980,KY,President,All,617417,635274,5531,,31127,1304,,393,,,4233,,,348,
1980,LA,President,All,708453,792853,8240,,26345,1584,10333,783,,,,,,,
1980,ME,President,All,220974,238522,5119,,53327,4394,,,,,,84,,591,
1980,MD,President,All,726161,680606,14192,,119537,,,,,,,,,,
1980,MA,President,All,1053802,1057631,22038,,382539,2056,,3735,,,,2289,,,
1980,MI,President,All,1661532,1915225,41597,,275223,11930,,,,,,956,,3262,
1980,MN,President,All,954173,873268,31593,,174997,8406,,711,,6136,,281,536,1117,698
1980,MS,President,All,429281,441089,4702,,12036,,,2240,,,,,,,2402
1980,MO,President,All,931182,1074181,14422,,77920,,,1515,,,,604,,,
1980,MT,President,All,118032,206814,9825,,29281,,,,,,,,,,
1980,NE,President,All,166424,419214,9041,,44854,,,,,,,,,,
1980,NV,President,All,66666,155017,4358,,17651,,,,,,,,,,
1980,NH,President,All,108864,221705,2064,,49693,1320,,71,,,,68,,129,76
1980,NJ,President,All,1147364,1546557,20652,,234632,8203,,2198,,,10262,,1973,2555,1288
1980,NM,President,All,167826,250779,4365,,29459,2202,,325,1281,,,,,,
1980,NY,President,All,2728372,2637700,52648,,,23186,,2068,,,748091,1064,,7414,1416
1980,NC,President,All,875635,915018,9677,,52800,2287,,416,,,,,,,
1980,ND,President,All,79189,193695,3743,,23640,,,89,54,235,296,,82,93,
1980,OH,President,All,1752414,2206545,49033,,254472,8564,,4029,27,,,,,4729,3790
1980,OK,President,All,402026,695570,13828,,38284,,,,,,,,,,
1980,OR,President,All,456890,571044,25838,,112389,13642,,,,,,1713,,,
1980,PA,President,All,1937540,2261872,33263,,292921,10430,,20291,,,,,,5184,
1980,RI,President,All,198342,154793,2458,,59819,,,90,,,,,170,218,77
1980,SC,President,All,428220,439277,4807,,13868,,2086,,,,,,,,
1980,SD,President,All,103855,198343,3824,,21431,,,250,,,,,,,
1980,TN,President,All,783051,787761,7116,,35991,1112,,490,521,,,152,519,503,400
1980,TX,President,All,1881147,2510705,37643,,111613,,,,,,,528,,,
1980,UT,President,All,124266,439687,7156,,30284,1009,522,124,,965,,,,139,
1980,VT,President,All,81952,94628,1900,,31761,2316,,75,,,,413,136,118,
1980,VA,President,All,752174,989609,12821,,95418,14021,,1986,,,,,,,
1980,WA,President,All,650193,865244,29213,,185073,9403,,1137,,,,,956,834,341
1980,WV,President,All,367462,334206,4356,,31691,,,,,,,,,,
1980,WI,President,All,981584,1088845,29135,,160657,7767,1519,383,,,,1337,808,772,414
1980,WY,President,All,49427,110700,4514,,12072,,,,,,,,,,
1980,AL,Senator,All,610175,650362,13098,15989,,,,1511,2649,,2973,,,,
1980,AK,Senator,All,72007,84159,,,,,,,,,,596,,,
1980,AZ,Senator,All,422972,432371,12008,,,,,3266,,,3608,13,,,
1980,AR,Senator,All,477905,330576,,,,,,,,,,331,,,
1980,CA,Senator,All,4704098,3091671,202410,,,,129573,,,,196260,,,,
1980,CO,Senator,All,590501,571295,,,,,,,7265,,4081,,,,
1980,CT,Senator,All,763969,581884,5336,,,4772,,,,,,114,,,
1980,FL,Senator,All,1705409,1822460,,,,,,,,,,159,,,
1980,GA,Senator,All,776143,803686,,,,,,,,,,,,,
1980,HI,Senator,All,224485,53068,10453,,,,,,,,,,,,
1980,ID,Senator,All,214439,218701,6507,,,,,,,,,,,,
1980,IL,Senator,All,2565302,1946296,29328,,,19213,,2715,,,,96,,11453,5626
1980,IN,Senator,All,1015962,1182414,,,,,,,,,,,,,
1980,IA,Senator,All,581545,683014,4233,,,,,,,,8194,,,,
1980,KS,Senator,All,340271,598686,,,,,,,,,,,,,
1980,KY,Senator,All,720891,386029,,,,,,,,,,,,,
1980,LA,Senator,All,810692,23947,,,,,,,,,6374,,,,
1980,MD,Senator,All,435118,850970,,,,,,,,,,,,,
1980,MO,Senator,All,1074859,985399,,,,,,6707,,,,,,,
1980,NV,Senator,All,92129,144224,6920,,,,,,,,,,,,
1980,NH,Senator,All,179455,195559,,,,,,,,,,46,,,
1980,NY,Senator,All,2618661,2272082,21465,275100,,,,2715,,,817014,73,,4161,3643
1980,NC,Senator,All,887653,898064,7602,,,,,4346,,,,,,,
1980,ND,Senator,All,86658,210347,,,,,,,642,,1625,,,,
1980,OH,Senator,All,2770786,1137695,,,76412,,,,,,,42410,,,
1980,OK,Senator,All,478283,587252,9757,,23002,,,,,,,,,,
1980,OR,Senator,All,501963,594290,43686,,,,,,,,,555,,,
1980,PA,Senator,All,2122391,2230404,18595,,,,,27229,,,16089,,,3334,
1980,SC,Senator,All,612554,257946,,,,,,,,,,,,,
1980,SD,Senator,All,129018,190594,,,7866,,,,,,,,,,
1980,UT,Senator,All,151454,437675,,,3186,,,,,,1983,,,,
1980,VT,Senator,All,104176,101421,,,1776,,,,,,1629,122,,,
1980,WA,Senator,All,792052,936317,,,,,,,,,,,,,
1980,WI,Senator,All,1065487,1106311,9679,,,,,6502,,,16156,67,,,
1980,AL,Representative,All,628133,354224,22924,,,,,,4650,,1743,1952,,,
1980,AK,Representative,All,42278,159148,,,,,,,,,,607,,,
1980,AZ,Representative,All,394275,434024,23610,,,,,2043,,,,,,,
1980,AR,Representative,All,42278,159148,,,,,,,,,,229,,,
1980,CA,Representative,All,3664614,4176462,272728,,,,16533,,,,45281,,,,
1980,CO,Representative,All,505586,619504,22190,,,2219,,566,,,,,,,
1980,CT,Representative,All,695255,640177,,,995,2711,,,,,,107,,,
1980,DE,Representative,All,81227,133842,1506,,,,,,,,,,,,
1980,FL,Representative,All,1813164,1275718,,,5480,,,,,,,,,,
1980,GA,Representative,All,973540,381174,,,,,,,,,,87,,,
1980,HI,Representative,All,239733,19819,21009,,,,,,,,,,,,
1980,ID,Representative,All,182061,233041,,,,,,,,,,,,,
1980,IL,Representative,All,2048658,2417747,,,,,,,,,5985,211,,,
1980,IN,Representative,All,1087722,1100711,,,2354,,,,,,,,,,
1980,IA,Representative,All,642763,609478,2359,,,,,,,341,2062,,,,
1980,KS,Representative,All,404549,519874,,5338,,,,,3342,,,11,,,
1980,KY,Representative,All,610411,442309,,,1632,1272,,,,468,,,,,
1980,LA,Representative,All,506647,259897,,,,,,,,,2501,,,,
1980,ME,Representative,All,137845,375073,,,,,,,,,,21,,,
1980,MD,Representative,All,865969,537078,,,,,,,,,,,,,
1980,MA,Representative,All,1473289,757927,,,20247,3290,,1304,,,,324,,,
1980,MI,Representative,All,1877335,1659101,36139,,,,15191,,,,,388,,,
1980,MN,Representative,All,905793,987147,,,,,,7738,,,4168,67,,,
1980,MS,Representative,All,427773,304472,,,56272,,,,,,,,,,
1980,MO,Representative,All,1110060,940510,,,,,,,,,,,,,
1980,MT,Representative,All,176236,162305,,,,,,,,,,,,,
1980,NE,Representative,All,167415,451328,3247,,,,,,,,,271,,,
1980,NV,Representative,All,165107,63163,7759,,,,,,,,,,,,
1980,NH,Representative,All,177411,186869,,,,,,,,,,45,,,
1980,NJ,Representative,All,1316100,1368981,27572,,1939,3025,,1869,,,21909,,,,
1980,NM,Representative,All,175988,187474,,,,,,,,,45343,,,,
1980,NY,Representative,All,2596006,2458365,6235,265045,,,,2974,,,288741,,,,
1980,NC,Representative,All,964493,769144,2833,,,,,327,,,,,,,
1980,ND,Representative,All,166437,124707,,,928,,,,,,1004,,,,
1980,OH,Representative,All,1788410,2135669,,,24019,,,,,,,3581,,,
1980,OK,Representative,All,439651,391209,4722,,,,,,,,,,,,
1980,OR,Representative,All,656737,438738,,,10787,,,,,,,178,,,
1980,PA,Representative,All,2114327,2161638,14098,,1301,,,,,,29392,,,,
1980,RI,Representative,All,213726,172901,,,,,,,,,,,,,
1980,SC,Representative,All,408296,399039,22354,,,,,,,,,,,,
1980,SD,Representative,All,173357,146146,,,,,,,,,,,,,
1980,TN,Representative,All,663796,618876,,,20816,,,,,,,709,,,
1980,TX,Representative,All,2405026,1608636,52820,,1360,,,,,,,693,,,
