Year,State,Race,Division,Democrat,Republican,Libertar.,Ind.,Soc. Work.,Am.,Am. Ind.,Citizens,Conserv.,Other,Write-In,Const.
1982,AZ,Senator,All,411970,291749,20100,,,,,,,,66,
1982,CA,Senator,All,3494968,4022565,107720,,,,83809,,,96388,,
1982,CT,Senator,All,499146,545987,8163,,,,,,30212,,,
1982,DE,Senator,All,84413,105357,653,,,537,,,,,,
1982,FL,Senator,All,1637667,1015330,,,,,,,,,422,
1982,HI,Senator,All,245386,52071,,8953,,,,,,,,
1982,IN,Senator,All,828400,978301,,,,10586,,,,,,
1982,ME,Senator,All,279819,179882,,,,,,,,,14,
1982,MD,Senator,All,707356,407334,,,,,,,,,,
1982,MA,Senator,All,1247084,784602,18878,,,,,,,,205,
1982,MI,Senator,All,1728793,1223288,19131,,4335,,12660,,,6085,42,
1982,MN,Senator,All,840401,949207,5870,,5897,,,,,3300,,
1982,MS,Senator,All,414099,230927,,,,,,,,,,
1982,MO,Senator,All,758629,784876,,,,,,,,,16,
1982,MT,Senator,All,174861,133789,12412,,,,,,,,,
1982,NE,Senator,All,363350,155760,,,,,,,,26443,94,
1982,NV,Senator,All,114720,120377,,,,,,,,,,
1982,NJ,Senator,All,1117549,1047626,9934,4745,3726,,,,,10365,,
1982,NM,Senator,All,217682,187128,,,,,,,,,,
1982,NY,Senator,All,3089871,1415749,,,15206,,,,175650,271021,232,
1982,ND,Senator,All,164873,89304,,,,,,,,8288,,
1982,OH,Senator,All,1923767,1396790,36103,38803,,,,,,,,
1982,PA,Senator,All,1412965,2136418,19244,,18951,,,,,16530,,
1982,RI,Senator,All,167283,175495,,,,,,,,,,
1982,TN,Senator,All,780113,479642,,,,,,,,,30,
1982,TX,Senator,All,1818223,1256759,23494,,,,,4564,,,127,
1982,UT,Senator,All,219482,309332,1035,,,953,,,,,,
1982,VT,Senator,All,79340,84449,892,1463,,,,897,,774,187,
1982,VA,Senator,All,690839,724571,,,,,,,,,212,
1982,WA,Senator,All,943655,332273,,92548,,,,,,,,
1982,WV,Senator,All,387170,173910,,,4234,,,,,,,
1982,WI,Senator,All,983311,527355,7947,,,,,,,26270,,
1982,WY,Senator,All,71466,94725,,,,,,,,,,
1982,AL,Representative,All,676584,276568,7838,,,,,,,,29,
1982,AK,Representative,All,52011,128274,,,,,,,,,799,
1982,AZ,Representative,All,300493,394872,13846,,,,,,,1799,1,
1982,AR,Representative,All,397466,361772,,,,,,,,,,
1982,CA,Representative,All,3815205,3603102,124328,,,,,,,39986,,
1982,CO,Representative,All,448287,484936,12525,,,,,,,656,,
1982,CT,Representative,All,577340,485491,7077,,,,,,,696,,
1982,DE,Representative,All,98533,87153,711,,,1109,,558,,,,
1982,FL,Representative,All,1311342,900203,,,,,,,,,49,
1982,GA,Representative,All,670110,225215,,9049,,,,,,,82,
1982,HI,Representative,All,266851,,21984,,,,,,,9080,,
1982,ID,Representative,All,150996,170150,,,,,,,,,,
1982,IL,Representative,All,2093272,1508308,4101,,,,,,,6939,411,
1982,IN,Representative,All,882378,909691,,,1003,1029,,1919,,,,
1982,IA,Representative,All,528726,475366,,,,,,,,584,97,
1982,KS,Representative,All,345507,400837,10001,,,,,,,,,
1982,KY,Representative,All,413286,280352,2497,3757,400,,,,,,24,
1982,ME,Representative,All,186970,260925,4221,,,,,,,,25,
1982,MD,Representative,All,742600,348561,,,,,,,,,,
1982,MA,Representative,All,1300344,561091,25224,,2527,,,,,,1180,
1982,MI,Representative,All,1669522,1093425,38136,,1071,,,,,6203,59,
1982,MN,Representative,All,956321,777584,4456,,,,,11570,,,,
1982,MS,Representative,All,368403,259553,,13176,,,,,,,,
1982,MO,Representative,All,871682,653468,,2125,1141,,,,,,,
1982,MT,Representative,All,165902,142370,8267,,,,,,,,,
1982,NE,Representative,All,116107,402167,,,,,,,,,807,
1982,NV,Representative,All,114166,115863,4043,,,,,,,,,
1982,NH,Representative,All,114187,153974,,751,,,,,,,6,
1982,NJ,Representative,All,1206416,915472,15413,,,,,1740,,6398,,651
1982,NM,Representative,All,202802,191946,,,,,,,,,158,
1982,NY,Representative,All,2461350,1836065,,,2320,,,1119,,380523,,
1982,NC,Representative,All,724269,579817,16820,,174,,,,,,,
1982,ND,Representative,All,186534,72241,,,,,,,,1724,,
1982,OH,Representative,All,1807305,1456712,47515,14560,,,,,,,,
1982,OK,Representative,All,539413,310186,,6725,,,,,,,,
1982,OR,Representative,All,577949,436754,,,,,,,,,189,
1982,PA,Representative,All,1910988,1651922,13953,,4584,,,,,47271,,
1982,RI,Representative,All,174023,157535,,1624,,,,,,,,
1982,SC,Representative,All,353111,295160,9185,,,,,,,,,
1982,SD,Representative,All,142122,133530,,,,,,,,,,
1982,TN,Representative,All,697823,469527,,8292,,,,,,,41,
1982,TX,Representative,All,1847045,934863,57998,2213,,,,5933,,,979,
1982,UT,Representative,All,144987,312003,,32661,,,,,,,,
1982,VT,Representative,All,38296,114191,1407,,,,,6409,,4527,121,
1982,VA,Representative,All,629678,690094,,11880,,,,,,,3683,
1982,WA,Representative,All,689811,603916,,11242,,,,,,2530,,
1982,WV,Representative,All,343236,202380,,,787,,,,,,,
1982,WI,Representative,All,768616,667193,10731,2421,353,,,,,526,146,946
1982,WY,Representative,All,46041,113236,,,,,,,,,,
