Year,State,Race,Division,Democrat,Republican,Libertar.,Ind.,Soc. Work.,Other,Write-In,Citizens,Alliance,Comm.,Work. World,Work. League,Prohib.,Populist,Am.
1984,AL,President,All,551899,872849,9504,,730,,,,659,4671,,,,1401,
1984,AK,President,All,62007,138377,6378,,,,843,,,,,,,,
1984,AZ,President,All,333854,681416,10585,,,,42,,,,,,,,
1984,AR,President,All,338646,534774,2221,1890,,822,,960,1291,1499,,,842,1461,
1984,CA,President,All,3922519,5467009,49951,,,,,26297,,,,,,39265,
1984,CO,President,All,454975,821817,11257,4662,810,,23,,978,,,,858,,
1984,CT,President,All,569597,890877,,,,,226,,1374,4826,,,,,
1984,DC,President,All,180408,29009,279,127,127,,809,,165,257,107,,,,
1984,DE,President,All,101656,152190,268,,,,,121,68,,,,,,269
1984,FL,President,All,1448816,2730350,,,,,885,,,,,,,,
1984,GA,President,All,706628,1068722,,,,,753,,,,,,,,
1984,HI,President,All,147154,185050,2167,654,,,,,,821,,,,,
1984,ID,President,All,108510,297523,2823,,,,,,,,,,,2288,
1984,IL,President,All,2086499,2707103,10086,,2132,,862,2716,2386,4672,,2632,,,
1984,IN,President,All,841481,1377230,6741,,,,,,,,,,,,7617
1984,IA,President,All,605620,703088,1844,6248,313,892,1051,,463,286,,,,,
1984,KS,President,All,333149,677296,3329,,,,,,2544,,,,2109,3564,
1984,KY,President,All,539539,821702,,1776,3129,1479,,599,365,328,,,,,428
1984,LA,President,All,651586,1037299,1876,3552,1164,,,9502,533,,,,,1810,
1984,ME,President,All,214515,336500,,,,,82,,755,1292,,,,,
1984,MD,President,All,787935,879918,5721,,,,,,656,898,745,,,,
1984,MA,President,All,1239606,1310936,,,,,843,,7998,,,,,,
1984,MI,President,All,1529638,2251571,10055,3862,1049,,602,1191,665,1048,1416,561,,,
1984,MN,President,All,1036364,1032603,2996,3865,3180,,723,1219,232,630,,260,,2377,
1984,MS,President,All,352192,582377,2336,1001,1032,,,,356,,1169,,,641,
1984,MO,President,All,848583,1274188,,,,,,,,,,,,,
1984,MT,President,All,146742,232450,5185,,,,,,,,,,,,
1984,NE,President,All,187866,460054,2079,,1066,,,,1025,,,,,,
1984,NV,President,All,91655,188770,2292,,,,,,,,,,,,
1984,NH,President,All,120347,267050,735,467,,,,,305,,,,,,
1984,NJ,President,All,1261323,1933630,6416,,1264,,,1247,2293,1564,8404,1721,,,
1984,NM,President,All,201769,307101,4459,,224,,1,455,155,,,,206,,
1984,NY,President,All,3001285,3376519,11949,,,406568,837,,3200,4226,2226,,,,
1984,NC,President,All,824287,1346481,3794,,799,,,,,,,,,,
1984,ND,President,All,104429,200336,703,1278,239,,,368,152,169,,,220,1077,
1984,OH,President,All,1825440,2678559,5886,10693,4344,,,,24180,4438,2565,7130,,,
1984,OK,President,All,385080,861530,9066,,,,,,,,,,,,
1984,OR,President,All,536479,685700,,,,,4348,,,,,,,,
1984,PA,President,All,2228131,2584323,6982,,,,,21628,,1780,,2059,,,
1984,RI,President,All,197106,212080,277,,61,,,240,49,75,91,,,510,
1984,SC,President,All,344459,615539,4359,,,,,,682,,,,,,3490
1984,SD,President,All,116113,200297,,,337,,,,1150,,,,,,
1984,TN,President,All,711714,990212,3072,1852,715,,127,978,524,1036,,,,1763,
1984,TX,President,All,1949276,3433428,,14613,,,254,,,,,,,,
1984,UT,President,All,155369,469105,2447,,142,,,844,220,184,,,,,1345
1984,VT,President,All,95730,135865,1002,423,127,,712,264,323,115,,,,,
1984,VA,President,All,796250,1337078,,13307,,,,,,,,,,,
1984,WA,President,All,798352,1051670,8844,4712,608,,,1891,1654,814,641,,,5724,
1984,WV,President,All,328125,405483,,,645,,,,493,,,,,996,
1984,WI,President,All,995740,1198584,4883,3791,444,,706,1456,1006,596,619,,,3864,
1984,WY,President,All,53370,133241,2357,,,,,,,,,,,,
1984,AL,Senator,All,860535,498508,12191,,,,,,,,,,,,
1984,AK,Senator,All,58804,146919,,,,,715,,,,,,,,
1984,AR,Senator,All,502341,373615,,,,,,,,,,,,,
1984,CO,Senator,All,449327,833821,11077,,2208,1376,,,,,,,,,
1984,DE,Senator,All,147831,98101,,,,,,,,,,,,,
1984,GA,Senator,All,1344104,337196,,,,,44,,,,,,,,
1984,ID,Senator,All,105591,293193,7384,,,,,,,,,,,,
1984,IL,Senator,All,2397165,2308039,59777,,4913,17168,273,,,,,,,,
1984,IA,Senator,All,716883,564381,,11014,,,422,,,,,,,,
1984,KS,Senator,All,211664,757402,6755,,,20908,,,,,,,,,
1984,KY,Senator,All,639721,644990,,,7696,,,,,,,,,,
1984,ME,Senator,All,142626,404414,,,,4338,28,,,,,,,,
1984,MA,Senator,All,1393150,1136913,,,,,408,,,,,,,,
1984,MI,Senator,All,1915831,1745302,7786,2135,2686,27175,23,,,,,,,,
1984,MN,Senator,All,852844,1199926,4653,,5351,3129,240,,,,,,,,
1984,MS,Senator,All,371926,580314,,,,,,,,,,,,,
1984,MT,Senator,All,215704,154308,9143,,,,,,,,,,,,
1984,NE,Senator,All,332217,307147,,,,,304,,,,,,,,
1984,NH,Senator,All,157447,225828,1094,,,,,,,,,,,,
1984,NJ,Senator,All,1986644,1080100,7135,,3224,19353,,,,,,,,,
1984,NM,Senator,All,141253,361371,,,,,10,,,,,,,,
1984,NC,Senator,All,1070488,1156768,9302,,2493,,,,,,,,,,
1984,OK,Senator,All,906131,280638,11168,,,,,,,,,,,,
1984,OR,Senator,All,406122,808152,,,,,461,,,,,,,,
1984,RI,Senator,All,285811,107545,,,,,,,,,,,,,
1984,SC,Senator,All,306982,644815,13333,,,,,,,,,,,,
1984,SD,Senator,All,80537,235176,,,,,,,,,,,,,
1984,TN,Senator,All,1000607,557016,,90413,,,,,,,,,,,
1984,TX,Senator,All,2202557,3111348,,,,,273,,,,,,,,
1984,VA,Senator,All,601142,1406194,,,,,151,,,,,,,,
1984,WV,Senator,All,374233,344680,,,3299,,,,,,,,,,
1984,WY,Senator,All,40525,146373,,,,,,,,,,,,,
1984,AL,Representative,All,821773,308182,18475,,144,,,,,,,,,,
1984,AK,Representative,All,86052,113582,,6508,,,295,,,,,,,,
1984,AZ,Representative,All,319560,602737,5886,,,14869,71,,,,,,,,
1984,AR,Representative,All,341335,90841,,25073,,,5997,,,,,,,,
1984,CA,Representative,All,4327237,4423734,128219,,,61543,,,,,,,,12601,
1984,CO,Representative,All,436041,779700,8834,,1846,21213,4,,,,,,,,
1984,CT,Representative,All,667668,761647,2773,200,,,,,,,,,,,
1984,DE,Representative,All,142070,100650,294,,,,,,,,,,,,
1984,FL,Representative,All,1244688,1190776,,,,,1188,,,,,,,,
1984,GA,Representative,All,1090682,430143,,,,,78,,,,,,,,
1984,HI,Representative,All,227261,40608,7737,,,,,,,,,,,,
1984,ID,Representative,All,164857,240218,,,,,,,,,,,,,
1984,IL,Representative,All,2367383,2203506,,,,,8192,,,,,,,,
1984,IN,Representative,All,1022451,1146656,10371,,,,,,,,,,,,858
1984,IA,Representative,All,595265,673343,,,,,,,,,,,,,
1984,KS,Representative,All,435071,541986,,11302,,5942,24,,,,,,,,
1984,KY,Representative,All,656661,528862,926,,1273,,,,,,,,,,
1984,ME,Representative,All,162319,374951,,,,4242,26,,,,,,,,
1984,MD,Representative,All,954873,535915,1903,2579,,,10,,,,,,,,
1984,MA,Representative,All,1618131,703945,,,,23425,546,,,,,,,,
1984,MI,Representative,All,1861442,1566916,10479,10663,685,2064,116,,,,,,,,
1984,MN,Representative,All,1060800,902268,,,4479,7725,167,,,,,,,,
1984,MS,Representative,All,523161,326826,,18865,,,,,,,,,,,
1984,MO,Representative,All,1129689,903027,6851,,,,,,,,,,,,
1984,MT,Representative,All,187443,178726,4660,,,,,,,,,,,,
1984,NE,Representative,All,167617,482121,,,,,323,,,,,,,,
1984,NV,Representative,All,109372,155166,6086,,,,,,,,,,,,
1984,NH,Representative,All,119111,250602,1749,1435,,,,,,,,,,,
1984,NJ,Representative,All,1508320,1470836,3524,,,5978,,,,,,,,,
1984,NM,Representative,All,201131,294165,4324,,,,,,,,,,,,
1984,NY,Representative,All,3072727,2722637,,10646,1740,410184,,,,,,,,,
1984,NC,Representative,All,1130979,1026391,,,285,,,,,,,,,,
1984,ND,Representative,All,242968,65761,,,,,,,,,,,,,
1984,OH,Representative,All,2134198,2159354,,,,,38927,,,,,,,,
1984,OK,Representative,All,645537,458053,7294,,,,,,,,,,,,
1984,OR,Representative,All,655092,548201,,,,,198,,,,,,,,
1984,PA,Representative,All,2531111,2111851,9468,1615,3413,2664,,,,,,,,,
1984,RI,Representative,All,194925,194308,,,,,,,,,,,,,
1984,SC,Representative,All,470547,441256,11186,,,,,,,,,,,,4593
1984,SD,Representative,All,181401,134821,,,,,,,,,,,,,
1984,TN,Representative,All,726462,589118,,,,,155,,,,,,,,
1984,TX,Representative,All,2695028,1981823,,3064,,,470,,,,,,,,
1984,UT,Representative,All,208223,387410,3696,962,,,,,,,,,,,791
1984,VT,Representative,All,60360,148025,9359,,,8171,382,,,,,,,,
1984,VA,Representative,All,795009,1003211,,38921,,,464,,,,,,,,
1984,WA,Representative,All,996950,799565,2953,,1710,,,,,,,,,6855,
1984,WV,Representative,All,429209,275160,,,,,,,,,,,,,
1984,WI,Representative,All,1033033,1032948,2005,,3364,2433,289,,,,,,,1306,
1984,WY,Representative,All,45957,138234,3813,,,,,,,,,,,,
