Year,State,Race,Division,Democrat,Republican,Libertar.,Ind.,Soc. Work.,Other,Write-In,Citizens,Am.
1986,AL,Senator,All,609360,602537,,,,,,,
1986,AK,Senator,All,79727,97674,3161,,,,239,,
1986,AZ,Senator,All,340965,521850,,,,,106,,
1986,AR,Senator,All,433122,262313,,,,,52,,
1986,CA,Senator,All,3646672,3541804,66261,109856,,33869,,,
1986,CO,Senator,All,529449,512994,,11127,3756,3439,,,
1986,CT,Senator,All,632695,340438,,,,3800,,,
1986,FL,Senator,All,1877543,1552376,,,,,77,,
1986,GA,Senator,All,623707,601241,,,,,60,,
1986,HI,Senator,All,241887,86910,,,,,,,
1986,ID,Senator,All,185066,196958,,,,,,,
1986,IL,Senator,All,2033783,1053734,13891,,5671,15804,,,
1986,IN,Senator,All,595192,936143,8314,,,5914,,,
1986,IA,Senator,All,299406,588880,,,,3370,106,,
1986,KS,Senator,All,246664,576902,,,,,,,
1986,KY,Senator,All,503775,173330,,,,,175,,
1986,LA,Senator,All,723586,646311,,,,,,,
1986,MD,Senator,All,675225,437411,,,,,1,,
1986,MO,Senator,All,699624,777612,,91,,,,,
1986,NV,Senator,All,130955,116606,4866,,,,9472,,
1986,NH,Senator,All,79222,154090,,11423,,,,,
1986,NY,Senator,All,1723216,2030260,,,7376,418595,305412,,
1986,NC,Senator,All,780967,753881,,,,,,,
1986,ND,Senator,All,143932,151812,,3269,,,,,
1986,OH,Senator,All,1949208,1171893,,,,,88,,
1986,OK,Senator,All,400230,493436,,,,,,,
1986,OR,Senator,All,375735,656317,,,,,10503,,
1986,PA,Senator,All,1448219,1906537,,,,23470,,,
1986,SC,Senator,All,465500,262886,4789,,,4588,199,,
1986,SD,Senator,All,152657,143173,,,,,,,
1986,UT,Senator,All,115523,314608,3023,,1863,,94,,
1986,VT,Senator,All,224123,67798,,,,4546,65,,
1986,WA,Senator,All,677471,650931,,,8965,,,,
1986,WI,Senator,All,702963,754573,,19266,2926,2234,1212,,
1986,AL,Representative,All,678716,436357,,,444,,,,
1986,AK,Representative,All,74053,101799,4182,,,,243,,
1986,AZ,Representative,All,260144,539940,,,,3646,,,
1986,AR,Representative,All,386672,268291,,10605,,,77,,
1986,CA,Representative,All,3743542,3328109,71448,,,57003,,,
1986,CO,Representative,All,449683,566236,,,,2338,,,
1986,CT,Representative,All,544938,433977,,,,735,5,,
1986,DE,Representative,All,106351,53767,,,,,,,639
1986,FL,Representative,All,1153710,986780,,,,,1561,,
1986,GA,Representative,All,772986,289068,,,,,274,,
1986,HI,Representative,All,186891,135054,9251,,,,,,
1986,ID,Representative,All,162758,207081,,4848,,,,,
1986,IL,Representative,All,1622759,1393109,,,,1348,,,
1986,IN,Representative,All,788419,756135,10550,,,403,,,
1986,IA,Representative,All,428022,461455,,,,,118,,
1986,KS,Representative,All,312800,474570,,,,,,,
1986,KY,Representative,All,374742,252849,,735,899,,86,,485
1986,LA,Representative,All,288362,102276,,,,,,,
1986,ME,Representative,All,165462,249030,,,,7109,29,,
1986,MD,Representative,All,668669,394393,,,,,3,,
1986,MA,Representative,All,1198143,250385,,36979,,,274912,,16857
1986,MI,Representative,All,1342034,997122,,7946,,,74,,
1986,MN,Representative,All,831715,557741,,,,2004,153,1326,
1986,MS,Representative,All,315526,208037,,,,,,,
1986,MO,Representative,All,828403,599520,2204,,,,,,
1986,MT,Representative,All,172084,145778,,,,,,,
1986,NE,Representative,All,196691,358326,,,,,420,,
1986,NV,Representative,All,121263,133821,2145,,,,,,
1986,NH,Representative,All,84475,156218,,,,,54,,
1986,NJ,Representative,All,811066,730596,931,,1977,8974,,,
1986,NM,Representative,All,178822,206815,,,,,18,,
1986,NY,Representative,All,2023066,1550796,,,5279,324470,,,
1986,NC,Representative,All,890058,682447,,,,,,,
1986,ND,Representative,All,216258,66989,,3114,,,,,
1986,OH,Representative,All,1512037,1529105,,18710,,,,,
1986,OK,Representative,All,430454,291098,,3455,,,,,
1986,OR,Representative,All,584763,446462,,,,,319,,
1986,PA,Representative,All,1762935,1525803,6058,,3120,8461,,,
1986,RI,Representative,All,129663,176000,,,,,,,
1986,SC,Representative,All,453232,261489,,,,,501,,1644
1986,SD,Representative,All,171462,118261,,,,,,,
1986,TN,Representative,All,636374,448987,,19521,,,347,,
1986,TX,Representative,All,1716978,1263413,13005,16990,,,20,,
1986,UT,Representative,All,196683,229717,1302,,1093,,,,
1986,VT,Representative,All,,168403,,,,13254,237,7060,
1986,VA,Representative,All,544951,466747,,29718,,,1936,,
1986,WA,Representative,All,767678,527158,,,,,,,
1986,WV,Representative,All,298956,96864,,,,,,,
1986,WI,Representative,All,704113,668708,,4711,,3953,1656,,
1986,WY,Representative,All,48780,111007,,,,,,,
