Year,State,Race,Division,Democrat,Republican,Libertar.,Ind.,Soc. Work.,Comm.,Other,Write-In,Populist,Work. League,New Alli.
1988,AL,President,All,549506,815576,8460,4428,,,,506,,,
1988,AK,President,All,72584,119251,5484,,,,816,957,,,1024
1988,AZ,President,All,454029,702541,13351,,,,,290,,,1662
1988,AR,President,All,349237,466578,3297,,,,1319,,5146,,2161
1988,CA,President,All,4702233,5054917,70105,58999,,,,811,,,
1988,CO,President,All,621453,728177,15482,,,,4604,139,,,2539
1988,CT,President,All,676584,750241,14071,,,,,7,,,2491
1988,DC,President,All,159407,27590,554,3064,123,,378,1553,,208,
1988,DE,President,All,108647,139639,1162,,,,,,,,443
1988,FL,President,All,1656701,2618885,19796,,,,,276,,,6655
1988,GA,President,All,714792,1081331,8435,,,,,15,,,5099
1988,HI,President,All,192364,158625,1999,,,,1473,,,,
1988,ID,President,All,147272,253881,5313,2502,,,,,,,
1988,IL,President,All,2215940,2310939,14944,7021,,,10276,,,,
1988,IN,President,All,860643,1297763,,,,,,,,,10215
1988,IA,President,All,670557,545355,2494,,205,,4615,1613,,235,540
1988,KS,President,All,422636,554049,,16359,,,,,,,
1988,KY,President,All,580368,734281,2118,,,,,,4494,,1256
1988,LA,President,All,717460,883702,4115,,,,1958,,18612,,2355
1988,ME,President,All,243569,307131,2700,,,,,230,,,1405
1988,MD,President,All,826304,876167,6748,,,,,24,,,5115
1988,MA,President,All,1401415,1194635,24251,,,,,2939,,,9561
1988,MI,President,All,1675783,1965486,18336,,,,,7600,,1958,
1988,MN,President,All,1109471,962337,5109,,2155,,10352,3614,1529,489,1734
1988,MS,President,All,363921,557890,3329,6387,,,,,,,
1988,MO,President,All,1001619,1084953,,,,,,,,,6656
1988,MT,President,All,168936,190412,5047,,,,,,,,1279
1988,NE,President,All,259235,397956,2534,,,,,,,,1740
1988,NV,President,All,132738,206040,3520,,,,,,,,835
1988,NH,President,All,163696,281537,4502,,,,,,,,790
1988,NJ,President,All,1320352,1743192,8421,,2298,,17014,,2446,691,5139
1988,NM,President,All,244497,270341,3268,,344,,507,93,,,2237
1988,NY,President,All,3255487,2838414,12109,,3287,,360528,13,,,15845
1988,NC,President,All,890167,1237258,,,,,,1263,,,5682
1988,ND,President,All,127739,166559,1315,,347,,905,,,,396
1988,OH,President,All,1939629,2416549,11926,7713,,,,350,,5401,12017
1988,OK,President,All,483423,678367,6261,,,,,,,,2985
1988,OR,President,All,616206,560126,14811,6487,,,,4064,,,
1988,PA,President,All,2194944,2300087,12051,,,,19158,,3444,2188,4379
1988,RI,President,All,225123,177761,825,,130,,291,53,159,,280
1988,SC,President,All,370554,606443,4935,,,,4077,,,,
1988,SD,President,All,145560,165415,,2016,,,,,,,
1988,TN,President,All,679794,947233,,8938,,,,285,,,
1988,TX,President,All,2352748,3036829,30355,,,,,270,,,7208
1988,UT,President,All,207343,428442,7473,372,209,,2714,,,,455
1988,VT,President,All,115775,124331,1000,275,113,,306,1134,189,,205
1988,VA,President,All,859799,1309162,8336,14312,,,,,,,
1988,WA,President,All,933516,903835,17240,4412,1290,,1440,,,,3520
1988,WV,President,All,341016,310065,,,,,,,,,2230
1988,WI,President,All,1126794,1047499,,15042,,,,2273,,,
1988,WY,President,All,67113,106867,2026,,,,,,,,545
1988,AZ,Senator,All,660403,478060,20849,,,,,32,,,5195
1988,CA,Senator,All,4287253,5143409,79997,66288,,,166600,51,,,
1988,CT,Senator,All,688499,678454,12409,,,,,10,,,4154
1988,DE,Senator,All,92378,151115,,,,,,,,,
1988,FL,Senator,All,2016553,2051071,,,,,,585,,,
1988,HI,Senator,All,247941,66987,8948,,,,,,,,
1988,IN,Senator,All,668778,1430525,,,,,,,,,
1988,ME,Senator,All,452581,104164,,,,,,,,,
1988,MD,Senator,All,999166,617537,,,,,,362,,,
1988,MA,Senator,All,1693344,884267,13199,,,,,207,,,15208
1988,MI,Senator,All,2116865,1348219,27116,,,,8908,4877,,,
1988,MN,Senator,All,856694,1176210,4039,,3105,,53490,415,,,
1988,MS,Senator,All,436339,510380,,,,,,,,,
1988,MO,Senator,All,660045,1407416,11410,,,,,4,,,
1988,MT,Senator,All,175809,189445,,,,,,,,,
1988,NE,Senator,All,378717,278250,,,,,,521,,,10372
1988,NV,Senator,All,175548,161336,5523,,,,,,,,
1988,NJ,Senator,All,1599905,1349937,12354,20091,3547,,,,,,
1988,NM,Senator,All,321983,186579,,,,,,36,,,
1988,NY,Senator,All,3907178,1686558,12064,,11239,,423885,56,,,
1988,ND,Senator,All,171899,112937,4334,,,,,,,,
1988,OH,Senator,All,2480038,1872716,,,,,,151,,,
1988,PA,Senator,All,1416764,2901715,11822,,,,31728,,,,4569
1988,RI,Senator,All,180717,217273,,,,,,,,,
1988,TN,Senator,All,1020061,541033,,3042,,,,45,,,
1988,TX,Senator,All,3149806,2129228,43989,,,,,583,,,
1988,UT,Senator,All,203364,430089,,,1233,,6016,,,,
1988,VT,Senator,All,71460,163183,,2424,,,2533,508,,,
1988,VA,Senator,All,1474086,593652,,,,,,1159,,,
1988,WA,Senator,All,904183,944359,,,,,,,,,
1988,WV,Senator,All,410983,223564,,,,,,,,,
1988,WI,Senator,All,1128625,1030440,,8192,,,,933,,,
1988,WY,Senator,All,89821,91143,,,,,,,,,
1988,AL,Representative,All,722200,432232,23394,,,,,472,,,
1988,AK,Representative,All,71881,120595,,,,,,479,,,
1988,AZ,Representative,All,321815,766111,30430,,,,6460,,,,
1988,AR,Representative,All,353164,252756,,,,,,,,,
1988,CA,Representative,All,4944646,4173715,163537,7947,,,89494,1901,,,
1988,CO,Representative,All,645469,667091,,,,,2911,,,,
1988,CT,Representative,All,660360,676817,,1054,,,2379,,,,
1988,DE,Representative,All,158338,76179,,,,,,,,,
1988,FL,Representative,All,1430881,1615567,,,,,,594,,,
1988,GA,Representative,All,1115343,556817,,,,,,18,,,
