Year,State,Race,Division,Democrat,Republican,Ind.,Libertar.,Other,Write-In,Populist,New Alli.,Soc. Work.
1990,AL,Senator,All,717814,467190,,,,150,,,
1990,AK,Senator,All,61152,125806,,,,2999,,,
1990,AR,Senator,All,493910,,,,,825,,,
1990,CO,Senator,All,425746,569048,,,27233,,,,
1990,DE,Senator,All,112918,64554,,2680,,5,,,
1990,GA,Senator,All,1033439,,,,,,,,
1990,HI,Senator,All,188901,155978,,4787,,,,,
1990,ID,Senator,All,122295,193641,,,,,,,
1990,IL,Senator,All,2115377,1135628,,,,,,,
1990,IN,Senator,All,696639,806048,,,,,,,
1990,IA,Senator,All,535975,446869,,,,1089,,,
1990,KS,Senator,All,207491,578605,,,,139,,,
1990,KY,Senator,All,437976,478034,,,,,,,
1990,ME,Senator,All,201053,319167,,,,100,,,
1990,MA,Senator,All,1321712,992917,,,,109950,,,
1990,MI,Senator,All,1471753,1055695,,,32796,250,,,
1990,MN,Senator,All,911999,864375,,,29820,1851,,,
1990,MS,Senator,All,,274244,,,,,,,
1990,MT,Senator,All,217563,93836,,7937,,,,,
1990,NE,Senator,All,349779,243013,,,,1036,,,
1990,NH,Senator,All,91299,189792,,9717,,585,,,
1990,NJ,Senator,All,977810,918874,,13988,27782,,,,
1990,NM,Senator,All,110033,296712,,,,193,,,
1990,NC,Senator,All,981573,1087331,,,,681,,,
1990,OK,Senator,All,735684,148814,,,,,,,
1990,OR,Senator,All,507743,590095,,,,1417,,,
1990,RI,Senator,All,225105,138947,,,,10,,,
1990,SC,Senator,All,244112,482032,,13805,10317,450,,,
1990,SD,Senator,All,116727,135682,6567,,,,,,
1990,TN,Senator,All,530898,233703,19212,,,109,,,
1990,TX,Senator,All,1429986,2302357,,89089,,725,,,
1990,VA,Senator,All,,876782,196755,,,10158,,,
1990,WV,Senator,All,276234,128071,,,,,,,
1990,WY,Senator,All,56848,100784,,,,,,,
1990,AL,Representative,All,689987,314735,10385,,,762,,,
1990,AK,Representative,All,91677,99003,,,,967,,,
1990,AZ,Representative,All,344604,620906,,,,665,,,172
1990,AR,Representative,All,369194,295877,,,,,,,
1990,CA,Representative,All,3567775,3346962,,235984,134398,1977,,,
1990,CO,Representative,All,503549,487326,,6761,,,2859,,
1990,CT,Representative,All,489206,545751,,,1888,47,,,
1990,DE,Representative,All,116274,58037,,3121,,3,,,
1990,FL,Representative,All,1212978,1163084,,,,2409,,,
1990,GA,Representative,All,854784,538865,,,,,,,
1990,HI,Representative,All,215777,117607,,7615,,,,,
1990,ID,Representative,All,183062,131450,,,,,,,
1990,IL,Representative,All,1646340,1349079,,18529,61532,1687,,,
1990,IN,Representative,All,830500,682593,,,,,,,
1990,IA,Representative,All,400852,385003,,,,6285,,,
1990,KS,Representative,All,393671,387180,,,,147,,,
1990,KY,Representative,All,353439,397388,,,,,12879,,
1990,LA,Representative,All,105853,,,,,,,,
1990,ME,Representative,All,284421,232540,,,,433,,,
1990,MD,Representative,All,565669,517386,7485,,,3,,,
1990,MA,Representative,All,1420422,566923,52660,,,375768,,8806,
1990,MI,Representative,All,1321449,1089299,,12618,7901,2362,,,
1990,MN,Representative,All,1042201,736497,,,,2220,,,
1990,MS,Representative,All,299286,69216,,,,,,,
1990,MO,Representative,All,727950,624602,,,,,,,
1990,MT,Representative,All,157148,160286,,,,,,,
1990,NE,Representative,All,276724,309106,,,,916,,,
1990,NV,Representative,All,144231,150885,,17945,,,,,
1990,NH,Representative,All,141042,148909,,,,680,,,
1990,NJ,Representative,All,836944,910931,4377,7385,28770,,36156,,1961
1990,NM,Representative,All,145531,213803,,,,,,,
1990,NY,Representative,All,1760428,1458528,,70250,367022,629700,,5660,
1990,NC,Representative,All,1076340,935054,,,,,,,
1990,ND,Representative,All,152530,81443,,,,6,,,
1990,OH,Representative,All,1806626,1590381,21118,,,173,,,
1990,OK,Representative,All,519047,337590,,,,,,,
1990,OR,Representative,All,667258,342246,15585,26432,,1018,,,
1990,PA,Representative,All,1292717,1552475,,,5795,,,,
1990,RI,Representative,All,181949,164916,,,,,,,
1990,SC,Representative,All,382939,274650,,11101,,1349,,,
1990,SD,Representative,All,173814,83484,,,,,,,
1990,TN,Representative,All,369294,288633,85778,,,167,,,
1990,TX,Representative,All,1763432,1498069,,11844,,4886,,,
1990,UT,Representative,All,233821,191067,3424,,12971,,,,930
1990,VT,Representative,All,6315,82938,117522,,1965,1116,,,
1990,VA,Representative,All,662800,410941,71301,,,7832,,,
1990,WA,Representative,All,696275,596407,,15165,,,,,5370
1990,WV,Representative,All,251298,123311,,,,,,,
1990,WI,Representative,All,597332,651569,4968,,,2119,,,
1990,WY,Representative,All,70977,87078,,,,,,,
