Year,State,Race,Division,Democrat,Republican,Ind.,Libertar.,Conserv.,Green,Nat. Law,Grass Roots,New Alli.,Soc. Work.,Free. La Rouche,Populist,Work. League,Other,Scattering,Perot (Ind.),Am. First,Taxpayers,Am.,Ind. Eco. Rec.,Work. World
1992,AL,President,All,690080,804283,4128,5737,,,,,,,,,,,723,183109,,,,,
1992,AK,President,All,78294,102000,,1378,,,433,,330,,,,,,365,73481,1379,377,,469,
1992,AZ,President,All,543050,572086,8141,6759,,,2267,,923,,,,,,8,353741,,,,,
1992,AR,President,All,505823,337324,8374,,,,,,,,,,,,,99132,,,,,
1992,CA,President,All,5121325,3630574,,48139,,,,,,,,,,31308,,2296006,,,,,
1992,CO,President,All,629681,562850,,8669,,,,,1608,,,,,274,4369,366010,,,,,
1992,CT,President,All,682318,578313,,5391,,,,,1363,,,,,,,348771,,,,,
1992,DC,President,All,192619,20698,1446,467,,,230,,1450,105,,,,191,676,9681,,,,,
1992,DE,President,All,126054,102313,,935,,,,,1105,,,,,,,59213,,,,,
1992,FL,President,All,2072698,2173310,15079,,,,,,,,,,,,238,1053067,,,,,
1992,GA,President,All,1008966,995252,,7110,,,,,,,,,,,148,309657,,,,,
1992,HI,President,All,179310,136822,1452,1119,,,416,,720,,,,,,,53003,,,,,
1992,ID,President,All,137013,202645,10894,1167,,,,,,,,,,,,130395,,,,,
1992,IL,President,All,2453350,1734096,,9218,,,2751,,5267,1361,,3577,,,22,840515,,,,,
1992,IN,President,All,848420,989375,,7936,,,,,2583,,,,,,1623,455934,,,,,
1992,IA,President,All,586353,504891,,1076,,,3079,669,197,273,,,,212,2494,253468,1177,480,,238,
1992,KS,President,All,390434,449951,,4314,,,,,,,,,,,179,312358,,,,,
1992,KY,President,All,665104,617178,,4513,,,695,,430,,,,,,47,203944,,989,,,
1992,LA,President,All,815971,733386,808,3155,,,889,,,,,,,4233,,211478,18545,1552,,,
1992,ME,President,All,263420,206504,,1681,,,,,519,,,,,,91,206820,,464,,,
1992,MD,President,All,988571,707094,,4715,,,,,2786,,,,,,,281414,,,,,
1992,MA,President,All,1318639,805039,,9021,,,1812,,3172,,,,,3260,1990,630731,,,,,
1992,MI,President,All,1871182,1554940,,10175,,,2954,,,,,,,8263,914,824813,,,,,1432
1992,MN,President,All,1020997,747841,,3374,,,1406,2659,958,990,,,,3363,2499,562506,,733,,622,
1992,MS,President,All,400258,487793,4310,2154,,,,,,,,,,,,85626,,1652,,,
1992,MO,President,All,1053873,811159,,7497,,,,,,,,,,,,518741,,,,,
1992,MT,President,All,154507,144207,3658,986,,,,,,,,,,,,107225,,,,,
1992,NE,President,All,216864,343678,1560,1340,,,,,,,,,,,,174104,,,,,
1992,NV,President,All,189148,175828,483,1835,,,338,,,,,2892,,677,2537,132580,,,,,
1992,NH,President,All,209040,202484,,3548,,,294,,512,,,,,,,121337,,,,,
1992,NJ,President,All,1436206,1356865,4749,6822,,,1353,,3513,2011,,,,7576,,521829,,2670,,,
1992,NM,President,All,261617,212824,,1615,,,562,,369,183,,,,120,,91895,,620,,,181
1992,NY,President,All,3346894,2041690,,13451,,,4420,,11318,15472,,,,402515,152951,1090721,,,,,
1992,NC,President,All,1114042,1134661,,5171,,,41,,59,12,,,,,,357864,,,,,
1992,ND,President,All,99168,136244,,,,,,,,,,,,,1637,71084,,,,,
1992,OH,President,All,1984942,1894310,24247,,,,,,,,,,,,42,1036426,,,,,
1992,OK,President,All,473066,592929,,4486,,,,,,,,,,,,319878,,,,,
1992,OR,President,All,621314,475757,,4277,,,,,3030,,,,,,4174,354091,,,,,
1992,PA,President,All,2239164,1791841,,21477,,,,,4661,,,,,,,902667,,,,,
1992,RI,President,All,213299,131601,,571,,,262,,1878,,,,,494,,105045,,215,,,
1992,SC,President,All,525514,577507,,2719,,,,,,,,,,1235,,119257,,,2680,,
1992,SD,President,All,124888,136718,539,814,,,,,,,,,,,,73295,,,,,
1992,TN,President,All,933521,841300,7688,,,,,,,,,,,,161,199968,,,,,
1992,TX,President,All,2281815,2496071,,19699,,,,,,,,,,,1652,1354781,,,,,
1992,UT,President,All,183429,322632,,1900,,,1319,,414,200,,28602,,328,,203400,,393,292,1089,
1992,VT,President,All,133592,88122,,501,,,315,,100,82,,,,386,488,65991,,124,,,
1992,VA,President,All,1038650,1150517,15129,5730,,,,,,,,,,,,348639,,,,,
1992,WA,President,All,993037,731234,2026,7533,,,2456,,1776,515,,4854,,,,541780,,2354,,,
1992,WV,President,All,331001,241974,,1873,,,,,,,,,,,,108829,,,,,
1992,WI,President,All,1041066,930855,7518,2877,,,1070,,,,,,,2288,961,544479,,,,,
1992,WY,President,All,68160,79347,270,844,,,,,,,,,,,,51263,,,,,
1992,AL,Senator,All,1022698,522015,,31811,,,,,,,,,,,1275,,,,,,
1992,AK,Senator,All,92065,127163,,,,20019,,,,,,,,,467,,,,,,
1992,AZ,Senator,All,436321,771895,145361,22613,,,,,6335,,,,,,26,,,,,,
1992,AR,Senator,All,553635,366373,,,,,,,,,,,,,,,,,,,
1992,CA,Senator,All,5173467,4644182,,235919,,,,,,,,,,745868,267,,,,,,
1992,CO,Senator,All,803725,662893,20347,23,,,,,,,,,,65301,,,,,,,
1992,CT,Senator,All,577662,572036,,10741,,,,,,,,,,340222,,,,,,,
1992,FL,Senator,All,3245565,1716505,,,,,,,,,,,,,220,,,,,,
1992,GA,Senator,All,618877,635114,,,,,,,,,,,,,,,,,,,
1992,HI,Senator,All,208266,97928,,7547,,49921,,,,,,,,,,,,,,,
1992,ID,Senator,All,208036,270468,,,,,,,,,,,,,,,,,,,
1992,IL,Senator,All,2631229,2126833,,34527,100422,,15118,,12689,10056,,8656,,,28,,,,,,
1992,IN,Senator,All,900148,1267972,,35733,,,,,7474,,,,,,99,,,,,,
1992,IA,Senator,All,351561,899761,,,,,16403,,,1370,,,,3404,19995,,,,,,
1992,KS,Senator,All,349525,706246,45423,25253,,,,,,,,,,,,,,,,,
1992,KY,Senator,All,836888,476604,,17366,,,,,,,,,,,,,,,,,
1992,MD,Senator,All,1307610,533688,,,,,,,,,,,,,,,,,,,
1992,MO,Senator,All,1057967,1221901,,75048,,,,,,,,,,,,,,,,,
1992,NV,Senator,All,253150,199419,,7222,,,7279,,,,,4429,,11240,13154,,,,,,
1992,NH,Senator,All,284982,249591,14092,18214,,,1291,,,,,,,,,,,,,,
1992,NY,Senator,All,2943001,2652822,,108530,289258,,23747,,56631,16724,,,,368113,619979,,,,,,
1992,NC,Senator,All,1194015,1297892,,85948,,,13,,,23,,,,,,,,,,,
1992,ND,Senator,All,179347,118162,6448,,,,,,,,,,,,,,,,,,
1992,OH,Senator,All,2444419,2028300,321234,,,,,,,,,,,,,,,,,,
1992,OK,Senator,All,494350,757876,42197,,,,,,,,,,,,,,,,,,
1992,OR,Senator,All,639851,717455,,,,,,,,,,,,,18727,,,,,,
1992,PA,Senator,All,2224966,2358125,,219819,,,,,,,,,,,,,,,,,
1992,SC,Senator,All,591030,554175,,22962,,,,,,,,,,11568,703,,,,,,
1992,SD,Senator,All,217095,108733,4314,4353,,,,,,,,,,,,,,,,,
1992,UT,Senator,All,301228,420069,,14341,,,,,,5292,,17549,,,,,,,,,
1992,VT,Senator,All,154762,123854,,,,,,,,,,,,6901,222,,,,,,
1992,WA,Senator,All,1197973,1020829,,,,,,,,,,,,,,,,,,,
1992,WI,Senator,All,1290662,1129599,25257,9147,,,,,,,,,,,459,,,,,,
1992,AL,Representative,All,895601,643150,31204,30891,,,,,,1165,,,,,525,,,,,,
1992,AK,Representative,All,102378,111849,,,,9529,,,,,,,,15049,311,,,,,,
1992,AZ,Representative,All,582317,740047,38600,26724,,,21228,,,,,,,,,,,,,,
1992,AR,Representative,All,525197,356900,6329,,,,,,,,,,,,,,,,,,
1992,CA,Representative,All,5446965,4365155,29375,330083,,77110,,,,,,,,278667,,,,,,,
1992,CO,Representative,All,691479,757666,3,7769,,,,,,,,4189,,18101,2,,,,,,
1992,CT,Representative,All,501887,699155,1677,,,,2309,,,,,,,230110,25,,,,,,
1992,DE,Representative,All,117426,153037,,5661,,,,,,,,,,,,,,,,,
1992,FL,Representative,All,2256681,2510725,137627,,,9342,,,,,,,,,458,,,,,,
