Year,State,Race,Division,Rep.,Dem.,Ind.,Libertar.,Conserv.,Nat. Law,Soc. Work,Grass Roots,Ind. Am.,Other,Write-In,Green
1994,AZ,Senator,All,600999,442510,,75493,,,,,,,58,
1994,CA,Senator,All,3817025,3979152,,179100,,,,,,538639,173,
1994,CT,Senator,All,334833,443793,,,,,,,,301038,,
1994,DE,Senator,All,111074,84540,,3386,,,,,,,,
1994,FL,Senator,All,2895200,1210577,,,,,,,,,1039,
1994,HI,Senator,All,86320,256189,,14393,,,,,,,,
1994,IN,Senator,All,1039625,470799,,17343,,,,,,15801,,
1994,ME,Senator,All,308244,186042,,,,,,,,,17447,
1994,MD,Senator,All,559908,809125,,,,,,,,,68,
1994,MA,Senator,All,894000,1265997,,14484,,,,,,4776,688,
1994,MI,Senator,All,1578770,1300960,,128393,,14746,,,,20010,506,
1994,MN,Senator,All,869653,781860,,,,5054,2428,15920,,95400,2614,
1994,MS,Senator,All,418333,189752,,,,,,,,,,
1994,MO,Senator,All,1060149,633697,6,81264,,,,,,,,
1994,MT,Senator,All,218542,131845,,,,,,,,,,
1994,NE,Senator,All,260668,317297,,,,,,,,,1240,
1994,NV,Senator,All,156020,193804,6666,5964,,,,,5450,,12626,
1994,NJ,Senator,All,966244,1033487,,14042,9387,3249,3606,,,24872,,
1994,NM,Senator,All,213025,249989,,,,,,,,,182,
1994,NY,Senator,All,1711760,2528387,,17991,276548,,14892,,,240758,538150,
1994,ND,Senator,All,99390,137157,,,,,,,,,,
1994,OH,Senator,All,1836556,1348213,252031,,,,,,,,84,
1994,PA,Senator,All,1735691,1648481,,59115,,,,,,69825,249,
1994,RI,Senator,All,222856,122532,,,,,,,,,,
1994,TN,Senator,All,834226,623164,22962,,,,,,,,39,
1994,TX,Senator,All,2604218,1639615,,36107,,,,,,,,
1994,UT,Senator,All,357297,146938,9550,,,,1514,,1462,2543,,
1994,VT,Senator,All,106505,85868,15606,,,709,,1416,,1376,192,
1994,VA,Senator,All,882213,938376,235437,,,,,,,,1437,
1994,WA,Senator,All,947821,752352,,,,,,,,,,
1994,WV,Senator,All,130441,290495,,,,,,,,,,
1994,WI,Senator,All,636989,912662,,15439,,,,,,,538,
1994,WY,Senator,All,118754,79287,,3669,,,,,,,,
1994,AL,Representative,All,558437,554154,,,,,,,,,2428,
1994,AK,Representative,All,118537,68172,,,,,,,,,254,21277
1994,AZ,Representative,All,652831,409672,,36886,,,,,,,,
1994,AR,Representative,All,372889,336123,,,,,,,,,,
1994,CA,Representative,All,4070290,3959954,,187987,,,,,,102741,1826,12002
1994,CO,Representative,All,687070,364391,,,,1393,,,,2536,154,
1994,CT,Representative,All,505150,416095,,1976,,688,,,,145256,2,
1994,DE,Representative,All,137945,51793,,3866,,,,,,1404,,
1994,FL,Representative,All,1694181,1155646,,,,,,,,,2415,
1994,GA,Representative,All,816484,681051,,,,,,,,,1,
1994,HI,Representative,All,119514,219185,,12588,,,,,,2815,,
1994,ID,Representative,All,255321,137762,,,,,,,,,,
1994,IL,Representative,All,1576655,1459928,,2633,,,,,,1918,2816,
1994,IN,Representative,All,875082,667454,3403,,,,,,,,,
1994,IA,Representative,All,560117,407309,,1281,,2111,606,3085,,,2897,
1994,KS,Representative,All,519127,298269,,,,,,,,,,
1994,KY,Representative,All,450640,316037,,,,,,,,17591,31,
1994,ME,Representative,All,234070,235988,21117,,,,,,,11353,135,
1994,MD,Representative,All,682578,662312,20,,,,,,,,163,
1994,MA,Representative,All,592758,1362572,4960,,,12542,,,,,3525,
1994,MI,Representative,All,1532084,1418142,,13805,,31075,,,,,7968,
1994,MN,Representative,All,846950,883905,6535,,,,,6211,,,4784,
1994,MS,Representative,All,256424,354487,,,,,,,,9408,,
1994,MO,Representative,All,834456,893783,,37270,,,,,,,,
1994,MT,Representative,All,148715,171372,32046,,,,,,,,,
1994,NE,Representative,All,365402,203062,,,,,,,,,2299,
1994,NV,Representative,All,215971,137723,,6065,,6725,,,,9615,,
1994,NH,Representative,All,180138,116724,4203,6534,,1796,,,,,,
1994,NJ,Representative,All,1091251,879855,5236,2882,6956,3263,1519,,,14154,,
1994,NM,Representative,All,263477,187532,,3697,,,,,,,,6898
1994,NY,Representative,All,1992633,2146180,,294,295779,,,,,176185,712837,
1994,NC,Representative,All,907093,681064,,,,,,,,,33,
1994,ND,Representative,All,105988,123134,6267,,,,,,,,,
1994,OH,Representative,All,1925452,1327955,44246,,,,,,,,861,
1994,OK,Representative,All,554800,368063,46183,,,,,,,,,
1994,OR,Representative,All,498628,646589,13550,26317,,,,,,6695,1178,
1994,PA,Representative,All,1830779,1491859,6588,20304,,,,,,20341,1701,
1994,RI,Representative,All,132417,209491,,,,,,,,,,
1994,SC,Representative,All,552085,313043,,1836,,,,,,,629,
1994,SD,Representative,All,112054,183036,10832,,,,,,,,,
1994,TN,Representative,All,775843,614512,26069,,,,,,,,78,
1994,TX,Representative,All,2294222,1734163,55789,35889,,,,,,,,
1994,UT,Representative,All,252300,216080,34167,,,,1802,,,,,
1994,VT,Representative,All,98523,,105502,,,2963,,2664,,1493,304,
1994,VA,Representative,All,1089242,752701,65511,,,,,,,,1300,
1994,WA,Representative,All,853712,826753,,,,,,,,6620,,
1994,WV,Representative,All,137663,268901,,,,,,,,,,
1994,WI,Representative,All,893405,547825,5182,3085,,,,,,8124,1446,
1994,WY,Representative,All,104426,81022,,10749,,,,,,,,
