Year,State,Race,Division,Republican,Democrat,Ind.,Libertar.,Nat. Law,Conserv.,Reform,Independence,Green,Ind. Am.,US Tax,Soc. Work.,Soc. Equ.,Other,Write-In,Work. World,Grass Roots,Soc.,Am.
1996,AL,President,All,769044,662165,95030,5290,1697,,,,,,,,,,1123,,,,
1996,AK,President,All,122746,80380,,2276,729,,26333,,7597,,925,,,,634,,,,
1996,AZ,President,All,622073,653288,,14358,,,112072,,,,,,,,2614,,,,
1996,AR,President,All,325416,475171,,3076,729,,69884,,3649,,2065,,,2164,823,747,,538,
1996,CA,President,All,3828381,5119835,,73600,15403,,697847,,237016,,21202,,,25332,853,,,,
1996,CO,President,All,691848,671152,2809,12392,2545,,99629,,25070,,2813,244,,375,,599,,669,557
1996,CT,President,All,483109,735740,,5788,1703,,139523,,24321,,2425,,,,5,,,,
1996,DC,President,All,17339,168220,,588,283,,3611,,4780,,,257,,,648,,,,
1996,DE,President,All,99062,140355,,2052,274,,28719,,,,348,,,,,,,,
1996,FL,President,All,2244536,2546870,,23326,,,483870,,,,,,,,4552,,,,
1996,GA,President,All,1080843,1053849,,17870,,,146337,,,,,,,,,,,,
1996,HI,President,All,113943,205012,,2493,570,,27358,,10386,,358,,,,,,,,
1996,ID,President,All,256595,165443,,3325,1600,,62518,,,,2230,,,,,,,,
1996,IL,President,All,1587021,2341744,,22548,4606,,346408,,,,7606,,,,1458,,,,
1996,IN,President,All,1006693,887424,,15632,,,224299,,,,,,,,1383,,,,
1996,IA,President,All,492644,620258,,2315,3349,,105159,,6550,,2229,331,,,1240,,,,
1996,KS,President,All,583245,387659,5174,4557,,,92639,,,,,,,,1026,,,,
1996,KY,President,All,623283,636614,,4009,1493,,120396,,,,2204,,,,709,,,,
1996,LA,President,All,712586,927837,,7499,2981,,123293,,4719,,3366,,,,,1678,,,
1996,ME,President,All,186378,312788,,2996,825,,85970,,15279,,1517,,,,144,,,,
1996,MD,President,All,681530,966207,,8765,2517,,115812,,,,3402,,,,2637,,,,
1996,MA,President,All,718058,1571509,,20424,5183,,227206,,,,,,,,10803,3276,,,
1996,MI,President,All,1461212,1989653,,27670,4254,,336670,,,,,,1554,,4678,3153,,,
1996,MN,President,All,766395,1120380,,8271,1808,,257698,,24906,,3415,684,347,787,2903,,4898,,
1996,MS,President,All,439838,394022,53427,2809,1447,,,,,,2314,,,,,,,,
1996,MO,President,All,890016,1025935,596,10522,2287,,217188,,,,11521,,,,,,,,
1996,MT,President,All,179652,167922,,2526,1754,,55229,,,,,,,,,,,,
1996,NE,President,All,363467,236761,,2792,1189,,71278,,,,1928,,,,,,,,
1996,NV,President,All,199244,203974,,4460,545,,43986,,4730,,1732,,,,5608,,,,
1996,NH,President,All,196486,246166,,4214,,,48387,,,,1344,,,,,,,,
1996,NJ,President,All,1103099,1652361,320400,,,,,,,,,,,,,,,,
1996,NM,President,All,232751,273495,,2996,644,,32257,,13218,,713,,,,,,,,
1996,NY,President,All,1933492,3756177,,12220,6011,,503458,,75956,,23580,2762,,,123000,3473,,,
1996,NC,President,All,1225938,1107849,,,,,,,168059,,8740,,,,2450,2771,,,
1996,ND,President,All,125050,106905,,847,349,,32515,,,,745,,,,,,,,
1996,OH,President,All,1859883,2148222,,12851,9120,,483207,,2962,,7361,,,,15,10813,,,
1996,OK,President,All,582315,488105,,5505,,,130788,,,,,,,,,,,,
1996,OR,President,All,538152,649641,,8903,2798,,121221,,49415,,3379,,,,2329,,,1922,
1996,PA,President,All,1801169,2215819,,28000,6783,,430984,,,,19552,,,,,,,,
1996,RI,President,All,104683,233050,,1109,435,,43723,,6040,,1021,,,,,186,,,
1996,SC,President,All,573339,506152,,4271,,,64377,,,,2043,,,,,,,,
1996,SD,President,All,150543,139333,32478,1472,,,,,,,,,,,,,,,
1996,TN,President,All,863530,909146,121239,,,,,,,,,,,,190,,,,
1996,TX,President,All,2736167,2459683,378537,20256,4422,,,,,,7472,,,,5107,,,,
1996,UT,President,All,361911,221633,1101,4129,1085,,66461,,4615,,2601,235,,111,159,298,,,1290
1996,VT,President,All,80352,137894,,1183,498,,31024,,5585,,382,199,,,560,,480,292,
1996,VA,President,All,1138350,1091060,,9174,4510,,159861,,,,13687,,,,,,,,
1996,WA,President,All,840712,1123323,62696,12522,6076,,201003,,,,4578,738,,,,2189,,,
