Year,State,Race,Division,Rep.,Dem.,Ind.,Libertar.,Reform,Nat. Law,Independence,Green,Ind. Am.,US Tax,Soc. Work.,Other,Write-In
1998,AL,Senator,All,817973,474568,,,,,,,,,,,864
1998,AK,Senator,All,165227,43743,,5046,,,,7126,,,,,665
1998,AZ,Senator,All,696577,275224,,23004,18288,,,,,,,,187
1998,AR,Senator,All,295870,385878,,,18896,,,,,,,,187
1998,CA,Senator,All,3575078,4410056,,93926,82918,46543,,,,,,103384,
1998,CO,Senator,All,829370,464754,,14024,,4101,,,,,,14986,
1998,CT,Senator,All,312177,628306,,5196,,,,,,,,18778,
1998,FL,Senator,All,1463755,2436407,,,,,,,,,,,
1998,GA,Senator,All,918540,791904,,43467,,,,,,,,,42
1998,HI,Senator,All,70964,315252,,11908,,,,,,,,,
1998,ID,Senator,All,262966,107375,,,,7833,,,,,,,
1998,IL,Senator,All,1709041,1610496,,,74704,,,,,280,,,
1998,IN,Senator,All,552732,1012244,,23641,,,,,,,,,
1998,IA,Senator,All,648480,289049,,,,7561,,,,,2542,,275
1998,KS,Senator,All,474639,229718,,11545,11334,,,,,,,,
1998,KY,Senator,All,569817,563051,,,12546,,,,,,,,
1998,LA,Senator,All,314580,630395,,,,,,,,,,24190,
1998,MD,Senator,All,444637,1062810,,,,,,,,,,,
1998,MO,Senator,All,830625,690208,,31876,8780,,,,,15368,,,
1998,NV,Senator,All,208220,208621,,8129,,2781,,,,,,,8113
1998,NH,Senator,All,213477,88883,4733,7603,,,,,,,,,
1998,NY,Senator,All,1680203,2386314,,8223,,,,14735,,,3513,577817,319072
1998,NC,Senator,All,945943,1029237,,36963,,,,,,,,,
1998,ND,Senator,All,75013,134747,,,3598,,,,,,,,
1998,OH,Senator,All,1922087,1482054,,,,,,,,,,,
1998,OK,Senator,All,570682,268898,20133,,,,,,,,,,
1998,OR,Senator,All,377739,682425,,18221,,8372,,,,,,29577,1413
1998,PA,Senator,All,1814180,1028839,,46103,,,,,,,,68377,
1998,SC,Senator,All,488238,563377,,16991,,,,,,,,,457
1998,SD,Senator,All,95431,162884,,3796,,,,,,,,,
1998,UT,Senator,All,316652,163172,,,,,,,,,,15073,12
1998,VT,Senator,All,48051,154567,2893,4199,,,,,,,,3697,629
1998,WA,Senator,All,785377,1103184,,,,,,,,,,,
1998,WI,Senator,All,852272,890059,4266,5591,,,,,,7942,,,706
1998,AL,Representative,All,665625,545465,,,,,,,,,,,4089
1998,AK,Representative,All,139676,77232,,,,,,5923,,,,,469
1998,AZ,Representative,All,573651,406834,2757,18042,2456,,,,,,,,26
1998,AR,Representative,All,319863,168528,,,36917,,,,,,,,
1998,CA,Representative,All,3509530,4038257,,236547,38600,110472,,23906,,,,28657,
1998,CO,Representative,All,715820,533297,,10898,,14134,,,,,,,
1998,CT,Representative,All,442066,495557,,1449,676,620,5116,,,,,8974,
1998,DE,Representative,All,119811,57446,,,,859,,,,2411,,,2
1998,FL,Representative,All,557825,850605,,,67147,,,,,,,,7675
1998,GA,Representative,All,1039711,592004,,,,,,,,,,,4
1998,HI,Representative,All,119328,260947,,13194,,3973,,,,,,,
1998,ID,Representative,All,204568,169389,,,,4854,,,,,,,18
1998,IL,Representative,All,1624558,1565998,,24704,,,,,,,,,2
1998,IN,Representative,All,861951,673322,91,40507,,,,,,,,,
1998,IA,Representative,All,551767,338431,,,3432,4237,,,,,,,2834
1998,KS,Representative,All,450025,272252,,,,,,,,5171,,,
1998,KY,Representative,All,637091,456218,,,1833,1881,,,,1839,,,
1998,LA,Representative,All,97044,213150,,,,,,,,,,,
1998,ME,Representative,All,124834,280537,,,,,,,,9182,,,
1998,MD,Representative,All,668983,802081,,,,,,,,,,,10
1998,MA,Representative,All,412508,1306281,6544,2887,,,,,,,4854,,8679
1998,MI,Representative,All,1438283,1469111,,51589,4654,20705,,,,,,,891
1998,MN,Representative,All,862972,1090488,,26607,27456,,,,,,5106,24747,2227
1998,MS,Representative,All,232415,262635,,52583,1762,498,,,,801,,,
1998,MO,Representative,All,748432,787655,,32304,2144,,,,,1532,,,50
1998,MT,Representative,All,175748,147073,,5652,3078,,,,,,,,
1998,NE,Representative,All,392736,104548,,27278,,,,,,,,,1397
1998,NV,Representative,All,275163,79315,,23853,,7841,,,23673,,,,
1998,NH,Representative,All,190170,124000,,3338,,,,,,,,,
1998,NJ,Representative,All,858367,902374,54748,,,,,,,,,,
1998,NM,Representative,All,246127,228084,,,,,,23673,,,,,110
1998,NY,Representative,All,1608117,2179943,,,,,72926,,,,,406374,
1998,NC,Representative,All,1012010,827078,,62678,,,,,,,,,
1998,ND,Representative,All,87511,119668,5709,,,,,,,,,,
1998,OH,Representative,All,1752443,1593873,19473,9146,,,,,,,,,6
1998,OK,Representative,All,538194,314358,6096,,,,,,,,,,
1998,OR,Representative,All,401501,631246,,28856,,2284,,,,,,22905,3565
1998,PA,Representative,All,1472161,1380834,,10112,6227,1022,,17734,,,,6506,1316
1998,RI,Representative,All,76630,203705,1397,,11079,,,,,,,,137
1998,SC,Representative,All,580051,370381,,,804,21111,,,,,,950,998
1998,SD,Representative,All,194157,64433,,,,,,,,,,,
1998,TN,Representative,All,469551,412378,30856,,,,,,,,,,796
1998,TX,Representative,All,1786731,1531234,6795,136688,,,,,,,,,437
1998,UT,Representative,All,304256,126505,3998,14013,,524,,,21533,,,,20
1998,VT,Representative,All,70740,,136403,2097,,,,,,,,5617,276
1998,VA,Representative,All,542216,514435,80786,,,,,,,,,,11424
1998,WA,Representative,All,818552,980157,,,30908,,,,,,4921,23510,
1998,WV,Representative,All,29136,283272,,38869,,,,,,,,,
1998,WI,Representative,All,880320,761821,16419,,,,,,,11267,,,3648
1998,WY,Representative,All,110687,67399,,6133,,,,,,,,,
