Year,State,Race,Division,Republican,Democrat,Ind.,Libertar.,Nat. Law,Green,Independence,Reform,Constitution,Other,Write-In,Soc.,Work. World,Soc. Work.
2000,AL,President,All,941173,682611,25896,5893,,,,,,,699,,,
2000,AK,President,All,167398,79004,,2636,919,28747,,5192,596,,1068,,,
2000,AZ,President,All,781652,685341,,5775,1120,45645,,12373,,,110,,,
2000,AR,President,All,472940,422768,,2781,1098,13421,,7358,1415,,,,,
2000,CA,President,All,4567429,5861203,,45520,10934,418707,,44987,17042,,,,,
2000,CO,President,All,883748,738227,,12799,2240,91434,,10461,1319,208,,712,,216
2000,CT,President,All,561094,816015,,3484,,64452,,4731,9695,,54,,,
2000,DC,President,All,18073,171923,,669,,10576,,,,,539,,,114
2000,DE,President,All,137288,180068,,774,107,8307,,777,208,,,,,
2000,FL,President,All,2912790,2912253,,16415,2281,97488,,17484,1371,,40,622,1804,562
2000,GA,President,All,1419720,1116230,10926,36332,,,,,,,,,,
2000,HI,President,All,137845,205286,,1477,306,21623,,1071,343,,,,,
2000,ID,President,All,336937,138637,,3488,1177,,,7615,1469,,12292,,,
2000,IL,President,All,2019421,2589026,16106,11623,2127,103759,,,,,46,,,
2000,IN,President,All,1245836,901980,16959,15530,,,,,,,18997,,,
2000,IA,President,All,634373,638517,37459,3209,,29374,,5731,613,,3449,107,,190
2000,KS,President,All,622332,399276,37459,4525,,,,7370,1254,,,,,
2000,KY,President,All,872520,638923,,2885,1513,23118,,4152,915,,80,,,
2000,LA,President,All,927871,792344,,2951,1075,20473,,14356,5483,,,,,1103
2000,ME,President,All,286616,319951,,3074,,37127,,4443,579,,27,,,
2000,MD,President,All,813827,1144008,,5310,,53768,,4248,918,,3133,,,
2000,MA,President,All,878502,1616487,,16366,,173564,,11149,,,37938,,,
2000,MI,President,All,1953139,2170418,,16711,2426,84165,,,3791,,1851,,,
2000,MN,President,All,1109659,1168266,,5282,2294,126696,,22166,3272,,28,,,1022
2000,MS,President,All,572844,404614,8735,2009,450,,,2265,3267,,,,,
2000,MO,President,All,1189924,1111138,,7436,1104,38515,,9818,1957,,,,,
2000,MT,President,All,240178,137126,,1718,675,24437,,5697,1155,,,,,
2000,NE,President,All,433862,231780,,2245,478,24540,,,,,1411,,,
