Year,State,Race,Division,Rep.,Dem.,Ind.,Libertar.,Reform,Green,Constit.,Independence,Nat. Law,Other,Write-In
2002,AL,Senator,All,792561,538878,,20234,,,,,,,1350
2002,AK,Senator,All,179438,24133,,2354,,16608,,6724,,,291
2002,AR,Senator,All,370735,433386,,,,,,,,,
2002,CO,Senator,All,717893,648130,,20776,,,21547,,,7140,596
2002,DE,Senator,All,94793,135253,,922,,,,,350,996,
2002,GA,Senator,All,1071352,932422,,27830,,,,,,,
2002,ID,Senator,All,266215,132975,,9354,,,,,,,
2002,IL,Senator,All,1325703,2103766,,57382,,,,,,,
2002,IA,Senator,All,447892,554278,,8864,,11340,,,,,701
2002,KS,Senator,All,641075,,,70725,65050,,,,,,
2002,KY,Senator,All,731679,399634,,,,,,,,,
2002,LA,Senator,All,596642,638654,,,,,,,,,
2002,ME,Senator,All,295041,209858,,,,,,,,,
2002,MA,Senator,All,,1605976,,369807,,,,,,,
2002,MI,Senator,All,1185545,1896614,,,12831,23931,,,10366,,
2002,MN,Senator,All,1116697,1078627,,,,10119,2254,45139,,,1803
2002,MS,Senator,All,533269,,,,97226,,,,,,
2002,MT,Senator,All,103611,204853,,10240,,7653,,,,,
2002,NE,Senator,All,397438,70290,5066,7423,,,,,,,
2002,NH,Senator,All,227229,207478,,9835,,,,,,,2593
2002,NJ,Senator,All,928439,1138193,,,,,,,,45972,
2002,NM,Senator,All,314193,168863,,,,,,,,,
2002,NC,Senator,All,1248664,1047983,,33807,,,,,,,727
2002,OK,Senator,All,583579,369789,65056,,,,,,,,
2002,OR,Senator,All,712287,501898,,29979,,,21703,,,,1354
2002,RI,Senator,All,69808,253774,,,,,,,,,
2002,SC,Senator,All,600010,487359,,6684,,,8228,,,,667
2002,SD,Senator,All,166949,167481,,3071,,,,,,,
2002,TN,Senator,All,891498,728232,22346,,,,,,,,356
2002,TX,Senator,All,2496243,1955758,,35538,,25051,,,,,1422
2002,VA,Senator,All,1229894,,251157,,,,,,,,8371
2002,WV,Senator,All,160902,275281,,,,,,,,,
2002,WY,Senator,All,133710,49570,,,,,,,,,
2002,AL,Representative,All,694606,507117,,64839,,,,,,,2240
2002,AK,Representative,All,169685,39357,,3797,,14435,,,,,451
2002,AZ,Representative,All,681922,472135,,40308,,,,,,,35
2002,AR,Representative,All,283739,392086,,,,,,,,,12451
2002,CA,Representative,All,3225666,3731081,,260083,4726,20674,,,4860,9325,2002
2002,CO,Representative,All,752998,589463,,38831,3133,6483,2427,,3520,,233
2002,CT,Representative,All,465982,509036,,1503,,9050,,,,3709,29
2002,DE,Representative,All,164605,61011,,2789,,,,,,,
2002,FL,Representative,All,2161349,1537124,,,,,47169,,,,20916
2002,GA,Representative,All,1104622,814295,,,,,,,,,
2002,HI,Representative,All,116693,232344,,8747,,,,,2200,,
2002,ID,Representative,All,256348,138038,,10637,,,,,,,
2002,IL,Representative,All,1657183,1740541,,23551,,7836,,,,,25
2002,IN,Representative,All,840694,640568,,37270,,2745,,,,,76
2002,IA,Representative,All,546382,453550,,9819,,,,,,2113,758
2002,KS,Representative,All,536026,259911,,28907,5046,,,,,,
2002,KY,Representative,All,693860,350924,41753,7705,,,,,,,
2002,LA,Representative,All,667702,390644,,,,,,,,,81817
2002,ME,Representative,All,205780,289514,,,,,,,,,
2002,MD,Representative,All,752911,904250,,,,,,,,1919,33
2002,MA,Representative,All,290484,1528634,,11729,,,,,,,
2002,MI,Representative,All,1474178,1507174,,51983,3912,12939,,,,5613,98
2002,MN,Representative,All,1029612,1097911,,,,37708,,21484,,12430,2493
2002,MS,Representative,All,338817,320157,2380,6439,9843,,,,,,
2002,MO,Representative,All,985905,829177,,34217,,4262,,,,,2
2002,MT,Representative,All,214100,108233,,8988,,,,,,,
2002,NE,Representative,All,386869,46843,,,,36866,,3236,,,
2002,NV,Representative,All,301100,171160,6842,6834,,1393,,,784,13740,
2002,NH,Representative,All,254797,175905,,12438,,,,,,,303
2002,NJ,Representative,All,933964,1030204,,,,,,,,41891,
2002,NM,Representative,All,175342,262071,,,,,,,,82,
2002,NY,Representative,All,1525771,1777688,5272,3194,,35506,,123502,,356717,
2002,NC,Representative,All,1209033,970716,,64400,,,,,,,
2002,ND,Representative,All,109957,121073,,,,,,,,,
2002,OH,Representative,All,1775555,1331614,50841,,,,,,,,13
2002,OK,Representative,All,546832,391327,63093,,,,,,,,
2002,OR,Representative,All,528997,676920,,22626,,,3495,,,6588,1689
2002,PA,Representative,All,1859270,1348665,,24086,3304,63357,10393,,,,1238
2002,RI,Representative,All,97137,224676,4318,,,,,,,2327,285
2002,SC,Representative,All,569267,344972,,25110,,,8930,,7141,28203,792
2002,SD,Representative,All,180023,153551,,3117,,,,,,,
2002,TN,Representative,All,770510,708375,48450,,,,,,,,2055
2002,TX,Representative,All,2290723,1885178,1716,107141,,10394,,,,,58
2002,UT,Representative,All,321986,221401,,7133,,6616,,,,,17
2002,VT,Representative,All,72813,,144880,2033,,,,,,5529,
2002,VA,Representative,All,955673,440478,4558,,,20589,26892,,,,68292
2002,WA,Representative,All,778922,907440,,48677,,4077,,,,,
2002,WV,Representative,All,135505,264124,,,,,,,,,320
2002,WI,Representative,All,889146,676925,29567,11080,,25662,,,,,5166
2002,WY,Representative,All,110229,65961,,5962,,,,,,,
