Year,State,Race,Division,Republican,Democrat,Ind.,Libertar.,Green,Independence,Work. Fam.,Constit.,Reform,Soc.,Other,Scattering,Populist,Better Life,Write-In,Prohib.,Work. World,Soc. Equ.,Soc. Work.
2004,AL,President,All,1176394,693933,12190,,,,,,,,,898,,,,,,,
2004,AK,President,All,190889,111025,,1675,1058,2092,,,,,,790,5069,,,,,,
2004,AZ,President,All,1104294,893524,,11856,,,,,,,,2911,,,,,,,
2004,AR,President,All,572898,469953,,2352,1488,,,2083,,,,,6171,,,,,,
2004,CA,President,All,5509826,6745485,,50165,40771,,,26645,,,27607,20854,,,,,,,
2004,CO,President,All,1101255,1001732,,7664,1591,,,2562,12718,216,378,804,,,,140,,329,241
2004,CT,President,All,693826,857488,,3367,9564,,,,,,1555,12969,,,,,,,
2004,DC,President,All,21256,202970,1485,502,737,,,,,,,506,,,,,,,130
2004,DE,President,All,171660,200152,2153,586,250,,,289,,,100,,,,,,,,
2004,FL,President,All,3964522,3583544,,11996,3917,,,6626,32971,3502,,,,,,,,,2732
2004,GA,President,All,1914254,1366149,,18387,,,,,,,,3085,,,,,,,
2004,HI,President,All,194191,231708,,1377,1737,,,,,,,,,,,,,,
2004,ID,President,All,409235,181098,,3844,,,,3084,,,,,,,1115,,,,
2004,IL,President,All,2345946,2891550,,32442,,,,,,,,4384,,,,,,,
2004,IN,President,All,1479438,969011,,18058,,,,,,,,1495,,,,,,,
2004,IA,President,All,751957,741898,,2992,1141,,,1304,,,,7243,,,,,,,373
2004,KS,President,All,736456,434993,2899,4013,,,,,9348,,,47,,,,,,,
2004,KY,President,All,1096439,712733,8856,2619,,,,2213,,,,22,,,,,,,
2004,LA,President,All,1102169,820299,,2781,1276,,,5203,,985,1795,,,7032,,1566,,,
2004,ME,President,All,330201,396842,,1965,2936,,,735,,,,4,,8069,,,,,
2004,MD,President,All,1024703,1334493,,6094,3632,,,3421,,,7,34,11854,,,,,,
2004,MA,President,All,1071109,1803800,,15022,10632,,,,,,,22095,,,4806,,,,
2004,MI,President,All,2313746,2479183,,10552,5325,,,4980,,,1431,24035,,,,,,,
2004,MN,President,All,1346695,1445014,,4639,4408,,,21757,,,2387,2532,,,,,,539,416
2004,MS,President,All,672660,457766,1599,1793,1073,,,1758,3175,,,,,,,,,,
2004,MO,President,All,1455713,1259171,,9831,,,,5355,,,,,,,1294,,,,
2004,MT,President,All,266063,173710,6168,1733,996,,,1764,,,,,,,,,,,
2004,NE,President,All,512814,254328,,2041,978,,,,,,1314,6711,,,,,,,
2004,NV,President,All,418690,397190,4838,3176,853,,,,,,1152,3688,,,,,,,
2004,NH,President,All,331237,340511,4479,,,,,,,,,2060,,,,,,,
2004,NJ,President,All,1670003,1911430,30258,,,,,,,,,,,,,,,,
2004,NM,President,All,376930,370942,4053,2382,1226,,,771,,,,,,,,,,,
2004,NY,President,All,2806993,4180755,,11607,,,,,,,388972,,,,,,,,2405
2004,NC,President,All,1961166,1525849,,11731,,,,,,,2261,,,,,,,,
2004,ND,President,All,196651,111052,3756,851,,,,514,,,,9,,,,,,,
2004,OH,President,All,2859764,2741165,,,,,,,,,,26974,,,,,,,
2004,OK,President,All,959792,503966,,,,,,,,,,,,,,,,,
2004,OR,President,All,866831,943163,,7260,5315,,,5257,,,,8956,,,,,,,
2004,PA,President,All,2793847,2938095,,21185,6319,,,6318,,,2656,1170,,,,,,,
2004,RI,President,All,169046,259760,,907,1333,,,339,,,4651,845,,,,,253,,
2004,SC,President,All,937974,661699,,3608,1488,5520,,5317,,,2124,,,,,,,,
2004,SD,President,All,232584,149244,4320,964,,,,1103,,,,,,,,,,,
2004,TN,President,All,1384375,1036477,16428,,,,,,,,,39,,,,,,,
2004,TX,President,All,4526917,2832704,,38787,,,,,,,,12341,,,,,,,
2004,UT,President,All,663742,241199,,3375,,,,6841,,,12251,43,,,,,,,393
2004,VT,President,All,121180,184067,4494,1102,,,,,,,265,957,,,,,,,244
2004,VA,President,All,1716959,1454742,,11032,,,,10161,,,,2521,,,,,,,
