Year,State,Race,Division,Democrat,Republican,Ind.,Libertar.,Green,Independence,Constit.,Soc. Work.,Other,Write-In,Conserv.,Reform
2006,AZ,Senator,All,664141,814398,,48231,,,,,,12,,
2006,CA,Senator,All,5076289,2990822,75350,133851,147074,,,,117764,326,,
2006,CT,Senator,All,450844,109198,,,5922,,,,568733,80,,
2006,DE,Senator,All,170567,69734,,2671,,,,,,,,
2006,FL,Senator,All,2890548,1826127,,,,,,,,76859,,
2006,HI,Senator,All,210330,126097,,6415,,,,,,,,
2006,IN,Senator,All,,1171553,444,168820,,,,,,294,,
2006,ME,Senator,All,113131,405596,26222,,,,,,,179,,
2006,MD,Senator,All,965597,787182,,,27564,,,,,796,,
2006,MA,Senator,All,1500738,661532,,,,,,,,3220,,
2006,MI,Senator,All,2151278,1559597,,27012,23890,,,,18341,24,,
2006,MN,Senator,All,1278849,835653,,,10714,71194,5408,,,954,,
2006,MS,Senator,All,213000,388399,,9522,,,,,,,,
2006,MO,Senator,All,1055255,1006941,,47792,,,,,18383,88,,
2006,MT,Senator,All,199845,196283,,10377,,,,,,,,
2006,NE,Senator,All,378388,213928,,,,,,,,,,
2006,NV,Senator,All,238796,322501,7774,5269,,,,,,8232,,
2006,NJ,Senator,All,58333,41998,,345,,,,90,1207,,,
2006,NM,Senator,All,394365,164185,,,,,,,,,,
2006,NY,Senator,All,2698931,1212902,,20996,55469,160705,,6967,334083,,,
2006,ND,Senator,All,150146,64417,3589,,,,,,,,,
2006,OH,Senator,All,2257369,1761037,,,,,,,,830,,
2006,PA,Senator,All,2392984,1684778,,,,,,,,3281,,
2006,RI,Senator,All,206043,178950,,,,,,,,,,
2006,TN,Senator,All,879976,929911,23808,,,,,,,,,
2006,TX,Senator,All,1555202,2661789,,97672,,,,,,,,
2006,UT,Senator,All,177459,356238,,4428,2512,,21526,,9089,,,
2006,VT,Senator,All,,84924,173373,,1536,,,,2319,267,,
2006,VA,Senator,All,1175606,1166277,26102,,,,,,,2460,,
2006,WA,Senator,All,1184659,832106,16384,29331,21254,,,,,,,
2006,WV,Senator,All,159154,47408,,,,,,,,,,
2006,WI,Senator,All,1439214,630299,25096,,,,,,42434,1254,,
2006,WY,Senator,All,57671,135174,,,,,,,3079,291,,
2006,AL,Representative,All,502046,627501,3414,,,,,,,7191,,
2006,AK,Representative,All,93879,132743,,4029,1819,,,,1615,560,,
2006,AZ,Representative,All,627259,771246,4408,90214,,,,,,23,,
2006,AR,Representative,All,456569,306442,,,,,,,,,,
2006,CA,Representative,All,4720164,3314398,11694,170711,48445,,,,27467,2904,,
2006,CO,Representative,All,832902,623858,,13535,38872,,2605,,2,1,,27133
2006,CT,Representative,All,648653,419895,,3058,3090,,,,,43,,
2006,DE,Representative,All,97565,143897,5769,,4463,,,,,,,
2006,FL,Representative,All,1599968,2182833,,,,,,,,69141,,
2006,GA,Representative,All,932143,1138148,,,,,,,,,,
2006,HI,Representative,All,219810,118134,,,,,,,,,,
2006,ID,Representative,All,117376,248105,11970,,,,4973,,2882,,,
2006,IL,Representative,All,1986431,1442526,,5748,,,,,,17876,,
2006,IN,Representative,All,812496,831818,5284,17324,,,,,,,,
2006,IA,Representative,All,492937,522388,,,,,,3591,2201,11864,,
2006,KS,Representative,All,369191,459267,,,,,,,,,,16669
2006,KY,Representative,All,601723,611780,,39249,,,774,,,,,
2006,LA,Representative,All,309279,579702,,25772,,,,,,1262,,
2006,ME,Representative,All,350721,163165,22029,,,,,,,,,
2006,MD,Representative,All,1099441,546862,,4941,42857,,635,,,6466,,
2006,MA,Representative,All,1632307,198550,16808,,,,,12449,48574,14969,,
2006,MI,Representative,All,1923485,1624865,,45435,25047,,,,23102,4492,,
2006,MN,Representative,All,1152621,924636,,,4792,85815,3303,,5508,2299,,
2006,MS,Representative,All,260330,304308,25999,,,,,,,,,10060
2006,MO,Representative,All,992258,1049346,,47213,,,,,8452,53,,
2006,MT,Representative,All,158916,239124,,8085,,,,,,,,
2006,NE,Representative,All,261910,334177,,,,,,,,,,
2006,NV,Representative,All,287879,260317,18631,8000,,,,,,,,
2006,NH,Representative,All,209434,189615,,3305,,,,,,315,,
2006,NJ,Representative,All,1207782,903176,2597,6333,3071,,842,1049,11990,,,
2006,NM,Representative,All,313259,247825,,,,,,,,,,
2006,NY,Representative,All,2537778,1160460,,2805,,135027,,,161142,,143166,
2006,NC,Representative,All,1026915,913893,,,,,,,,,,
2006,ND,Representative,All,142934,74687,,,,,,,,,,
2006,OH,Representative,All,2081737,1870390,,,,,,,8500,568,,
2006,OK,Representative,All,372888,518025,14281,,,,,,,,,
2006,OR,Representative,All,765853,557491,,4497,4194,,22726,,,2673,,
2006,PA,Representative,All,2229091,1732163,7958,,33287,,8706,,,2183,,
2006,RI,Representative,All,264949,41836,66363,,,,,,,,,
2006,SC,Representative,All,472719,599615,,4467,8847,,,,,558,,
2006,SD,Representative,All,230468,97864,,5230,,,,,,,,
2006,TN,Representative,All,860861,799547,55018,,,,,,,,,
2006,TX,Representative,All,1830586,2093937,12504,131729,,,,,,62652,9383,
2006,UT,Representative,All,244483,292235,,6167,3338,,23467,,,,,
2006,VT,Representative,All,139815,117023,1976,,994,,,,2710,208,,
2006,VA,Representative,All,947103,1222790,115711,2107,,,,,,9525,,
2006,WA,Representative,All,1244095,798005,11956,,,,,,,,,
2006,WV,Representative,All,263822,190893,,,,,,,,98,,
2006,WI,Representative,All,1003156,1040071,3525,,11823,,,,,4838,,
2006,WY,Representative,All,92324,93336,,7481,,,,,2846,228,,
