Year,State,Race,Division,Democrat,Republican,Ind.,Libertar.,Green,Independence,Work. Fam.,Constit.,Other,Scattering,Write-In,Soc. Work.,Soc. Lib.,Soc.,Reform,Prohib.
2008,AL,President,All,813479,1266546,6788,4991,,,,4310,,3705,,,,,,
2008,AK,President,All,123594,193841,3783,1589,,,,,1660,1730,,,,,,
2008,AZ,President,All,1034707,1230111,11301,12555,3406,,,,,1395,,,,,,
2008,AR,President,All,422310,638017,12882,4776,3470,,,4023,,,,,1139,,,
2008,CA,President,All,8274473,5011781,108381,67582,38774,,,,,40673,20236,,,,,
2008,CO,President,All,1288576,1073589,13350,10897,2822,,,6233,1392,3879,,154,158,226,,85
2008,CT,President,All,997772,629428,19162,,,,,,,430,,,,,,
2008,DC,President,All,245800,17367,958,,590,,,,,1138,,,,,,
2008,DE,President,All,255459,152374,2401,1109,385,,,626,,,,58,,,,
2008,FL,President,All,4282074,4045624,28124,17218,2887,,,7915,1214,2941,,533,1516,405,,293
2008,GA,President,All,1844123,2048759,1158,28731,,,,,,1715,,,,,,
2008,HI,President,All,325871,120566,3825,1314,979,,,1013,,2496,,,,,,
2008,ID,President,All,236440,403012,7175,3658,,,,4747,,90,,,,,,
2008,IL,President,All,3419348,2031179,30948,19642,11838,,,8256,1149,11,,,,,,
2008,IN,President,All,1374039,1345648,909,29257,,,,,,1201,,,,,,
2008,IA,President,All,828940,682379,8014,4590,1423,,,4445,,6737,,292,121,182,,
2008,KS,President,All,514765,699655,10598,6706,,,,,,,,,,,4148,
2008,KY,President,All,751985,1048462,15378,5989,,,,4694,,112,,,,,,
2008,LA,President,All,782989,1148275,6997,,9187,,,2581,9368,,,735,354,,,275
2008,ME,President,All,421923,295273,10636,,2900,,,,,431,,,,,,
2008,MD,President,All,1629467,959862,14713,9842,4747,,,3760,,9205,,,,,,
2008,MA,President,All,1904097,1108854,28841,13189,6550,,,4971,14483,22010,,,,,,
2008,MI,President,All,2872579,2048639,33085,23716,8892,,,14685,,,,,,,,
2008,MN,President,All,1573354,1275409,30152,9174,5174,,,6787,,9529,,790,,,,
