Year,State,Race,Division,Rep.,Dem.,Ind.,Libertar.,Green,Independence,Constit.,Reform,Other,Write-In
2010,AL,Senator,All,968181,515619,,,,,,,,1699
2010,AK,Senator,All,90839,60045,,1459,,,,,,103160
2010,AZ,Senator,All,1005615,592011,,80097,24603,,,,,6158
2010,AR,Senator,All,451618,288156,25234,,14430,,,,,519
2010,CA,Senator,All,4217366,5218441,,175242,128510,,,,260534,67
2010,CO,Senator,All,822731,851590,,22589,38768,,,,19415,17193
2010,CT,Senator,All,498341,605204,11275,,,,,,37571,724
2010,DE,Senator,All,123053,174012,,2101,,,,,8201,35
2010,FL,Senator,All,2645743,1092936,,24850,,,,,4792,1642785
2010,GA,Senator,All,1489904,996516,,68750,,,,,,88
2010,HI,Senator,All,79939,277228,,2957,7762,,,,,2697
2010,ID,Senator,All,319953,112057,,,,,17429,,,91
2010,IL,Senator,All,1778698,1719478,,87247,117914,,,,,1136
2010,IN,Senator,All,952116,697775,,94330,,,,,,260
2010,IA,Senator,All,718215,371686,,25290,,,,,,872
2010,KS,Senator,All,587175,220971,,17922,,,,11624,,
2010,KY,Senator,All,755706,600052,,,,,,,,338
2010,LA,Senator,All,715415,476572,,13957,,,,5879,,53171
2010,MD,Senator,All,655666,1140531,,,20717,,14746,,,2198
2010,MO,Senator,All,1054160,789736,,58663,,,41309,,,31
2010,NV,Senator,All,321361,362785,12065,,,,,,8996,16197
2010,NH,Senator,All,273218,167545,9194,4753,,,,,,
2010,NY,Senator,All,1239605,3047880,,,42341,,,,265689,
2010,NC,Senator,All,1458046,1145074,,55687,,,,,,1272
2010,ND,Senator,All,181689,,,3890,,,,,52955,
2010,OH,Senator,All,2168742,1503297,50101,,,,65856,,26454,648
2010,OK,Senator,All,718482,265814,32855,,,,,,,
2010,OR,Senator,All,566199,825507,,16028,,,,,33406,1448
2010,PA,Senator,All,2028945,1948716,,,,,,,,
2010,SC,Senator,All,810771,364598,,,121472,,,,,21953
2010,SD,Senator,All,227947,,,,,,,,,
2010,UT,Senator,All,360403,191732,,,,,33095,,,
2010,VT,Senator,All,72699,151281,6921,,,,,,4164,113
2010,WA,Senator,All,1196164,1314930,,,,,,,,
2010,WI,Senator,All,1125999,1020958,,,,,,,23473,901
2010,AL,Representative,All,914445,418957,,,,,26357,,,7988
2010,AK,Representative,All,175384,77606,,,,,,,,1345
2010,AZ,Representative,All,900510,711837,4506,72216,9066,,,,,10
2010,AR,Representative,All,435422,317975,4421,,16048,,,,,259
2010,CA,Representative,All,4195494,5148828,23628,142363,46626,,,,87621,3536
2010,CO,Representative,All,884032,800900,,38864,2923,,,,27419,9014
2010,CT,Representative,All,457976,634947,2310,,8892,,,,33991,86
2010,DE,Representative,All,125442,173543,,1986,,,,,3704,961
2010,FL,Representative,All,3004225,1853600,,,,,,,38750,220845
2010,GA,Representative,All,1528142,940347,,,,,,,,191
2010,HI,Representative,All,129127,226430,,3254,,,,,,1310
2010,ID,Representative,All,263699,150884,27865,4696,,,,,,
2010,IL,Representative,All,1720016,1876316,4428,,95348,,,,,51
2010,IN,Representative,All,972671,679462,11218,84289,,,,,,80
2010,IA,Representative,All,597414,479874,,8443,,,2463,,6258,12139
2010,KS,Representative,All,528136,274992,,27360,,,,5041,,
2010,KY,Representative,All,844369,506319,1334,2029,,,,,,247
2010,LA,Representative,All,675386,311221,,,,,,,,49340
2010,ME,Representative,All,248170,316156,,,,,,,,42
2010,MD,Representative,All,674246,1104056,,37099,,,8237,,,1834
2010,MA,Representative,All,808305,1335738,63435,,,,,,12335,4442
2010,MI,Representative,All,1671707,1415212,,43279,25739,,,,27682,11282
2010,MN,Representative,All,970741,1002026,23355,,,84816,2492,,2468,4693
2010,MS,Representative,All,423579,350695,6560,2188,,,1235,4292,,
2010,MO,Representative,All,1103290,708064,7193,92485,,,8759,,,884
2010,MT,Representative,All,217696,121954,,20691,,,,,,
2010,NE,Representative,All,327986,137524,,,,,,,,20036
2010,NV,Representative,All,357369,317835,6473,6144,,,,,14967,
2010,NH,Representative,All,230265,200563,6197,12762,,,,,,
2010,NJ,Representative,All,1055299,1024730,3006,8536,7494,,4120,,18399,
2010,NM,Representative,All,288885,307766,,,,,,,,
2010,NY,Representative,All,1612724,2514801,,929,1038,34210,1256,,330726,
2010,NC,Representative,All,1440913,1204635,,16562,,,,,,439
2010,ND,Representative,All,129802,106542,,,,,,,,
2010,OH,Representative,All,2053075,1611112,30556,101549,2000,,26722,,,260
2010,OK,Representative,All,519562,221966,51451,,,,,,,
2010,OR,Representative,All,657007,733369,,2492,,,3855,,30304,2329
2010,PA,Representative,All,2034145,1882202,10988,5710,5400,,,,17956,
2010,RI,Representative,All,126951,185711,22342,,,,,,,480
2010,SC,Representative,All,753932,537323,,9988,7322,2489,16597,,11759,779
2010,SD,Representative,All,153703,146589,19134,,,,,,,
2010,TN,Representative,All,955078,541527,62515,,,,,,,9
2010,TX,Representative,All,3058203,1450150,20868,212100,2868,,,,,1356
2010,UT,Representative,All,390969,218236,,7252,,,18317,,,5721
2010,VT,Representative,All,76403,154006,4704,,,,,,3222,186
2010,VA,Representative,All,1186098,911116,42002,23681,,,,,21374,5570
2010,WA,Representative,All,1135166,1296502,47741,,,,,,,
2010,WV,Representative,All,283085,227857,,,,,3431,,,
2010,WI,Representative,All,1165761,938690,10813,4311,,,,,19200,1707
2010,WY,Representative,All,131661,45768,,9253,,,,,,4140
