Year,State,Race,Division,Republican,Democrat,Ind.,Libertar.,Green,Work. Fam.,Independence,Reform,Constit.,Other,Write-In,Soc. Lib.,Soc.,Soc. Work.
2012,AL,President,All,1255925,795696,18706,,,,,,,,4011,,,
2012,AK,President,All,164676,122640,,7692,2917,,,,,,2870,,,
2012,AZ,President,All,1233654,1025232,,32100,7816,,,,,,452,,,
2012,AR,President,All,647744,394409,,16276,9305,,,,,,,1734,,
2012,CA,President,All,4839958,7854285,,143221,85638,,,,,92196,23249,,,
2012,CO,President,All,1185243,1323101,,35545,7508,,,,,17302,,317,308,192
2012,CT,President,All,634892,905083,4971,12340,,,,,,,918,,,
2012,DC,President,All,21381,267070,,2083,2458,,,,,,772,,,
2012,DE,President,All,165484,242584,,3882,1940,,,,,,,,,
2012,FL,President,All,4163447,4237756,,44726,8947,,,820,2607,14710,45,322,799,
2012,GA,President,All,2078688,1773827,,45324,,,,,,,,,,
2012,HI,President,All,121015,306658,,3840,3184,,,,,,2462,,,
2012,ID,President,All,420911,212787,6901,9453,,,,,2222,,,,,
2012,IL,President,All,2135216,3019512,,56229,30222,,,,,,835,,,
2012,IN,President,All,1420543,1152887,,50111,,,,,,,993,,,
2012,IA,President,All,730617,822544,,12926,3769,,,,3038,1399,7442,,,445
2012,KS,President,All,692634,440726,,20456,,,,5017,,,1138,,,
2012,KY,President,All,1087190,679370,6872,17063,6337,,,,,,380,,,
2012,LA,President,All,1152262,809141,,18157,6978,,,,2508,4008,,622,,389
2012,ME,President,All,292276,401306,,9352,,,,,,8119,13705,,,
2012,MD,President,All,971869,1677844,,30195,17110,,,,,,10309,,,
2012,MA,President,All,1188314,1921290,,30920,,,,,,27243,16429,,,
2012,MI,President,All,2115256,2564569,,,21897,,,,,21266,7973,,,
2012,MN,President,All,1320225,1546167,,35098,13023,,,,3722,6237,10641,397,,1051
2012,MS,President,All,710746,562949,,,6676,,,,1588,,,2609,1016,
2012,MO,President,All,1482440,1223796,,43151,,,,,7936,,,,,
2012,MT,President,All,267928,201839,,14165,,,,,,,116,,,
2012,NE,President,All,475064,302081,,11109,,,,,,2408,3717,,,
2012,NV,President,All,463567,531373,,10968,,,,,,9010,,,,
2012,NH,President,All,329918,369561,,8212,,,,,708,,2573,,,
2012,NJ,President,All,1478088,2122786,,21035,9886,,,,2063,3411,,521,,709
2012,NM,President,All,335788,415335,,27788,2691,,,,982,1174,,,,
2012,NY,President,All,2223397,4324228,,47092,39856,,,,6270,409678,343,2039,,
2012,NC,President,All,2270395,2178391,,44515,,,,,,,12071,,,
2012,ND,President,All,188320,124966,,5238,1362,,,,1186,,1860,,,
2012,OH,President,All,2661407,2827621,12502,49493,18574,,,,8151,,107,,2967,
2012,OK,President,All,891325,443547,,,,,,,,,,,,
2012,OR,President,All,754175,970488,,24089,,,,,4432,22811,13275,,,
2012,PA,President,All,2680434,2990274,,49991,21341,,,,,,,,,
2012,RI,President,All,157204,279677,,4388,2421,,,,430,416,1381,132,,
2012,SC,President,All,1071645,865941,,16321,5446,,,,4765,,,,,
2012,SD,President,All,210610,145039,,5795,,,,,2371,,,,,
2012,TN,President,All,1462330,960709,23001,,6515,,,,6022,,,,,
2012,TX,President,All,4569843,3308124,,88580,24657,,,,,,2647,,,
2012,UT,President,All,740600,251813,,12572,3817,,,,2871,5728,39,,,
2012,VT,President,All,92698,199239,,3487,,,,,,1128,2043,695,,
2012,VA,President,All,1822522,1971820,,31216,8627,,,,13058,,7246,,,
