Year,State,Race,Division,Rep.,Dem.,Libertar.,Ind.,Green,Other,Write-In
2014,AL,Senator,All,795606,,,,,,22484
2014,AK,Senator,All,135445,129431,10512,5636,,,1376
2014,AR,Senator,All,478819,334174,17210,,16797,,505
2014,CO,Senator,All,983891,944203,52876,53623,,6427,38
2014,DE,Senator,All,98823,130655,,,4560,,
2014,GA,Senator,All,1358088,1160811,48862,,,,44
2014,ID,Senator,All,285596,151574,,,,,
2014,IL,Senator,All,1538522,1929637,135316,,,,44
2014,IA,Senator,All,588575,494370,8232,31539,,5873,1111
2014,KS,Senator,All,460350,,37469,368372,,,
2014,KY,Senator,All,806787,584698,44240,,,,143
2014,LA,Senator,All,929108,581041,13034,,,,
2014,ME,Senator,All,413505,190254,,,,13237,
2014,MA,Senator,All,791950,1289944,,,,104889,6
2014,MI,Senator,All,1290199,1704936,62897,,26137,37529,73
2014,MN,Senator,All,850227,1053205,29685,,,47530,881
2014,MS,Senator,All,378481,239439,,,,13938,
2014,MT,Senator,All,213709,148184,7933,,,,
2014,NE,Senator,All,347636,170127,,22128,,,446
2014,NH,Senator,All,235347,251184,,,,1628,
2014,NJ,Senator,All,791297,1043866,16721,8057,,9594,
2014,NM,Senator,All,229097,286409,,,,,
2014,NC,Senator,All,1423259,1377651,109100,,,,5271
2014,OK,Senator,All,558166,234307,,28260,,,
2014,OR,Senator,All,538847,814537,44916,,32434,30884,
2014,RI,Senator,All,92684,223675,,,,,539
2014,SC,Senator,All,672941,456726,33839,47588,,24207,4774
2014,SD,Senator,All,140741,82456,,56215,,,
2014,TN,Senator,All,850087,437848,,37467,12570,36088,5
2014,TX,Senator,All,2861531,1597387,133751,,54701,,988
2014,VA,Senator,All,1055940,1073667,53102,,,,1764
2014,WV,Senator,All,281820,156360,7409,,5504,2566,30
2014,WY,Senator,All,121554,29377,3677,13311,,2763,471
2014,AL,Representative,All,704533,331764,,39005,,,5578
2014,AK,Representative,All,142572,114602,21290,,,,1277
2014,AZ,Representative,All,817168,577943,23767,,,48420,305
2014,AR,Representative,All,509631,254774,66055,,,,192
2014,CA,Representative,All,2950679,4067737,,104813,,9192,
2014,CO,Representative,All,1000197,936417,33859,24546,5503,,3
2014,CT,Representative,All,409513,596390,2602,11046,5996,42305,5
2014,DE,Representative,All,85146,137251,4419,,4801,,
2014,FL,Representative,All,2713451,1230626,61989,91068,,,1421
2014,GA,Representative,All,1349076,956361,,,,,228
2014,HI,Representative,All,120084,235400,4693,,,9526,
2014,ID,Representative,All,275072,160078,,,,,7
2014,IL,Representative,All,1721865,1822779,,,23145,,213
2014,IN,Representative,All,788762,502104,50948,,,,
2014,IA,Representative,All,595865,509189,9054,4360,,,1866
2014,KS,Representative,All,540756,311530,9791,,,,
2014,KY,Representative,All,887157,508151,,2318,,,
2014,LA,Representative,All,1031270,406186,84942,44669,1655,,
2014,ME,Representative,All,228071,305242,,58747,,24936,
2014,MD,Representative,All,704400,978267,8898,,9088,,2384
2014,MA,Representative,All,308598,1475442,,10373,,392375,1
2014,MI,Representative,All,1466749,1519030,53711,12874,23088,12584,1441
2014,MN,Representative,All,913539,985760,,,11450,50836,1954
2014,MS,Representative,All,329169,230014,7303,44896,,14897,
2014,MO,Representative,All,838283,513600,63682,6821,,3799,118
2014,MT,Representative,All,203871,148690,15402,,,,
2014,NE,Representative,All,340816,185234,9021,,,,459
2014,NV,Representative,All,304809,210147,8302,2981,,16770,
2014,NH,Representative,All,232379,247469,,,,1072,
2014,NJ,Representative,All,877265,914172,4854,1083,890,23101,
2014,NM,Representative,All,240542,271222,,,,,121
2014,NY,Representative,All,1257412,1788105,,,34580,854608,
2014,NC,Representative,All,1555364,1234027,7850,,,,10757
2014,ND,Representative,All,138100,95678,14531,,,,361
2014,OH,Representative,All,1770923,1179587,23937,,15213,10257,244
2014,OK,Representative,All,457613,174022,,21778,,,
2014,OR,Representative,All,582909,778139,37959,11683,30132,9880,
2014,PA,Representative,All,1833205,1467594,,22734,,,
2014,RI,Representative,All,122721,192776,,,,,760
2014,SC,Representative,All,734456,377025,25145,,,9341,9815
2014,SD,Representative,All,183834,92485,,,,,
2014,TN,Representative,All,848846,448421,,55523,13902,4451,18
2014,TX,Representative,All,2684592,1474016,225178,7960,61699,,54
2014,UT,Representative,All,351034,183491,6198,5831,,19019,397
2014,VT,Representative,All,59432,123349,,4435,,4095,193
2014,VA,Representative,All,1143747,845939,47038,47274,1739,30662,18932
2014,WA,Representative,All,981853,1047747,,,,,
2014,WV,Representative,All,242823,182484,7682,6250,,,149
2014,WI,Representative,All,1233336,1102581,6865,7002,3686,1918,192
2014,WY,Representative,All,113038,37803,7112,,,12802,398
