Year,State,Race,Division,Rep.,Dem.,Libertar.,Ind.,Green,Constit.,Other,Write-In
2016,AL,President,All,1318255,729547,,53858,,,,21712
2016,AK,President,All,163387,116454,18725,1240,5735,3866,,9201
2016,AZ,President,All,1252401,1161167,106327,,34345,,,18925
2016,AR,President,All,684872,380494,29829,8099,9473,4613,13255,
2016,CA,President,All,4483810,8753788,478500,,278657,,66101,120739
2016,CO,President,All,1202484,1338870,144121,31485,38437,,24823,
2016,CT,President,All,673215,897572,48676,,22841,,,2616
2016,DC,President,All,12723,282830,4906,,4258,,1307,6551
2016,DE,President,All,185127,235603,14757,,6103,,,
2016,FL,President,All,4617886,4504975,207043,,64399,16475,9108,153
2016,GA,President,All,2089104,1877963,125306,,,,,22359
2016,HI,President,All,128847,266891,15954,,12737,4508,8727,
2016,ID,President,All,409055,189765,28331,60748,,2356,,
2016,IL,President,All,2146015,3090729,209596,,76802,,,13282
2016,IN,President,All,1557286,1033126,133993,,,,,10553
2016,IA,President,All,800983,653669,59186,12366,11479,5335,4816,17746
2016,KS,President,All,671018,427005,55406,23506,,,,7467
2016,KY,President,All,1202971,628854,53752,22780,13913,,1128,751
2016,LA,President,All,1178638,780154,37978,,14031,,18231,
2016,ME,President,All,335593,357735,38105,,14251,,26208,
2016,MD,President,All,943169,1677928,79605,,35945,,,44799
2016,MA,President,All,1090893,1995196,138018,,47661,,50488,2790
2016,MI,President,All,2279543,2268839,172136,,51463,,18348,8955
2016,MN,President,All,1322949,1367705,112972,,36986,9456,67467,27247
2016,MS,President,All,700714,485131,14435,,3731,3987,1359,
2016,MO,President,All,1594511,1071068,97359,,25419,13092,,7156
2016,MT,President,All,279240,177709,28037,,7970,,1570,
2016,NE,President,All,495961,284494,38946,8775,,,,16051
2016,NV,President,All,512058,539260,37384,2552,,,34131,
2016,NH,President,All,345790,348526,30777,,6496,,978,12029
2016,NJ,President,All,1601933,2148278,72477,,37772,6161,7425,
2016,NM,President,All,319667,385234,74541,,9879,1514,7484,
2016,NY,President,All,2527142,4379789,57442,,107934,,716961,12816
2016,NC,President,All,2362631,2189316,130126,,,,,59491
2016,ND,President,All,216794,93758,21434,,3780,1833,364,6397
2016,OH,President,All,2841005,2394164,,198733,46271,,,16314
2016,OK,President,All,949136,420375,83481,,,,,
2016,OR,President,All,782403,1022106,94231,,50002,,72594,
2016,PA,President,All,2970733,2926441,146715,,49941,21572,,
2016,RI,President,All,180543,252525,14746,,6220,,671,9439
2016,SC,President,All,1155389,855373,49204,,13034,5765,24262,
2016,SD,President,All,227721,117458,20850,,,4064,,
2016,TN,President,All,1522925,870695,,100618,,,,13789
2016,TX,President,All,4685047,3877868,283492,,71558,,,51261
2016,UT,President,All,515211,310674,39608,255060,,8032,2732,
2016,VT,President,All,95369,178573,10078,1063,6758,,5727,22899
2016,VA,President,All,1769443,1981473,118274,54054,27638,,,31870
2016,WA,President,All,1221747,1742718,160879,,58417,17623,7830,107805
2016,WV,President,All,489371,188794,23004,,8075,3807,,
2016,WI,President,All,1405284,1382536,106674,,31072,12162,26036,12386
2016,WY,President,All,174419,55973,13287,3224,,2042,2939,6904
2016,AL,Senator,All,1335104,748709,,,,,,3631
2016,AK,Senator,All,138149,36200,90825,45561,,,,706
2016,AZ,Senator,All,1359267,1031245,,,138634,,,1584
2016,AR,Senator,All,661984,400602,43866,,,,,1070
2016,CA,Senator,All,,12244170,,,,,,
