Year,State,Race,Division,Democrat,Republican,Libertar.,Ind.,Green,Constit.,Other,Write-In
2018,AZ,Senator,All,1191100,1135200,,,57442,,,566
2018,CA,Senator,All,11113364,,,,,,,
2018,CT,Senator,All,787685,545717,8838,,6618,,37894,88
2018,DE,Senator,All,217385,137127,3910,,4170,,,14
2018,FL,Senator,All,4089472,4099505,,,,,,1028
2018,HI,Senator,All,276316,112035,,,,,10306,
2018,IN,Senator,All,1023553,1158000,100942,,,,,70
2018,ME,Senator,All,66268,223502,,344575,,,11719,
2018,MD,Senator,All,1491614,697017,22943,85964,,,,2351
2018,MA,Senator,All,1633371,979210,,91710,,,2799,
2018,MI,Senator,All,2214478,1938818,,,40204,,43753,18
2018,MN,Senator,All,1566174,940437,,,,,89337,931
2018,MS,Senator,All,369567,547619,12981,,,,6048,
2018,MO,Senator,All,1112935,1254927,27316,34398,12706,,,7
2018,MT,Senator,All,253876,235963,14545,,,,,
2018,NE,Senator,All,269917,403151,25349,,,,,466
2018,NV,Senator,All,490071,441202,9196,24572,,,7091,
2018,NJ,Senator,All,1711654,1357355,21212,,25150,,53939,
2018,NM,Senator,All,376998,212813,107201,,,,,
2018,NY,Senator,All,3755489,1730439,,,,,570292,3872
2018,ND,Senator,All,144376,179720,,,,,,2042
2018,OH,Senator,All,2355923,2053963,,,,,,1012
2018,PA,Senator,All,2792437,2134848,50907,,31208,,,
2018,RI,Senator,All,231477,144421,,,,,,840
2018,TN,Senator,All,985450,1227483,,30807,,,,
2018,TX,Senator,All,4045632,4260553,65470,,,,,
2018,UT,Senator,All,328541,665215,27607,,,28774,12708,52
2018,VT,Senator,All,,74815,,196344,,,6777,294
2018,VA,Senator,All,1910370,1374313,61565,,,,,5125
2018,WA,Senator,All,1803364,1282804,,,,,,
2018,WV,Senator,All,290510,271113,24411,,,,,
2018,WI,Senator,All,1472914,1184885,,,,,,2964
2018,WY,Senator,All,61227,136210,5658,,,,1855,325
2018,AL,Representative,All,678687,975737,,,,,,5471
2018,AK,Representative,All,131199,149779,,,,,,1188
2018,AZ,Representative,All,1179193,1139251,,,22378,,,448
2018,AR,Representative,All,312978,556339,19625,,,,,216
2018,CA,Representative,All,8010445,3973396,,97202,103479,,,
2018,CO,Representative,All,1343211,1079772,58769,31794,,,,361
2018,CT,Representative,All,808652,512495,3305,8026,6624,,40689,17
2018,DE,Representative,All,227353,125384,,,,,,1077
2018,FL,Representative,All,3307228,3675417,,38550,,,,281
2018,GA,Representative,All,1814469,1987191,,,,,,683
2018,HI,Representative,All,287921,87348,3498,1351,2214,,16325,
2018,ID,Representative,All,207303,367993,5435,11721,,3181,,91
2018,IL,Representative,All,2757540,1754449,,17365,7935,,,2415
2018,IN,Representative,All,1000104,1247978,8030,,,,,37
2018,IA,Representative,All,664676,612338,29894,5100,1888,,2015,531
2018,KS,Representative,All,464380,563190,22752,,,,,
2018,KY,Representative,All,612977,935304,5938,15533,,,,46
2018,LA,Representative,All,553184,835715,8784,62910,,,,
2018,ME,Representative,All,343635,250119,,29670,,,7910,
2018,MD,Representative,All,1493047,737906,43005,,10261,,,2065
2018,MA,Representative,All,1943595,497953,,23881,,,19650,
2018,MI,Representative,All,2175003,1853459,12101,4727,26084,,82548,781
2018,MN,Representative,All,1420769,1125533,,,,,26517,4177
2018,MS,Representative,All,398770,471162,,48104,,,20867,
2018,MO,Representative,All,1027969,1330975,54746,,3831,876,,16
2018,MT,Representative,All,233284,256661,14476,,,,,
2018,NE,Representative,All,264493,432077,,,,,,
2018,NV,Representative,All,491272,439727,8830,11830,,,9115,
2018,NH,Representative,All,311242,248986,10254,,,,,262
2018,NJ,Representative,All,1856819,1198664,12963,,2676,3902,23719,
2018,NM,Representative,All,404026,264701,24584,,,,,
2018,NY,Representative,All,3760566,1639593,,,23461,,519471,6890
2018,NC,Representative,All,1632720,1706795,33598,,2831,4665,,
2018,ND,Representative,All,114377,193568,,13066,,,,521
2018,OH,Representative,All,2082684,2291333,23857,,8324,,,160
2018,OK,Representative,All,428452,730531,4140,15713,,,,
2018,OR,Representative,All,1061412,702531,32312,36888,10758,1487,2258,
2018,PA,Representative,All,2712665,2206260,10950,,,,,
2018,RI,Representative,All,242575,129838,,,,,,867
2018,SC,Representative,All,758340,927494,,,3214,3443,15011,1790
2018,SD,Representative,All,121033,202695,4914,7323,,,,
2018,TN,Representative,All,846450,1279655,,33705,,,,15
2018,TX,Representative,All,3852752,4135359,182669,31499,,,,276
2018,UT,Representative,All,374009,617307,13504,,4786,,42863,37
2018,VT,Representative,All,188547,70705,,9110,,,9703,165
2018,VA,Representative,All,1867061,1408701,13995,,,,,23199
2018,WA,Representative,All,1888593,899744,84646,,,,148968,
2018,WV,Representative,All,234568,337146,,,6277,,,
2018,WI,Representative,All,1367492,1172964,,21592,,,,9607
2018,WY,Representative,All,59903,127963,6918,,,6070,4030,391
