Year,State,Race,Division,Democrat,Republican,Ind.,Write-In,Green,Const.,Communist
2018,ME,Governor,All,320962,272311,37268,126,,,
2014,ME,Governor,All,265114,294519,51515,79,,,
2010,ME,Governor,All,109387,218065,242690,,,,
2006,ME,Governor,All,209927,166425,121823,,52690,,
2002,ME,Governor,All,238179,209496,10612,,46903,,
1998,ME,Governor,All,50506,79716,246772,,28722,15293,
1994,ME,Governor,All,172951,117990,180829,6843,32695,,
1990,ME,Governor,All,230038,243766,48377,,,,
1986,ME,Governor,All,128744,170312,126419,,,,
1982,ME,Governor,All,281066,172949,,,,,
1978,ME,Governor,All,176493,126862,65889,,,,
1974,ME,Governor,All,132219,84176,142464,,,,
1970,ME,Governor,All,163138,162248,,,,,
1966,ME,Governor,All,172036,151802,,,,,
1962,ME,Governor,All,146121,146604,,,,,
1958,ME,Governor,All,145673,134572,,,,,
1954,ME,Governor,All,135673,113298,,,,,
1950,ME,Governor,All,94304,145823,,,,,
1946,ME,Governor,All,69624,110327,,,,,
1942,ME,Governor,All,58558,118047,,,,,
1938,ME,Governor,All,139745,157206,,,,,287
